index,Canada News-Based Policy Uncertainty Index
1994-06-01,186.3149079
1994-07-01,132.9911868
1994-08-01,133.9589615
1994-09-01,126.1141204
1994-10-01,88.68996921
1994-11-01,93.38709939
1994-12-01,101.5999884
1995-01-01,194.2714276
1995-02-01,126.4515863
1995-03-01,162.7197706
1995-04-01,128.5614655
1995-05-01,96.17797784
1995-06-01,102.1671363
1995-07-01,109.0884114
1995-08-01,63.02977919
1995-09-01,135.6432953
1995-10-01,241.1322489
1995-11-01,240.9737962
1995-12-01,191.7751203
1996-01-01,212.9531464
1996-02-01,107.9932074
1996-03-01,202.9208561
1996-04-01,118.0784043
1996-05-01,122.1422036
1996-06-01,118.0581705
1996-07-01,103.0493004
1996-08-01,125.9228833
1996-09-01,97.34151126
1996-10-01,184.9878825
1996-11-01,136.5016889
1996-12-01,94.35478653
1997-01-01,101.643385
1997-02-01,79.92736914
1997-03-01,127.8049643
1997-04-01,66.19479606
1997-05-01,108.8166276
1997-06-01,73.33613016
1997-07-01,44.03639503
1997-08-01,61.28613047
1997-09-01,55.58456674
1997-10-01,68.98653771
1997-11-01,83.78520825
1997-12-01,85.2606452
1998-01-01,119.9224259
1998-02-01,119.860557
1998-03-01,88.21995971
1998-04-01,79.16266499
1998-05-01,107.9260933
1998-06-01,102.9903924
1998-07-01,112.5569579
1998-08-01,168.6747801
1998-09-01,142.7344236
1998-10-01,195.2514295
1998-11-01,152.6830807
1998-12-01,112.9366969
1999-01-01,101.6886031
1999-02-01,67.56764708
1999-03-01,30.09705885
1999-04-01,45.12118173
1999-05-01,57.5239586
1999-06-01,67.04100293
1999-07-01,65.48010488
1999-08-01,30.9612834
1999-09-01,62.31436587
1999-10-01,44.70094863
1999-11-01,51.08799393
1999-12-01,60.98645244
2000-01-01,46.92810606
2000-02-01,45.72283778
2000-03-01,39.3226679
2000-04-01,53.17446608
2000-05-01,54.20769189
2000-06-01,45.04951296
2000-07-01,40.84016306
2000-08-01,55.0539103
2000-09-01,45.26046531
2000-10-01,58.57307839
2000-11-01,90.43128538
2000-12-01,65.83185012
2001-01-01,99.13819199
2001-02-01,77.28691451
2001-03-01,128.2831315
2001-04-01,108.5922212
2001-05-01,106.4753528
2001-06-01,50.36756572
2001-07-01,83.3113642
2001-08-01,73.99868101
2001-09-01,194.6782969
2001-10-01,215.9415156
2001-11-01,183.884782
2001-12-01,119.7171668
2002-01-01,122.8177124
2002-02-01,84.73720901
2002-03-01,89.63251064
2002-04-01,82.18274697
2002-05-01,70.72486301
2002-06-01,92.48936904
2002-07-01,94.11073061
2002-08-01,120.2020411
2002-09-01,119.032019
2002-10-01,167.8321925
2002-11-01,137.456027
2002-12-01,94.8682352
2003-01-01,162.8467476
2003-02-01,175.136142
2003-03-01,195.8724331
2003-04-01,138.4782744
2003-05-01,125.3424724
2003-06-01,98.47302391
2003-07-01,76.99553608
2003-08-01,61.89989515
2003-09-01,71.95837556
2003-10-01,85.79252324
2003-11-01,82.73161517
2003-12-01,55.9457554
2004-01-01,56.39821725
2004-02-01,77.56686136
2004-03-01,68.0352165
2004-04-01,55.97212584
2004-05-01,80.09577871
2004-06-01,71.9415354
2004-07-01,60.72384716
2004-08-01,72.17056904
2004-09-01,73.89448692
2004-10-01,62.54638472
2004-11-01,89.41200462
2004-12-01,47.26328051
2005-01-01,45.85582058
2005-02-01,40.44013397
2005-03-01,43.26982756
2005-04-01,90.73813287
2005-05-01,96.50500646
2005-06-01,61.12974642
2005-07-01,59.3229894
2005-08-01,54.65927762
2005-09-01,72.60363358
2005-10-01,80.48522832
2005-11-01,81.47584598
2005-12-01,49.71947591
2006-01-01,70.63406235
2006-02-01,81.58020478
2006-03-01,61.46332769
2006-04-01,61.71460453
2006-05-01,61.25886449
2006-06-01,61.30359862
2006-07-01,58.82195732
2006-08-01,55.00618747
2006-09-01,59.16386799
2006-10-01,54.641426
2006-11-01,80.30290618
2006-12-01,44.7512585
2007-01-01,53.39283011
2007-02-01,69.19994039
2007-03-01,74.08420311
2007-04-01,52.7989035
2007-05-01,70.11592789
2007-06-01,51.59319006
2007-07-01,50.65945079
2007-08-01,60.7907649
2007-09-01,75.69238265
2007-10-01,72.282907
2007-11-01,82.84082306
2007-12-01,97.91312508
2008-01-01,112.4867681
2008-02-01,132.2068911
2008-03-01,104.6199111
2008-04-01,102.5618271
2008-05-01,82.21618776
2008-06-01,76.64591498
2008-07-01,70.88189942
2008-08-01,100.2048705
2008-09-01,184.167507
2008-10-01,360.2956432
2008-11-01,267.1357609
2008-12-01,268.9860478
2009-01-01,250.742997
2009-02-01,193.6695706
2009-03-01,166.987504
2009-04-01,136.4624412
2009-05-01,120.5772352
2009-06-01,91.76108622
2009-07-01,91.27556587
2009-08-01,96.65852382
2009-09-01,93.41319476
2009-10-01,110.3906582
2009-11-01,127.5926926
2009-12-01,102.3080776
2010-01-01,118.8346851
2010-02-01,97.12269747
2010-03-01,141.9658401
2010-04-01,103.8563255
2010-05-01,143.3607117
2010-06-01,139.3820539
2010-07-01,153.9352138
2010-08-01,144.8289752
2010-09-01,202.2310228
2010-10-01,211.829318
2010-11-01,182.5560933
2010-12-01,142.2542524
2011-01-01,128.3673924
2011-02-01,180.7766583
2011-03-01,172.4585334
2011-04-01,142.33187
2011-05-01,171.8931134
2011-06-01,161.5382383
2011-07-01,203.4188751
2011-08-01,337.3073059
2011-09-01,280.6702896
2011-10-01,300.8335593
2011-11-01,399.8462709
2011-12-01,309.3749021
2012-01-01,235.5164136
2012-02-01,184.2595504
2012-03-01,187.7797127
2012-04-01,173.8598302
2012-05-01,258.1724994
2012-06-01,249.1064009
2012-07-01,187.6716442
2012-08-01,177.266294
2012-09-01,211.1724721
2012-10-01,218.4805833
2012-11-01,382.5392194
2012-12-01,238.7257062
2013-01-01,223.5265967
2013-02-01,174.392715
2013-03-01,258.2416617
2013-04-01,206.5309057
2013-05-01,220.8104167
2013-06-01,143.9737118
2013-07-01,135.839924
2013-08-01,143.0760633
2013-09-01,133.1094293
2013-10-01,264.022793
2013-11-01,135.2249635
2013-12-01,132.9836954
2014-01-01,132.7874408
2014-02-01,165.5119032
2014-03-01,199.5241645
2014-04-01,123.9258171
2014-05-01,126.0841209
2014-06-01,111.1763963
2014-07-01,143.0921812
2014-08-01,155.5093185
2014-09-01,140.3446001
2014-10-01,159.8357692
2014-11-01,216.4508233
2014-12-01,147.4951172
2015-01-01,286.051519
2015-02-01,240.5894185
2015-03-01,131.6358947
2015-04-01,177.3994177
2015-05-01,213.9981651
2015-06-01,174.0278256
2015-07-01,179.1213098
2015-08-01,176.8030489
2015-09-01,205.3566491
2015-10-01,199.5714044
2015-11-01,142.0007456
2015-12-01,128.3804244
2016-01-01,156.003539
2016-02-01,186.6431834
2016-03-01,218.5152549
2016-04-01,156.8335765
2016-05-01,151.5238723
2016-06-01,276.6689022
2016-07-01,260.1251094
2016-08-01,237.5810317
2016-09-01,164.4557713
2016-10-01,243.5809126
2016-11-01,442.3714105
2016-12-01,298.5746578
2017-01-01,338.1554692
2017-02-01,257.4891599
2017-03-01,262.1493555
2017-04-01,199.6622336
2017-05-01,262.1275801
2017-06-01,206.4409328
2017-07-01,233.1830918
2017-08-01,241.7670142
2017-09-01,277.7945583
2017-10-01,221.3157518
2017-11-01,233.0971046
2017-12-01,190.2587417
2018-01-01,343.7724223
2018-02-01,365.2680904
2018-03-01,449.623944
2018-04-01,303.5407479
2018-05-01,257.3476861
2018-06-01,428.0686543
2018-07-01,292.0176583
2018-08-01,359.618741
2018-09-01,271.8350428
2018-10-01,296.1542783
2018-11-01,322.54407
2018-12-01,290.3946576
2019-01-01,301.8999717
2019-02-01,266.6059564
2019-03-01,250.5367347
2019-04-01,297.6471246
2019-05-01,275.6019138
2019-06-01,339.0719092
2019-07-01,333.2489093
2019-08-01,400.9045509
2019-09-01,358.1484561
2019-10-01,495.8523576
2019-11-01,364.8767112
2019-12-01,315.9803284
2020-01-01,275.70785
2020-02-01,380.2337126
2020-03-01,569.6582373
2020-04-01,448.4046815
2020-05-01,678.8170924
2020-06-01,504.9122043
2020-07-01,551.5302832
2020-08-01,415.3155312
2020-09-01,422.500605
2020-10-01,497.611723
2020-11-01,455.0476117
2020-12-01,371.1810553
2021-01-01,290.4154497
2021-02-01,323.2082074
2021-03-01,344.1619568
2021-04-01,267.8850336
2021-05-01,194.5655658
2021-06-01,172.3816099
2021-07-01,325.6135552
2021-08-01,210.1052929
2021-09-01,391.9559573
2021-10-01,210.5250517
2021-11-01,258.5585544
2021-12-01,336.5709607
2022-01-01,213.8743167
2022-02-01,218.4091626
2022-03-01,404.5340645
2022-04-01,300.569595
2022-05-01,303.7226067
2022-06-01,143.7326477
2022-07-01,212.4301758
2022-08-01,378.9809939
2022-09-01,257.0704624
2022-10-01,320.0339328
2022-11-01,271.5195853
2022-12-01,310.0544636
2023-01-01,232.5386219
2023-02-01,254.6151004
2023-03-01,339.5415602
2023-04-01,190.4251239
2023-05-01,219.6405166
2023-06-01,158.6246348
2023-07-01,262.0433856
2023-08-01,300.7430126
2023-09-01,202.0193796
2023-10-01,389.0551761
2023-11-01,317.7089137
2023-12-01,361.6210596
2024-01-01,247.0779775
2024-02-01,198.4418916
2024-03-01,283.2830573
2024-04-01,164.408376
2024-05-01,248.8831128
2024-06-01,195.1097135
2024-07-01,223.0753692
2024-08-01,295.1641165
