index,Canada News-Based Policy Uncertainty Index
1985-01-01,106.9259281
1985-02-01,114.6993774
1985-03-01,79.58830176
1985-04-01,73.37598857
1985-05-01,75.60222499
1985-06-01,43.14036957
1985-07-01,73.39828239
1985-08-01,91.5768226
1985-09-01,80.44557392
1985-10-01,92.56245882
1985-11-01,57.91247644
1985-12-01,65.76479817
1986-01-01,91.10531377
1986-02-01,96.96870155
1986-03-01,86.9067816
1986-04-01,69.22338268
1986-05-01,93.35433341
1986-06-01,58.49302812
1986-07-01,85.99984866
1986-08-01,91.52786703
1986-09-01,119.6902331
1986-10-01,76.77757259
1986-11-01,64.25986182
1986-12-01,78.66561295
1987-01-01,74.68277747
1987-02-01,67.59733504
1987-03-01,36.30467374
1987-04-01,70.42709068
1987-05-01,81.23486107
1987-06-01,72.81967675
1987-07-01,61.87545404
1987-08-01,28.53685388
1987-09-01,59.65667369
1987-10-01,125.1819237
1987-11-01,137.5159119
1987-12-01,117.4072304
1988-01-01,88.00508061
1988-02-01,74.21217587
1988-03-01,57.29201837
1988-04-01,61.04705213
1988-05-01,48.37898691
1988-06-01,43.19214722
1988-07-01,56.56837753
1988-08-01,82.51412621
1988-09-01,62.38471125
1988-10-01,61.03736059
1988-11-01,123.8536981
1988-12-01,57.62167778
1989-01-01,47.27500716
1989-02-01,40.65641578
1989-03-01,69.56887523
1989-04-01,59.65726678
1989-05-01,88.94496955
1989-06-01,64.56142732
1989-07-01,69.98060979
1989-08-01,61.02228348
1989-09-01,59.10854501
1989-10-01,76.84035966
1989-11-01,75.00902325
1989-12-01,57.92606432
1990-01-01,90.46779716
1990-02-01,77.06073287
1990-03-01,92.68953569
1990-04-01,109.2704564
1990-05-01,130.707426
1990-06-01,164.1713357
1990-07-01,88.38756828
1990-08-01,116.5748332
1990-09-01,118.00336
1990-10-01,166.1151888
1990-11-01,148.1475563
1990-12-01,123.4866902
1991-01-01,182.0740837
1991-02-01,129.9660619
1991-03-01,145.0634003
1991-04-01,128.0671246
1991-05-01,92.58369005
1991-06-01,93.47289497
1991-07-01,90.35232422
1991-08-01,76.42750818
1991-09-01,115.7734444
1991-10-01,133.4071263
1991-11-01,112.891151
1991-12-01,137.7946614
1992-01-01,127.4257807
1992-02-01,114.8891639
1992-03-01,136.2338144
1992-04-01,114.8409646
1992-05-01,73.99919554
1992-06-01,101.0193308
1992-07-01,74.15174461
1992-08-01,64.91373114
1992-09-01,205.4592697
1992-10-01,254.3539215
1992-11-01,132.2935823
1992-12-01,112.216303
1993-01-01,102.5922561
1993-02-01,91.44817481
1993-03-01,120.1546766
1993-04-01,89.43315845
1993-05-01,108.1047185
1993-06-01,86.66848484
1993-07-01,121.6606745
1993-08-01,109.6159402
1993-09-01,128.0231274
1993-10-01,124.1698607
1993-11-01,105.7496272
1993-12-01,92.60972047
1994-01-01,76.55685096
1994-02-01,69.11225583
1994-03-01,140.4945371
1994-04-01,161.9582453
1994-05-01,115.2581892
