index,PAYNSA
1986-01-01,97397
1986-02-01,97590
1986-03-01,98138
1986-04-01,98973
1986-05-01,99667
1986-06-01,99973
1986-07-01,99219
1986-08-01,99393
1986-09-01,100317
1986-10-01,100886
1986-11-01,101141
1986-12-01,101300
1987-01-01,99334
1987-02-01,99657
1987-03-01,100367
1987-04-01,101369
1987-05-01,102135
1987-06-01,102742
1987-07-01,101990
1987-08-01,102219
1987-09-01,102986
1987-10-01,103893
1987-11-01,104232
1987-12-01,104472
1988-01-01,102380
1988-02-01,102951
1988-03-01,103693
1988-04-01,104587
1988-05-01,105347
1988-06-01,106208
1988-07-01,105315
1988-08-01,105477
1988-09-01,106341
1988-10-01,107013
1988-11-01,107500
1988-12-01,107722
1989-01-01,105743
1989-02-01,106170
1989-03-01,106813
1989-04-01,107611
1989-05-01,108294
1989-06-01,108937
1989-07-01,107848
1989-08-01,107927
1989-09-01,108724
1989-10-01,109217
1989-11-01,109657
1989-12-01,109666
1990-01-01,107573
1990-02-01,108069
1990-03-01,108724
1990-04-01,109366
1990-05-01,110271
1990-06-01,110838
1990-07-01,109567
1990-08-01,109449
1990-09-01,110044
1990-10-01,110240
1990-11-01,110205
1990-12-01,109974
1991-01-01,107425
1991-02-01,107392
1991-03-01,107681
1991-04-01,108071
1991-05-01,108752
1991-06-01,109234
1991-07-01,108033
1991-08-01,108123
1991-09-01,108840
1991-10-01,109210
1991-11-01,109226
1991-12-01,109110
1992-01-01,106723
1992-02-01,106977
1992-03-01,107494
1992-04-01,108331
1992-05-01,109137
1992-06-01,109626
1992-07-01,108608
1992-08-01,108664
1992-09-01,109449
1992-10-01,110036
1992-11-01,110275
1992-12-01,110265
1993-01-01,108098
1993-02-01,108701
1993-03-01,109136
1993-04-01,110140
1993-05-01,111103
1993-06-01,111693
1993-07-01,110825
1993-08-01,110935
1993-09-01,111926
1993-10-01,112591
1993-11-01,112935
1993-12-01,113084
1994-01-01,110833
1994-02-01,111414
1994-03-01,112389
1994-04-01,113467
1994-05-01,114479
1994-06-01,115271
1994-07-01,114324
1994-08-01,114634
1994-09-01,115693
1994-10-01,116318
1994-11-01,116926
1994-12-01,116964
1995-01-01,114655
1995-02-01,115315
1995-03-01,116071
1995-04-01,116902
1995-05-01,117625
1995-06-01,118340
1995-07-01,117106
1995-08-01,117370
1995-09-01,118286
1995-10-01,118888
1995-11-01,119125
1995-12-01,119123
1996-01-01,116423
1996-02-01,117364
1996-03-01,118167
1996-04-01,119005
1996-05-01,120132
1996-06-01,120795
1996-07-01,119758
1996-08-01,120051
1996-09-01,120795
1996-10-01,121516
1996-11-01,121976
1996-12-01,121955
1997-01-01,119413
1997-02-01,120274
1997-03-01,121155
1997-04-01,122132
1997-05-01,123211
1997-06-01,123861
1997-07-01,122876
1997-08-01,122944
1997-09-01,123948
1997-10-01,124851
1997-11-01,125245
1997-12-01,125383
1998-01-01,122832
1998-02-01,123608
1998-03-01,124332
1998-04-01,125372
1998-05-01,126456
1998-06-01,127118
1998-07-01,126047
1998-08-01,126287
1998-09-01,127098
1998-10-01,127877
1998-11-01,128278
1998-12-01,128448
1999-01-01,125697
1999-02-01,126684
1999-03-01,127399
1999-04-01,128544
1999-05-01,129412
1999-06-01,130137
1999-07-01,129268
1999-08-01,129325
1999-09-01,130102
1999-10-01,131038
1999-11-01,131496
1999-12-01,131633
2000-01-01,128993
2000-02-01,129655
2000-03-01,130752
2000-04-01,131749
2000-05-01,132706
2000-06-01,133218
2000-07-01,131997
2000-08-01,132009
2000-09-01,132677
2000-10-01,133236
2000-11-01,133601
2000-12-01,133541
2001-01-01,130667
2001-02-01,131334
2001-03-01,131929
2001-04-01,132335
2001-05-01,133042
2001-06-01,133421
2001-07-01,131931
2001-08-01,131860
2001-09-01,132128
2001-10-01,132329
2001-11-01,132142
2001-12-01,131758
2002-01-01,128876
2002-02-01,129347
2002-03-01,129955
2002-04-01,130543
2002-05-01,131314
2002-06-01,131695
2002-07-01,130255
2002-08-01,130341
2002-09-01,130859
2002-10-01,131530
2002-11-01,131651
2002-12-01,131242
2003-01-01,128561
2003-02-01,128977
2003-03-01,129474
2003-04-01,130131
2003-05-01,130892
2003-06-01,131221
2003-07-01,129884
2003-08-01,129935
2003-09-01,130590
2003-10-01,131383
2003-11-01,131548
2003-12-01,131368
2004-01-01,128709
2004-02-01,129320
2004-03-01,130361
2004-04-01,131477
2004-05-01,132380
2004-06-01,132824
2004-07-01,131664
2004-08-01,131685
2004-09-01,132398
2004-10-01,133380
2004-11-01,133630
2004-12-01,133399
2005-01-01,130695
2005-02-01,131519
2005-03-01,132358
2005-04-01,133571
2005-05-01,134384
2005-06-01,135053
2005-07-01,133993
2005-08-01,134244
2005-09-01,134869
2005-10-01,135599
2005-11-01,136158
2005-12-01,135954
2006-01-01,133302
2006-02-01,134229
2006-03-01,135209
2006-04-01,136124
2006-05-01,136927
2006-06-01,137432
2006-07-01,136256
2006-08-01,136462
2006-09-01,137129
2006-10-01,137831
2006-11-01,138217
2006-12-01,138107
2007-01-01,135317
2007-02-01,136008
2007-03-01,136907
2007-04-01,137712
2007-05-01,138654
2007-06-01,139156
2007-07-01,137760
2007-08-01,137872
2007-09-01,138435
2007-10-01,139181
2007-11-01,139494
2007-12-01,139279
2008-01-01,136252
2008-02-01,136770
2008-03-01,137361
2008-04-01,137894
2008-05-01,138470
2008-06-01,138665
2008-07-01,137184
2008-08-01,137077
2008-09-01,137130
2008-10-01,137424
2008-11-01,136744
2008-12-01,135713
2009-01-01,132021
2009-02-01,131792
2009-03-01,131659
2009-04-01,131842
2009-05-01,132114
2009-06-01,131933
2009-07-01,130337
2009-08-01,130216
2009-09-01,130571
2009-10-01,131172
2009-11-01,131220
2009-12-01,130673
2010-01-01,127804
2010-02-01,128240
2010-03-01,129073
2010-04-01,130195
2010-05-01,131313
2010-06-01,131431
2010-07-01,130094
2010-08-01,130158
2010-09-01,130650
2010-10-01,131624
2010-11-01,131930
2010-12-01,131622
2011-01-01,128760
2011-02-01,129576
2011-03-01,130482
2011-04-01,131698
2011-05-01,132382
2011-06-01,132871
2011-07-01,131599
2011-08-01,131870
2011-09-01,132617
2011-10-01,133540
2011-11-01,133876
2011-12-01,133701
2012-01-01,131094
2012-02-01,132050
2012-03-01,132954
2012-04-01,133836
2012-05-01,134648
2012-06-01,134986
2012-07-01,133778
2012-08-01,134156
2012-09-01,134783
2012-10-01,135633
2012-11-01,136023
2012-12-01,135947
2013-01-01,133063
2013-02-01,134102
2013-03-01,134901
2013-04-01,135905
2013-05-01,136797
2013-06-01,137209
2013-07-01,136034
2013-08-01,136471
2013-09-01,137077
2013-10-01,138001
2013-11-01,138525
2013-12-01,138274
2014-01-01,135471
2014-02-01,136211
2014-03-01,137169
2014-04-01,138306
2014-05-01,139217
2014-06-01,139804
2014-07-01,138727
2014-08-01,139105
2014-09-01,139793
2014-10-01,140848
2014-11-01,141314
2014-12-01,141306
