index,Freight Rail Services Price Index,Grain and fertilizer
2018-01-01,95.0,97.1
2018-02-01,95.7,97.6
2018-03-01,96.9,99.0
2018-04-01,96.4,98.6
2018-05-01,96.9,98.8
2018-06-01,101.3,100.0
2018-07-01,102.4,100.7
2018-08-01,102.0,100.4
2018-09-01,102.4,101.1
2018-10-01,102.7,101.3
2018-11-01,103.9,102.3
2018-12-01,104.4,103.0
2019-01-01,104.5,103.4
2019-02-01,103.4,102.6
2019-03-01,103.7,103.1
2019-04-01,104.0,103.3
2019-05-01,104.5,103.7
2019-06-01,104.6,104.1
2019-07-01,104.5,103.8
2019-08-01,105.1,103.7
2019-09-01,104.9,104.2
2019-10-01,105.5,104.8
2019-11-01,106.0,105.2
2019-12-01,105.8,105.0
2020-01-01,105.6,104.7
2020-02-01,107.0,107.8
2020-03-01,108.5,109.0
2020-04-01,109.0,111.0
2020-05-01,108.0,109.6
2020-06-01,105.3,106.5
2020-07-01,105.5,106.6
2020-08-01,104.6,105.4
2020-09-01,104.2,105.0
2020-10-01,105.2,105.7
2020-11-01,104.6,105.1
2020-12-01,103.7,103.8
2021-01-01,104.3,103.9
2021-02-01,105.2,104.7
2021-03-01,105.2,104.5
2021-04-01,106.0,105.5
2021-05-01,105.3,104.1
2021-06-01,105.4,103.4
2021-07-01,107.2,105.7
2021-08-01,108.0,107.1
2021-09-01,108.9,108.0
2021-10-01,109.8,108.6
2021-11-01,110.9,108.8
2021-12-01,112.8,110.9
2022-01-01,113.6,111.2
2022-02-01,113.9,111.4
2022-03-01,115.8,112.3
2022-04-01,116.8,113.2
2022-05-01,122.7,118.3
2022-06-01,123.0,119.0
2022-07-01,126.2,121.4
2022-08-01,125.9,122.2
2022-09-01,125.9,122.6
2022-10-01,127.0,124.2
2022-11-01,128.1,123.8
2022-12-01,129.1,125.4
2023-01-01,129.2,124.4
2023-02-01,125.7,120.1
2023-03-01,126.9,121.4
2023-04-01,124.9,119.2
2023-05-01,124.0,118.3
2023-06-01,122.3,116.2
2023-07-01,120.8,115.0
2023-08-01,121.5,116.1
2023-09-01,124.9,123.1
2023-10-01,130.8,127.1
2023-11-01,131.7,128.3
2023-12-01,130.1,126.3
2024-01-01,127.4,123.4
2024-02-01,127.1,121.9
2024-03-01,127.2,122.0
2024-04-01,128.3,121.8
2024-05-01,128.6,122.3
