"Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0350-01 (formerly CANSIM 278-0013)"
"Release date: 2024-05-10"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 4","Canada",,,,,,,,,,,,,,,,,,,
"Industry","All industries",,,,"Manufacturing",,,,"Wholesale and retail trade 5",,,,"Transportation 6",,,,"Entertainment and hospitality 7",,,
"November 1986","139","109,907","13.7","685,410","67","30,913","14.8","555,170","18","839","13.3","6,770","4","4,531","10.0","21,520","9","632","13.7","3,010"
"December 1986","138","70,808","14.5","393,290","63","35,194","16.0","300,080","21","800","16.0","10,910","3","363","9.0","4,770","9","1,152","15.7","4,480"
"January 1987","125","20,063","14.3","264,730","57","11,888","15.3","188,570","22","2,558","15.2","42,780","7","774","6.4","5,500","12","814","12.2","4,720"
"February 1987","127","18,787","11.8","160,310","58","5,131","12.0","62,030","23","2,200","15.5","40,140","4","505","10.0","3,350","14","835","14.7","14,350"
"March 1987","130","26,423","13.2","170,580","53","4,321","14.9","50,900","24","2,216","14.3","11,480","2","106","5.5","630","17","838","14.4","14,880"
"April 1987","134","41,929","14.0","262,340","61","6,348","12.6","69,680","26","1,139","14.7","15,090","5","4,783","13.8","57,900","14","692","17.9","13,580"
"May 1987","159","23,438","12.5","274,860","71","11,367","12.1","146,710","32","1,407","13.1","18,280","6","4,853","11.5","37,070","17","1,407","14.5","18,170"
"June 1987","151","331,678","13.4","640,230","68","18,709","13.7","231,040","34","3,414","13.7","38,080","4","20,547","13.0","36,530","19","1,347","14.9","22,780"
"July 1987","136","49,620","15.6","400,600","67","22,672","15.9","329,350","25","3,179","17.9","36,040","3","20,540","13.7","8,680","16","1,158","16.0","7,290"
"August 1987","147","73,815","14.5","494,860","67","13,575","14.3","239,040","22","2,420","16.7","30,890","8","50,292","10.6","182,160","15","460","16.4","4,700"
"September 1987","140","67,677","13.5","322,230","64","24,280","12.2","128,160","18","3,374","18.8","37,880","12","24,400","11.5","18,060","15","361","13.1","3,340"
"October 1987","137","58,365","14.2","407,680","59","15,787","14.2","92,070","22","3,639","15.9","32,630","10","23,823","12.9","146,160","8","131","19.0","2,280"
"November 1987","110","24,689","13.3","186,960","52","11,643","13.4","116,070","18","924","15.4","16,410","7","8,775","11.3","33,730","8","113","14.9","1,370"
"December 1987","101","23,427","15.1","222,650","40","5,109","15.1","63,570","19","981","18.2","18,220","7","9,518","15.6","100,690","11","708","12.6","8,270"
"January 1988","108","23,152","13.6","182,490","45","6,452","13.2","71,960","22","1,226","16.0","15,030","9","1,843","9.6","9,260","7","446","18.0","7,340"
"February 1988","113","29,762","14.4","260,120","44","12,499","13.7","104,240","22","1,445","16.6","16,850","3","119","17.0","2,220","12","1,741","16.8","20,170"
"March 1988","129","23,508","15.0","248,810","57","13,142","14.4","175,270","23","1,150","16.7","14,040","9","3,623","12.1","8,330","11","560","18.0","6,440"
"April 1988","128","17,672","12.9","146,050","53","7,689","13.4","90,920","22","1,108","14.4","10,680","6","3,333","14.2","10,970","12","232","17.8","4,350"
"May 1988","135","43,022","14.1","512,320","56","8,125","14.5","123,840","25","1,073","14.2","11,530","7","3,944","14.9","75,760","14","520","15.1","4,810"
"June 1988","139","61,262","14.8","615,300","61","8,113","13.9","119,900","20","773","18.4","12,490","9","4,571","14.1","80,550","12","256","16.6","3,780"
"July 1988","123","40,717","14.9","614,420","53","10,659","15.0","105,900","22","865","14.4","11,360","10","1,777","14.4","12,000","9","173","14.4","2,620"
"August 1988","124","45,561","16.4","751,330","55","10,853","16.1","137,410","20","1,049","14.5","13,080","8","5,195","20.0","23,390","7","1,335","18.3","7,130"
"September 1988","133","80,990","14.1","802,300","67","11,304","13.6","120,210","16","951","18.3","15,940","9","9,195","13.2","30,850","8","1,466","17.6","28,800"
"October 1988","122","41,921","14.0","498,960","57","6,730","13.3","84,260","16","1,204","16.4","17,820","9","1,124","14.7","10,200","10","1,441","17.5","30,470"
"November 1988","113","13,417","15.6","172,770","49","7,130","16.8","103,620","16","890","15.1","15,760","7","710","15.3","8,420","12","1,455","15.7","12,840"
"December 1988","97","8,459","13.2","96,390","41","4,632","13.8","56,680","19","1,171","14.1","14,370","3","405","18.0","7,010","12","974","11.8","7,740"
"January 1989","101","17,119","13.4","152,080","49","10,432","13.4","100,720","12","786","20.3","14,030","6","603","15.3","8,720","11","1,034","12.8","5,510"
"February 1989","113","19,925","13.0","240,700","55","11,058","13.9","185,420","13","1,232","17.5","19,690","7","553","14.4","8,760","8","145","12.5","1,540"
"March 1989","143","30,313","14.1","318,250","67","15,351","15.6","190,950","22","1,464","15.4","20,260","13","3,115","7.7","17,820","6","277","13.3","2,110"
"April 1989","146","39,203","13.4","238,010","72","9,052","13.6","103,150","20","1,137","17.9","19,120","7","978","11.0","10,420","8","356","11.5","2,380"
"May 1989","159","22,491","13.4","215,410","68","8,343","14.9","108,340","25","792","15.0","11,580","8","1,342","12.5","8,750","9","218","14.2","3,110"
"June 1989","153","58,245","14.4","355,120","69","9,016","14.9","123,520","24","1,465","17.6","21,390","7","621","13.4","6,650","11","479","13.0","2,880"
"July 1989","144","26,312","13.1","245,030","54","8,026","14.2","94,040","24","1,391","16.6","23,880","8","732","12.9","7,260","7","144","15.7","2,370"
"August 1989","126","19,382","15.2","212,710","43","4,313","14.2","51,440","22","1,273","18.1","23,710","6","603","16.8","7,230","6","164","16.3","2,120"
"September 1989","120","252,537","13.2","893,800","41","3,255","13.7","40,930","19","1,108","16.8","14,900","5","550","14.2","6,540","10","728","13.1","4,900"
"October 1989","131","40,413","13.5","244,340","44","4,458","14.9","45,980","22","1,247","14.9","16,010","14","1,504","12.6","16,840","9","372","17.0","5,150"
"November 1989","117","44,120","15.4","396,290","46","7,652","16.1","70,920","20","953","16.8","11,050","12","3,490","14.5","46,980","10","509","13.0","4,570"
"December 1989","101","28,991","12.9","189,620","41","3,745","13.0","46,200","18","692","13.9","6,880","8","3,176","15.0","37,930","7","299","18.0","5,520"
"January 1990","86","23,897","15.5","132,450","34","2,501","17.1","39,780","14","477","18.6","8,280","7","691","16.0","11,970","7","299","19.3","5,300"
"February 1990","88","27,542","14.2","160,530","33","3,214","15.2","45,210","12","386","19.3","7,130","4","1,966","14.0","9,470","7","178","10.9","1,380"
"March 1990","122","31,862","13.4","197,230","53","5,865","13.5","66,570","15","503","16.3","7,110","5","300","16.2","2,950","7","290","11.7","2,280"
"April 1990","122","122,651","12.8","300,240","52","5,786","13.9","76,620","20","752","14.0","7,570","10","580","12.8","4,890","3","171","14.3","2,140"
"May 1990","144","67,985","12.5","610,790","59","7,187","14.3","84,890","23","997","13.6","11,080","12","687","13.9","7,240","5","113","10.0","1,450"
"June 1990","150","51,964","13.0","796,290","68","6,747","12.9","78,480","24","1,672","14.0","20,150","9","487","18.3","5,640","9","365","10.8","2,860"
"July 1990","122","46,676","15.5","290,500","54","9,069","16.1","97,300","23","893","18.8","16,700","10","601","16.0","6,710","6","653","8.2","2,070"
"August 1990","152","33,189","15.3","594,270","73","23,672","16.7","465,870","26","903","15.0","13,870","9","637","18.9","6,640","5","613","11.0","4,720"
"September 1990","142","51,543","14.9","716,950","68","38,786","15.5","545,300","21","646","16.0","9,850","8","2,143","17.1","31,590","5","236","14.0","3,800"
"October 1990","158","41,816","16.2","685,210","74","29,608","17.2","530,150","21","1,298","16.4","19,580","8","649","16.6","6,590","7","343","12.9","5,050"
"November 1990","145","36,727","14.3","421,700","67","25,697","15.6","302,360","17","1,133","14.1","19,170","7","561","16.1","7,050","15","1,003","10.9","6,720"
"December 1990","94","10,644","15.4","173,030","47","7,068","15.7","114,920","9","890","17.9","14,050","7","636","14.6","6,470","12","355","14.3","4,410"
"January 1991","83","18,919","18.5","273,280","38","3,107","18.7","62,610","9","891","20.6","16,860","6","402","16.3","4,440","7","187","22.0","3,700"
"February 1991","112","21,059","13.9","181,240","42","4,603","16.5","69,460","13","989","15.2","8,660","5","575","16.0","4,340","10","239","14.5","3,260"
"March 1991","114","20,556","14.0","181,140","40","4,031","15.5","58,890","14","391","14.4","6,680","7","1,062","9.6","3,780","10","239","18.7","4,160"
"April 1991","109","12,994","13.8","135,700","45","6,219","13.8","62,150","16","1,316","12.4","5,590","8","301","10.4","2,490","9","198","16.6","3,220"
"May 1991","116","23,357","12.4","181,910","40","4,032","13.2","39,930","16","1,617","16.0","24,890","3","63","11.0","680","9","371","13.2","4,170"
"June 1991","108","15,825","12.5","111,930","47","4,050","13.3","45,150","18","1,243","12.2","13,040","5","1,041","8.8","6,190","3","72","19.0","1,360"
"July 1991","84","14,126","15.8","106,070","34","2,984","18.6","44,990","13","1,211","16.5","14,810","5","2,306","12.8","21,780","4","90","9.3","530"
"August 1991","97","57,485","14.8","215,850","44","3,911","15.4","45,620","13","1,139","16.2","17,520","6","43,152","13.8","117,710","6","384","16.0","5,950"
"September 1991","102","134,929","13.3","770,010","38","1,969","16.2","32,000","11","637","12.5","7,060","6","49,531","9.8","108,020","8","377","14.0","3,520"
"October 1991","95","126,589","14.8","221,890","37","1,924","17.3","33,390","7","237","10.1","1,900","9","42,183","13.6","18,150","6","178","15.0","990"
"November 1991","85","6,151","14.4","71,190","35","2,696","16.9","37,500","6","218","16.8","2,700","9","1,193","12.2","12,930","6","60","13.5","840"
"December 1991","73","5,445","14.8","65,880","35","3,410","16.1","42,320","7","237","14.7","2,810","4","593","20.3","12,650","5","46","14.2","770"
"January 1992","73","12,829","15.1","112,630","33","2,872","17.3","45,140","8","209","14.8","3,050","7","1,211","13.9","15,390","2","29","22.0","630"
"February 1992","86","8,006","12.6","70,510","34","2,846","16.0","35,900","9","205","15.3","2,730","8","1,111","10.6","12,740","4","72","15.0","810"
"March 1992","85","40,539","15.2","148,690","33","2,573","18.8","49,100","10","236","17.9","3,230","7","1,568","14.9","14,380","4","67","15.3","1,010"
"April 1992","90","40,694","13.1","249,030","38","4,089","14.8","41,060","16","712","12.1","6,390","5","841","12.0","11,780","5","41","14.8","680"
"May 1992","88","19,332","13.5","171,870","39","3,921","13.6","53,620","12","463","14.1","5,270","2","450","20.0","9,820","8","171","17.0","2,400"
"June 1992","115","42,304","14.9","349,690","50","17,036","16.5","199,110","16","462","17.4","6,860","4","485","13.5","9,830","11","269","13.7","3,750"
"July 1992","115","35,381","13.6","288,070","47","17,988","11.2","136,770","22","632","17.5","10,150","5","647","16.0","11,050","9","290","17.7","4,210"
"August 1992","94","19,417","14.8","171,700","30","3,412","15.1","33,460","22","850","17.1","12,590","4","460","19.0","10,020","10","273","11.2","1,930"
"September 1992","86","11,808","16.5","146,900","29","4,763","17.1","65,130","19","786","19.7","13,110","7","1,108","13.9","12,010","6","115","19.5","1,810"
"October 1992","92","10,665","15.4","135,730","35","6,296","14.3","58,040","21","813","16.4","12,910","5","579","17.0","10,190","6","123","18.3","2,040"
"November 1992","98","12,064","14.7","130,590","32","3,659","16.5","38,710","23","1,427","12.8","11,960","9","1,697","12.2","11,110","7","515","18.1","8,950"
"December 1992","88","13,707","16.2","134,770","29","4,447","17.1","41,510","22","2,687","15.5","21,730","7","554","18.1","11,260","8","870","14.5","11,810"
"January 1993","89","14,754","15.5","118,040","29","1,701","16.6","27,850","18","967","16.7","16,590","7","692","17.4","12,320","5","495","16.6","9,280"
"February 1993","96","13,164","14.3","103,440","30","1,718","14.4","26,330","18","958","17.8","15,720","8","969","14.6","8,820","7","621","17.3","11,510"
"March 1993","98","12,160","15.3","113,740","28","2,206","16.1","31,720","18","986","18.2","12,480","7","252","14.4","3,210","10","1,146","17.7","17,920"
"April 1993","102","28,759","13.6","113,690","33","2,851","14.2","32,810","22","1,049","15.4","11,790","4","138","12.3","2,430","8","729","19.5","14,950"
"May 1993","113","21,247","13.6","182,130","36","3,417","14.4","49,020","23","613","15.4","10,860","3","159","11.7","2,670","11","769","16.0","15,160"
"June 1993","90","11,506","15.9","94,660","31","2,609","17.5","31,030","19","594","13.6","7,560","5","1,865","13.4","4,080","9","825","17.7","13,640"
"July 1993","87","8,074","15.4","102,260","33","2,533","16.7","36,540","15","509","13.5","5,910","5","1,827","14.4","18,450","7","503","17.1","10,000"
"August 1993","83","7,889","15.4","99,100","37","3,119","14.5","35,210","11","365","16.6","5,700","3","1,708","14.7","27,390","11","388","14.2","4,500"
"September 1993","93","9,058","14.1","97,480","37","2,678","15.5","43,290","12","522","12.8","5,520","4","178","12.5","2,480","8","396","14.9","3,410"
"October 1993","100","7,352","14.8","94,720","37","2,891","14.8","38,490","13","612","15.2","7,760","6","140","14.3","2,300","8","208","13.1","2,400"
"November 1993","95","29,054","16.1","151,860","34","2,817","16.3","42,520","12","7,454","14.1","40,790","3","16","15.0","230","5","156","14.4","1,320"
"December 1993","87","30,837","16.3","245,520","35","2,863","17.1","40,330","10","7,419","16.5","91,990","3","32","19.3","530","5","158","10.2","850"
"January 1994","84","15,645","15.5","172,870","36","2,475","15.9","36,460","10","7,418","14.8","94,280","5","3,550","13.0","10,710","4","82","11.0","590"
"February 1994","76","16,376","15.4","159,190","28","2,535","15.8","31,810","7","7,224","14.7","61,740","6","3,900","10.8","24,890","3","32","14.0","480"
"March 1994","80","6,442","16.3","89,220","32","3,220","17.3","33,810","6","386","15.7","4,970","4","387","16.0","8,280","6","69","11.3","880"
"April 1994","98","9,843","13.8","86,240","45","3,830","13.9","39,930","8","423","11.5","6,550","6","492","13.3","8,670","9","363","10.0","3,180"
"May 1994","106","19,040","13.8","182,140","49","3,241","14.1","45,530","7","333","11.7","4,780","6","1,304","12.8","10,370","9","407","15.1","5,460"
"June 1994","89","24,252","15.8","188,390","37","4,572","16.1","52,150","8","242","19.1","5,150","6","982","14.2","7,080","9","546","16.8","7,920"
"July 1994","85","16,777","13.5","86,530","36","4,653","14.5","40,160","11","600","12.7","3,110","4","550","9.5","4,810","9","277","11.7","3,870"
"August 1994","82","17,076","16.2","146,340","34","2,308","17.1","39,630","10","354","15.5","4,560","5","4,154","9.0","37,470","5","191","20.0","3,750"
"September 1994","86","21,089","15.0","179,490","39","4,536","14.6","43,900","10","578","14.4","5,880","4","5,710","12.3","68,900","9","949","12.2","4,990"
"October 1994","86","17,434","14.1","110,060","39","4,083","14.7","48,240","10","1,130","16.2","9,650","4","979","5.8","3,670","6","756","13.7","3,850"
"November 1994","87","15,303","14.2","114,450","41","5,261","14.6","74,510","12","1,214","13.1","9,160","3","956","15.7","6,930","5","197","13.8","1,290"
"December 1994","70","13,682","14.6","91,660","27","5,406","14.9","55,780","11","513","16.0","6,500","6","1,206","17.2","15,460","5","79","15.4","900"
"January 1995","70","12,456","13.9","134,510","27","5,249","16.3","95,310","10","362","12.3","4,930","8","1,201","13.6","13,290","4","56","7.8","180"
"February 1995","71","11,040","14.1","101,020","35","6,207","15.0","69,180","9","323","12.4","4,710","8","1,542","12.4","8,540","2","67","9.5","480"
"March 1995","74","48,813","14.3","328,340","33","4,462","14.5","48,150","11","489","11.7","5,210","9","32,789","14.3","216,640","3","1,733","12.7","26,750"
"April 1995","63","9,240","12.0","67,130","26","2,355","12.7","22,180","11","684","10.6","4,990","4","121","19.0","2,370","2","1,726","2.5","4,650"
"May 1995","81","7,473","12.2","63,420","31","4,135","14.5","38,080","17","461","12.2","4,210","10","535","8.9","3,490","4","75","10.0","720"
"June 1995","88","13,652","13.7","119,100","29","3,532","16.4","54,360","22","869","13.5","5,650","7","346","17.4","5,620","6","1,307","10.2","2,160"
"July 1995","87","14,687","14.1","199,430","36","4,085","12.0","33,710","16","523","19.3","8,380","7","1,409","13.6","5,180","5","1,299","15.2","27,910"
"August 1995","74","8,769","16.2","105,270","27","4,516","15.7","62,050","17","701","18.1","8,480","6","205","17.5","3,100","7","1,384","12.0","12,640"
"September 1995","69","23,972","14.2","147,610","27","5,427","12.5","75,410","15","506","18.1","6,540","6","251","13.0","2,720","2","108","20.0","1,170"
"October 1995","67","29,532","14.0","147,620","21","7,895","13.9","88,880","17","652","16.1","6,790","5","158","20.2","3,070","2","108","14.5","880"
"November 1995","57","17,141","15.8","89,520","20","4,823","15.8","61,450","15","458","18.5","5,290","4","152","22.0","2,930","2","64","12.0","530"
"December 1995","48","28,298","14.3","80,100","17","2,543","14.5","46,140","13","246","14.9","2,430","5","202","17.8","3,210","1","47","19.0","890"
"January 1996","50","5,953","14.7","68,830","18","2,875","14.4","49,990","10","254","18.0","2,650","6","474","17.5","8,220","1","47","22.0","1,040"
"February 1996","67","82,836","11.3","268,160","16","2,477","13.4","45,520","9","248","15.4","2,030","7","568","16.1","7,930","5","1,062","7.8","4,060"
"March 1996","59","54,875","14.1","1,052,550","18","2,692","15.5","35,560","12","290","10.5","2,620","4","196","18.3","3,870","3","863","16.7","14,700"
"April 1996","64","36,329","14.5","202,100","18","1,860","16.1","34,010","8","247","16.5","3,510","6","1,280","14.3","9,080","4","916","16.0","13,970"
"May 1996","79","15,043","16.1","143,540","28","2,787","14.8","42,070","14","970","17.0","11,280","5","448","20.6","9,480","7","1,102","13.6","14,980"
"June 1996","93","31,343","13.3","361,040","32","3,605","12.5","31,620","12","11,923","18.1","253,490","5","444","17.8","8,320","8","2,351","7.9","16,920"
"July 1996","97","17,451","15.7","197,660","29","3,422","15.7","40,560","10","6,436","19.3","41,230","6","654","16.2","9,350","11","2,756","10.2","30,520"
"August 1996","91","10,968","15.2","141,460","29","3,570","14.4","42,080","8","319","20.6","6,680","4","394","21.8","8,450","12","2,544","13.4","34,830"
"September 1996","67","7,001","15.9","105,750","24","2,660","13.8","32,920","8","296","17.9","5,770","5","614","17.2","8,530","8","1,526","17.9","29,140"
"October 1996","81","106,245","14.6","501,700","27","27,516","14.7","367,570","8","318","19.3","5,740","6","622","20.0","12,440","8","724","17.1","14,410"
"November 1996","81","8,430","15.0","93,360","19","1,525","15.2","25,800","11","427","15.5","6,920","10","2,943","13.1","23,290","7","568","13.9","7,160"
"December 1996","76","15,825","16.7","132,910","16","1,252","17.5","23,630","13","686","13.0","6,750","9","2,347","15.7","40,310","6","302","18.7","6,120"
"January 1997","72","7,666","17.8","114,530","19","2,503","15.6","35,980","10","624","16.9","5,630","10","1,235","18.9","24,120","6","242","12.8","2,480"
"February 1997","71","8,303","15.5","94,950","22","3,420","13.1","46,950","7","419","17.4","3,020","9","1,080","18.4","20,570","5","63","13.2","870"
"March 1997","80","16,541","13.7","127,620","26","3,520","12.8","41,650","9","9,259","13.6","41,480","12","1,244","11.4","12,520","5","125","9.4","1,900"
"April 1997","61","14,353","16.7","265,140","23","3,148","14.8","34,740","9","9,117","18.1","190,890","5","312","19.2","5,860","3","112","15.0","2,390"
"May 1997","60","12,558","14.8","221,170","23","2,891","13.9","33,710","7","7,497","16.3","161,750","6","315","10.3","1,770","6","389","8.0","2,950"
"June 1997","74","18,197","14.0","187,730","31","7,533","14.6","122,780","7","7,414","12.0","40,570","6","588","11.8","2,310","5","360","13.8","3,650"
"July 1997","69","11,116","16.7","138,390","30","8,861","15.5","95,930","4","84","11.0","530","3","97","18.0","1,850","3","150","18.0","3,080"
"August 1997","67","12,828","15.9","181,360","23","5,848","17.3","85,380","3","124","12.7","1,620","5","391","11.6","3,120","4","201","13.5","3,040"
"September 1997","59","8,111","16.2","127,690","21","4,223","16.3","81,360","4","151","14.5","2,740","3","351","21.0","7,380","9","479","12.3","5,170"
"October 1997","68","158,984","14.9","769,440","25","5,560","15.0","86,090","6","179","13.5","3,100","5","1,019","12.8","6,240","8","296","20.3","5,720"
"November 1997","61","180,999","14.7","1,122,500","21","6,056","15.9","94,840","7","1,291","13.7","8,880","6","45,238","10.7","361,580","5","143","16.2","2,470"
"December 1997","54","54,622","16.9","258,940","19","5,241","17.2","99,220","8","280","17.9","4,950","5","45,284","9.6","136,710","5","143","20.4","3,090"
"January 1998","55","7,174","15.5","112,590","17","4,269","17.7","83,250","8","367","15.9","3,430","3","150","16.3","2,040","5","245","13.0","2,390"
"February 1998","64","9,088","14.3","125,530","24","5,243","14.8","87,010","7","397","16.6","5,200","2","132","15.0","1,570","3","117","14.7","1,840"
"March 1998","62","17,649","16.2","148,480","25","5,394","17.2","94,340","5","215","22.0","3,690","2","132","16.5","1,730","3","96","18.0","2,010"
"April 1998","67","10,518","13.4","83,440","25","5,530","13.7","52,840","9","676","13.4","4,570","3","139","8.3","760","7","636","10.4","3,230"
"May 1998","79","42,439","12.7","121,840","32","5,602","11.4","36,810","7","160","15.4","2,010","2","407","12.0","1,660","5","156","16.6","2,950"
"June 1998","93","36,433","13.6","277,360","31","2,821","16.2","41,870","6","154","11.2","1,600","6","863","8.8","8,250","8","1,550","11.1","26,920"
"July 1998","90","27,159","14.6","321,320","29","3,191","16.7","38,680","7","133","13.7","2,240","4","297","14.8","4,490","6","1,602","15.3","20,270"
"August 1998","85","17,001","14.1","248,160","30","2,180","13.2","23,210","8","145","14.9","2,420","4","234","15.3","4,540","5","685","18.4","10,100"
"September 1998","114","44,199","12.7","401,150","29","1,467","14.8","20,510","13","303","11.9","4,040","3","2,319","17.0","22,890","8","1,088","12.6","8,080"
"October 1998","95","27,772","12.7","200,400","22","2,115","14.1","19,260","12","456","15.3","5,770","4","741","16.3","14,830","6","361","17.3","5,670"
"November 1998","85","101,878","14.2","266,500","25","1,990","15.5","29,390","7","252","20.1","4,230","4","1,140","16.3","15,700","7","571","12.7","3,690"
"December 1998","81","11,065","15.6","133,500","23","6,098","16.7","67,760","13","376","16.8","6,770","5","730","13.8","13,310","12","862","12.1","11,720"
"January 1999","69","16,510","16.0","129,660","20","3,232","15.4","43,750","10","148","20.0","2,960","3","532","10.0","7,110","8","703","13.6","11,180"
"February 1999","75","10,375","14.8","129,440","18","2,809","14.3","33,110","11","173","18.0","2,930","3","341","8.7","2,260","8","714","18.0","11,020"
"March 1999","98","32,581","15.1","346,970","20","1,982","14.6","24,830","12","200","19.3","3,600","5","906","9.0","6,720","11","849","14.4","8,090"
"April 1999","99","54,132","14.6","382,740","27","9,503","12.2","62,190","12","203","16.6","3,110","6","8,873","8.8","14,760","9","845","16.1","4,520"
"May 1999","100","21,153","14.9","214,860","27","5,224","13.1","44,210","13","283","18.9","5,370","2","154","21.0","2,540","12","323","17.4","5,610"
"June 1999","108","17,858","14.3","193,260","27","2,907","15.4","36,350","16","674","14.8","8,850","2","154","15.0","2,460","12","435","17.3","5,520"
"July 1999","99","21,024","16.7","301,250","27","3,845","16.6","41,310","15","1,415","18.2","14,640","2","172","14.0","2,570","12","2,296","12.5","8,240"
"August 1999","94","11,884","15.5","176,840","36","3,445","12.8","27,630","12","507","22.1","10,930","2","172","13.0","3,410","6","432","16.5","5,910"
"September 1999","102","16,464","14.6","169,760","38","4,826","15.3","67,100","15","740","14.7","8,290","2","176","14.0","3,350","7","862","16.0","9,910"
"October 1999","95","10,601","14.4","122,330","42","6,081","13.0","75,270","12","394","19.6","7,800","3","976","9.0","4,200","8","486","16.4","9,030"
"November 1999","92","15,506","14.8","153,890","28","3,588","15.9","60,730","13","449","16.9","5,190","3","4,100","14.0","28,830","9","636","14.2","9,980"
"December 1999","94","17,919","13.5","113,050","28","3,660","15.3","48,500","13","385","14.8","5,500","6","2,166","6.3","11,030","6","395","10.5","5,790"
"January 2000","85","17,629","14.3","152,780","30","2,743","14.4","33,910","8","219","18.1","4,020","6","1,383","6.5","6,780","3","197","14.3","4,210"
"February 2000","84","11,832","14.8","73,730","30","2,505","13.0","23,920","10","258","19.1","4,760","4","59","15.5","1,020","4","226","16.0","4,430"
"March 2000","89","35,795","16.3","156,690","23","1,726","16.0","28,760","12","610","18.2","5,670","4","55","14.3","980","6","467","14.3","4,560"
"April 2000","93","24,518","13.1","152,950","32","2,878","12.3","31,870","12","519","16.8","7,520","6","583","13.8","7,890","10","773","10.9","4,470"
"May 2000","93","13,992","16.6","114,310","40","3,041","15.7","40,870","9","467","19.7","9,790","5","534","20.4","8,870","9","437","16.6","6,750"
"June 2000","97","23,102","13.8","140,900","43","19,220","12.3","97,430","9","516","18.9","9,800","5","289","11.2","2,480","10","464","17.3","8,540"
"July 2000","80","18,778","14.1","135,710","21","12,777","16.6","64,440","10","825","13.5","7,140","6","303","13.7","3,020","14","2,761","12.1","42,180"
"August 2000","79","10,372","14.8","106,370","24","2,052","14.8","27,150","7","607","17.9","8,060","8","477","18.1","6,760","7","714","16.4","13,010"
"September 2000","76","17,184","14.1","115,440","25","2,563","12.5","32,330","8","8,079","13.1","18,840","9","779","11.6","3,760","8","708","15.0","7,190"
"October 2000","86","32,152","13.1","188,350","22","3,822","15.1","44,260","8","1,386","13.5","5,990","6","315","10.2","1,650","10","660","13.8","9,440"
"November 2000","76","15,965","16.6","190,820","20","4,432","16.2","40,650","5","224","14.2","3,010","7","168","12.7","2,050","9","565","19.9","11,410"
"December 2000","77","11,269","15.6","116,050","21","4,042","15.1","35,330","8","393","15.6","5,240","7","171","14.9","2,820","11","2,306","13.1","10,930"
"January 2001","67","7,552","16.4","110,040","20","2,505","18.5","46,310","9","334","15.4","4,950","4","103","14.8","1,690","9","583","18.6","10,120"
