"Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0350-01 (formerly CANSIM 278-0013)"
"Release date: 2024-05-10"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 4","Canada",,,,,,,,,,,,,,,,,,,
"Industry","All industries",,,,"Manufacturing",,,,"Wholesale and retail trade 5",,,,"Transportation 6",,,,"Entertainment and hospitality 7",,,
"Sector","All sectors",,,,"All sectors",,,,"All sectors",,,,"All sectors",,,,"All sectors",,,
"Variable","Number of work stoppages","Maximum number of employees involved in work stoppages","Average duration of work stoppages in days","Person-days not worked","Number of work stoppages","Maximum number of employees involved in work stoppages","Average duration of work stoppages in days","Person-days not worked","Number of work stoppages","Maximum number of employees involved in work stoppages","Average duration of work stoppages in days","Person-days not worked","Number of work stoppages","Maximum number of employees involved in work stoppages","Average duration of work stoppages in days","Person-days not worked","Number of work stoppages","Maximum number of employees involved in work stoppages","Average duration of work stoppages in days","Person-days not worked"
"Reference period"
,"Number",,,,,,,,,,,,,,,,,,,
"January 1986","128","16,379","16.4","182,440","44","3,539","15.1","47,960","31","2,789","19.6","22,930","7","2,161","21.9","47,720","9","118","15.7","1,020"
"February 1986","146","21,100","13.2","202,670","53","6,888","14.3","64,380","30","1,224","15.5","18,970","9","3,472","16.2","45,130","12","391","10.8","1,520"
"March 1986","144","26,868","14.2","319,300","55","8,252","15.6","116,810","27","1,394","14.1","16,990","9","2,593","17.6","33,140","12","417","14.9","5,230"
"April 1986","157","27,531","13.7","209,490","73","9,732","13.6","92,940","26","1,255","14.0","17,310","12","1,499","13.1","11,570","12","312","14.7","2,930"
"May 1986","180","157,171","12.6","1,080,150","76","7,263","14.1","93,800","29","1,640","10.3","15,790","13","859","11.8","6,400","14","643","16.4","12,030"
"June 1986","191","165,947","12.2","1,322,420","90","13,683","13.0","150,640","20","1,254","12.4","15,480","13","1,066","10.4","5,490","15","694","13.8","6,940"
"July 1986","168","77,255","14.2","343,650","89","25,460","14.3","215,550","18","1,095","15.0","14,730","7","1,964","12.6","3,080","12","473","15.2","6,750"
"August 1986","168","44,553","14.0","750,690","89","30,258","14.3","558,320","22","3,472","12.4","52,670","5","554","10.2","1,150","10","386","19.6","7,610"
"September 1986","157","50,083","14.2","891,590","80","33,163","14.1","610,260","22","2,420","13.5","39,170","5","1,760","15.4","33,010","11","396","12.5","3,210"
"October 1986","147","68,004","15.0","770,370","69","30,372","15.5","617,750","20","846","14.3","9,420","7","6,126","9.3","28,620","8","174","19.6","3,170"
