category,forecast_year,model,MAE,RMSE,MAPE,train_time_sec
Bakery and cereal products (excluding baby food),2021,CovariatesDeepAR,3.4424074808756515,3.659336856369484,2.186851130716758,142.73308396339417
Bakery and cereal products (excluding baby food),2021,CovariatesTemporalFusionTransformer,1.8036326090494796,2.6148706479992216,1.1299294764346914,142.73308396339417
Dairy products and eggs,2021,CovariatesDeepAR,0.9406572977701823,1.2225310185014324,0.6491290302035794,142.73308396339417
Dairy products and eggs,2021,CovariatesTemporalFusionTransformer,3.820448303222657,4.180669967666244,2.606330049776923,142.73308396339417
"Fish, seafood and other marine products",2021,CovariatesDeepAR,4.323791376749675,4.4223360237072775,2.958203235640768,142.73308396339417
"Fish, seafood and other marine products",2021,CovariatesTemporalFusionTransformer,2.131218465169271,2.465920413932067,1.459827663664326,142.73308396339417
Food purchased from restaurants,2021,CovariatesDeepAR,0.7891059875488295,0.9942879380114245,0.4762404439089594,142.73308396339417
Food purchased from restaurants,2021,CovariatesTemporalFusionTransformer,2.7738527933756507,3.7665721366065004,1.6641455929102533,142.73308396339417
Food,2021,CovariatesDeepAR,1.5513598124186174,1.673120133029653,0.9872940075666982,142.73308396339417
Food,2021,CovariatesTemporalFusionTransformer,1.6714174906412727,2.2605505665883907,1.050473010767535,142.73308396339417
"Fruit, fruit preparations and nuts",2021,CovariatesDeepAR,2.0283096313476583,2.4735315333520527,1.4234285789772878,142.73308396339417
"Fruit, fruit preparations and nuts",2021,CovariatesTemporalFusionTransformer,2.5212275187174478,3.144458340479554,1.7479358549178907,142.73308396339417
Meat,2021,CovariatesDeepAR,5.246556091308598,6.8922520424180895,2.867278826634197,142.73308396339417
Meat,2021,CovariatesTemporalFusionTransformer,6.616886138916018,8.241576136417109,3.6194528028120376,142.73308396339417
Other food products and non-alcoholic beverages,2021,CovariatesDeepAR,0.8154861450195341,0.9670259551570398,0.5725327129888743,142.73308396339417
Other food products and non-alcoholic beverages,2021,CovariatesTemporalFusionTransformer,4.967914835611978,5.337090646290823,3.4760215992279777,142.73308396339417
Vegetables and vegetable preparations,2021,CovariatesDeepAR,10.781635157267248,11.619804910604563,6.991835346557901,142.73308396339417
Vegetables and vegetable preparations,2021,CovariatesTemporalFusionTransformer,6.99278564453125,8.056712786377824,4.5657282715971865,142.73308396339417
Bakery and cereal products (excluding baby food),2022,CovariatesDeepAR,16.50416297912598,17.85940316693404,9.136297660521596,141.23985981941223
Bakery and cereal products (excluding baby food),2022,CovariatesTemporalFusionTransformer,17.842161051432296,19.151325282920162,9.886709453170488,141.23985981941223
Dairy products and eggs,2022,CovariatesDeepAR,8.790832138061525,9.51180719715406,5.480266639717638,141.23985981941223
Dairy products and eggs,2022,CovariatesTemporalFusionTransformer,9.265356953938804,10.023544770615995,5.7757210002192885,141.23985981941223
"Fish, seafood and other marine products",2022,CovariatesDeepAR,7.222506713867186,7.738848998321937,4.538784792509279,141.23985981941223
"Fish, seafood and other marine products",2022,CovariatesTemporalFusionTransformer,8.141290537516275,8.610683018157458,5.1208530903119875,141.23985981941223
Food purchased from restaurants,2022,CovariatesDeepAR,8.621406428019204,9.361780634164976,4.857564390197549,141.23985981941223
Food purchased from restaurants,2022,CovariatesTemporalFusionTransformer,5.990148417154946,6.646876866142023,3.3707673355178094,141.23985981941223
Food,2022,CovariatesDeepAR,11.104742940266929,11.751473731022006,6.422939038314235,141.23985981941223
Food,2022,CovariatesTemporalFusionTransformer,10.689394887288413,11.202403253578582,6.187806744334895,141.23985981941223
"Fruit, fruit preparations and nuts",2022,CovariatesDeepAR,9.585150655110674,9.882943355267422,6.1186256994450465,141.23985981941223
"Fruit, fruit preparations and nuts",2022,CovariatesTemporalFusionTransformer,10.492973581949867,10.779899337603293,6.700228597385917,141.23985981941223
Meat,2022,CovariatesDeepAR,12.986983871459964,13.536829082256787,6.694618597225537,141.23985981941223
Meat,2022,CovariatesTemporalFusionTransformer,8.948409016927087,9.336426732094905,4.613158078295298,141.23985981941223
Other food products and non-alcoholic beverages,2022,CovariatesDeepAR,12.790767923990883,13.522236638662832,8.003263705947074,141.23985981941223
Other food products and non-alcoholic beverages,2022,CovariatesTemporalFusionTransformer,14.600072479248043,15.338510904006643,9.141435130392328,141.23985981941223
Vegetables and vegetable preparations,2022,CovariatesDeepAR,8.905838775634768,10.268288273258786,5.137207806473563,141.23985981941223
Vegetables and vegetable preparations,2022,CovariatesTemporalFusionTransformer,6.965423075358075,8.926888812991256,3.989480186683631,141.23985981941223
Bakery and cereal products (excluding baby food),2023,CovariatesDeepAR,13.847639338175455,14.096193683052332,7.03260569178912,136.50964832305908
Bakery and cereal products (excluding baby food),2023,CovariatesTemporalFusionTransformer,19.419597880045572,19.643401552451092,9.867728566120082,136.50964832305908
Dairy products and eggs,2023,CovariatesDeepAR,4.5292662302653,4.601436281301466,2.6782261336285114,136.50964832305908
Dairy products and eggs,2023,CovariatesTemporalFusionTransformer,8.009500376383464,8.047096329129836,4.7364177321757674,136.50964832305908
"Fish, seafood and other marine products",2023,CovariatesDeepAR,1.2038850148518871,1.888942851711966,0.7415643404051314,136.50964832305908
"Fish, seafood and other marine products",2023,CovariatesTemporalFusionTransformer,2.292425537109376,2.603484186832014,1.3910962961074929,136.50964832305908
Food purchased from restaurants,2023,CovariatesDeepAR,5.185966110229489,5.552456575686834,2.753678719073141,136.50964832305908
Food purchased from restaurants,2023,CovariatesTemporalFusionTransformer,6.937141672770179,7.261799872296867,3.6879096810293492,136.50964832305908
Food,2023,CovariatesDeepAR,6.8048350016276045,6.902118045380432,3.6862591608499717,136.50964832305908
Food,2023,CovariatesTemporalFusionTransformer,9.64205551147461,9.731606616761566,5.225064419942389,136.50964832305908
"Fruit, fruit preparations and nuts",2023,CovariatesDeepAR,4.996015040079752,5.44306645904421,2.9684064845620823,136.50964832305908
"Fruit, fruit preparations and nuts",2023,CovariatesTemporalFusionTransformer,7.708374786376953,8.064306669009538,4.587766429397758,136.50964832305908
Meat,2023,CovariatesDeepAR,6.1006364186604785,6.2444053260262855,2.9718327305732566,136.50964832305908
Meat,2023,CovariatesTemporalFusionTransformer,4.653427378336585,5.003085516608207,2.263202300173067,136.50964832305908
Other food products and non-alcoholic beverages,2023,CovariatesDeepAR,8.703364690144857,8.994237420723996,5.0291656803394265,136.50964832305908
Other food products and non-alcoholic beverages,2023,CovariatesTemporalFusionTransformer,13.585299173990885,13.807317335402717,7.859369140028841,136.50964832305908
Vegetables and vegetable preparations,2023,CovariatesDeepAR,8.035741297403968,8.794751403177894,4.310051077504535,136.50964832305908
Vegetables and vegetable preparations,2023,CovariatesTemporalFusionTransformer,4.1535151163736925,5.100028881099579,2.2299930936552306,136.50964832305908
Bakery and cereal products (excluding baby food),2024,CovariatesDeepAR,3.682384999593097,4.328509901907194,1.8540660443045747,153.20718002319336
Bakery and cereal products (excluding baby food),2024,CovariatesTemporalFusionTransformer,13.442342885335288,13.769664607905895,6.785726949656909,153.20718002319336
Dairy products and eggs,2024,CovariatesDeepAR,3.251449966430665,3.6470032624389037,1.8937809958266099,153.20718002319336
Dairy products and eggs,2024,CovariatesTemporalFusionTransformer,7.35671844482422,7.4312253768321,4.258401624880165,153.20718002319336
"Fish, seafood and other marine products",2024,CovariatesDeepAR,11.13641103108724,11.39356178134928,6.891347977376973,153.20718002319336
