model,MAE,RMSE,MAPE,forecast_year
CovariatesDeepAR,3.3243676644784435,3.7693584901278907,2.1236437014661136,2021
CovariatesTemporalFusionTransformer,3.699931533248336,4.452046849150859,2.3688715913454246,2021
CovariatesDeepAR,10.723599158393013,11.49262345300476,6.2655075922612795,2022
CovariatesTemporalFusionTransformer,10.326136666757089,11.112950997567813,6.087351068479071,2022
CovariatesDeepAR,6.600816571270977,6.946400894011713,3.574643335413908,2023
CovariatesTemporalFusionTransformer,8.489037492540145,8.806902995510157,4.6498386287366635,2023
CovariatesDeepAR,3.765066259878652,4.245424927145233,2.139594196922289,2024
CovariatesTemporalFusionTransformer,8.071223477964049,8.54046572906261,4.450512937714693,2024
CovariatesDeepAR,5.8534419165717235,6.392378655341317,3.0195247979499142,2025
CovariatesTemporalFusionTransformer,5.446790483262804,5.951900739666879,2.860221260697175,2025
