Date,Energy 
1986-12-01,64.2
1987-01-01,66.0
1987-02-01,67.0
1987-03-01,66.9
1987-04-01,67.3
1987-05-01,67.5
1987-06-01,67.4
1987-07-01,67.3
1987-08-01,67.7
1987-09-01,66.6
1987-10-01,66.8
1987-11-01,66.5
1987-12-01,66.6
1988-01-01,66.4
1988-02-01,66.4
1988-03-01,66.2
1988-04-01,66.0
1988-05-01,66.1
1988-06-01,66.1
1988-07-01,65.7
1988-08-01,65.3
1988-09-01,64.9
1988-10-01,64.2
1988-11-01,64.1
1988-12-01,63.6
1989-01-01,63.4
1989-02-01,62.1
1989-03-01,62.0
1989-04-01,62.2
1989-05-01,63.0
1989-06-01,63.2
1989-07-01,63.4
1989-08-01,63.4
1989-09-01,64.2
1989-10-01,64.2
1989-11-01,64.3
1989-12-01,64.3
1990-01-01,64.5
1990-02-01,65.0
1990-03-01,66.2
1990-04-01,66.5
1990-05-01,66.4
1990-06-01,66.4
1990-07-01,67.3
1990-08-01,67.3
1990-09-01,69.3
1990-10-01,73.7
1990-11-01,76.7
1990-12-01,78.9
1991-01-01,83.9
1991-02-01,81.5
1991-03-01,79.6
1991-04-01,74.6
1991-05-01,73.1
1991-06-01,73.1
1991-07-01,72.6
1991-08-01,72.4
1991-09-01,72.1
1991-10-01,72.2
1991-11-01,72.9
1991-12-01,72.9
1992-01-01,76.2
1992-02-01,75.5
1992-03-01,75.5
1992-04-01,75.3
1992-05-01,76.8
1992-06-01,76.8
1992-07-01,77.0
1992-08-01,77.1
1992-09-01,78.0
1992-10-01,78.0
1992-11-01,79.0
1992-12-01,79.0
1993-01-01,79.0
1993-02-01,79.0
1993-03-01,79.1
1993-04-01,79.5
1993-05-01,79.3
1993-06-01,79.3
1993-07-01,77.3
1993-08-01,77.3
1993-09-01,76.0
1993-10-01,76.0
1993-11-01,77.0
1993-12-01,76.8
1994-01-01,78.3
1994-02-01,78.3
1994-03-01,78.4
1994-04-01,78.3
1994-05-01,78.0
