Date,Meat,"Fish, seafood and other marine products",Dairy products and eggs,Bakery and cereal products (excluding baby food),"Fruit, fruit preparations and nuts",Vegetables and vegetable preparations,Other food products and non-alcoholic beverages,Food purchased from restaurants 
1986-01-01,59.3,58.1,76.3,69.6,76.1,77.0,73.2,61.7
1986-02-01,57.5,57.5,76.1,68.9,76.5,70.3,72.4,61.7
1986-03-01,52.5,55.9,75.3,67.6,68.0,65.0,70.1,61.9
1986-04-01,51.9,55.1,75.6,67.9,77.2,68.9,71.6,61.9
1986-05-01,51.6,55.8,75.8,68.6,79.1,75.6,72.8,62.0
1986-06-01,51.6,56.2,75.8,68.6,76.3,72.7,72.2,62.0
1986-07-01,52.9,56.6,76.0,68.5,78.2,75.2,71.4,62.7
1986-08-01,57.6,56.2,76.3,69.2,79.7,77.7,71.5,62.9
1986-09-01,61.2,56.9,76.5,69.2,80.3,68.9,71.5,63.3
1986-10-01,60.7,57.8,76.5,69.9,77.4,70.8,71.4,63.6
1986-11-01,62.4,59.9,76.6,70.5,76.0,74.5,72.2,63.7
1986-12-01,62.4,61.5,77.0,70.4,74.7,73.0,71.4,63.7
1987-01-01,63.3,62.3,77.1,71.9,75.7,76.4,73.8,63.8
1987-02-01,63.2,62.9,76.9,71.4,74.2,80.2,73.3,64.0
1987-03-01,62.1,62.1,76.9,72.2,76.1,79.7,72.7,64.3
1987-04-01,61.1,62.7,77.0,73.0,77.5,78.5,73.5,64.7
1987-05-01,62.8,63.3,77.1,73.7,80.0,82.0,76.2,64.8
1987-06-01,64.7,63.3,77.2,73.7,84.5,84.3,75.5,65.0
1987-07-01,65.1,63.7,77.2,73.3,85.3,86.6,75.6,65.4
1987-08-01,66.4,64.0,77.3,74.4,84.0,77.5,76.2,65.7
1987-09-01,65.1,64.0,77.3,74.8,81.3,74.9,74.8,65.8
1987-10-01,65.2,64.7,77.3,74.5,77.9,73.5,74.0,65.9
1987-11-01,63.9,65.8,77.4,74.8,77.3,77.6,74.0,66.0
1987-12-01,62.8,66.0,77.4,74.8,76.5,81.8,71.9,66.0
1988-01-01,63.0,67.7,77.5,76.0,73.5,85.1,75.2,66.3
1988-02-01,62.8,68.0,77.7,76.7,78.6,81.7,75.5,66.5
1988-03-01,61.6,69.0,77.6,76.2,79.1,73.9,76.3,66.8
1988-04-01,62.6,70.4,77.4,77.1,79.5,74.9,75.8,67.3
1988-05-01,62.1,71.0,77.8,77.7,83.0,77.6,76.5,67.6
1988-06-01,62.8,70.5,76.6,77.8,87.4,78.6,76.2,67.6
1988-07-01,64.5,71.3,77.4,78.6,86.6,81.3,77.4,68.1
1988-08-01,63.5,72.3,77.9,78.6,89.2,80.1,79.0,68.2
1988-09-01,63.9,73.6,78.2,78.6,85.2,76.5,79.4,68.3
1988-10-01,64.4,75.4,78.5,79.8,86.6,80.1,80.1,68.4
1988-11-01,64.0,75.6,78.2,80.0,85.1,77.4,79.5,68.7
1988-12-01,63.8,75.8,78.5,80.5,78.6,78.0,77.8,68.8
1989-01-01,64.8,77.0,80.8,80.5,79.7,89.6,80.8,68.9
1989-02-01,64.8,76.5,80.2,80.0,77.7,89.9,78.7,68.9
1989-03-01,65.7,76.1,80.3,80.5,83.3,84.8,79.6,68.9
1989-04-01,64.5,77.0,80.3,79.4,83.6,86.1,80.8,69.2
1989-05-01,63.3,77.1,80.3,78.2,87.6,95.9,83.6,69.4
1989-06-01,63.9,77.6,80.2,78.4,89.5,98.4,83.4,69.5
1989-07-01,65.4,78.3,80.6,79.9,92.6,99.7,83.3,69.8
