Date,Total index
1986-01-01,76.9
1986-02-01,77.2
1986-03-01,77.5
1986-04-01,77.0
1986-05-01,77.4
1986-06-01,78.0
1986-07-01,81.6
1986-08-01,81.5
1986-09-01,82.4
1986-10-01,81.4
1986-11-01,81.5
1986-12-01,81.6
1987-01-01,81.7
1987-02-01,81.2
1987-03-01,81.3
1987-04-01,81.4
1987-05-01,82.9
1987-06-01,82.9
1987-07-01,77.7
1987-08-01,77.8
1987-09-01,78.6
1987-10-01,76.5
1987-11-01,75.4
1987-12-01,76.2
1988-01-01,76.1
1988-02-01,76.4
1988-03-01,76.2
1988-04-01,76.0
1988-05-01,76.5
1988-06-01,76.3
1988-07-01,76.6
1988-08-01,79.2
1988-09-01,80.1
1988-10-01,80.9
1988-11-01,80.0
1988-12-01,80.5
1989-01-01,80.2
1989-02-01,80.8
1989-03-01,81.2
1989-04-01,80.0
1989-05-01,80.3
1989-06-01,80.9
1989-07-01,80.9
1989-08-01,80.3
1989-09-01,80.5
1989-10-01,81.3
1989-11-01,80.7
1989-12-01,80.7
1990-01-01,79.6
1990-02-01,79.4
1990-03-01,79.4
1990-04-01,80.3
1990-05-01,80.6
1990-06-01,81.8
1990-07-01,81.5
1990-08-01,81.2
1990-09-01,81.3
1990-10-01,81.4
1990-11-01,80.3
1990-12-01,79.9
1991-01-01,81.8
1991-02-01,81.4
1991-03-01,82.6
1991-04-01,81.0
1991-05-01,82.0
1991-06-01,82.6
1991-07-01,86.1
1991-08-01,85.5
1991-09-01,85.0
1991-10-01,85.1
1991-11-01,84.3
1991-12-01,84.3
1992-01-01,85.8
1992-02-01,84.2
1992-03-01,83.7
1992-04-01,84.5
1992-05-01,85.0
1992-06-01,83.3
1992-07-01,89.0
1992-08-01,87.3
1992-09-01,85.1
1992-10-01,86.8
1992-11-01,88.4
1992-12-01,87.2
1993-01-01,86.9
1993-02-01,88.0
1993-03-01,89.2
1993-04-01,89.3
1993-05-01,89.1
1993-06-01,93.3
1993-07-01,88.2
1993-08-01,89.2
1993-09-01,91.3
1993-10-01,91.0
1993-11-01,83.1
1993-12-01,89.2
1994-01-01,89.3
1994-02-01,92.2
1994-03-01,92.4
1994-04-01,91.2
1994-05-01,89.3
1994-06-01,91.3
1994-07-01,91.8
1994-08-01,91.0
1994-09-01,90.8
1994-10-01,88.3
1994-11-01,89.1
1994-12-01,88.2
1995-01-01,88.0
1995-02-01,88.8
1995-03-01,88.8
1995-04-01,87.9
1995-05-01,86.8
1995-06-01,86.0
1995-07-01,91.3
1995-08-01,90.2
1995-09-01,90.2
1995-10-01,87.5
1995-11-01,100.9
1995-12-01,86.5
1996-01-01,95.6
1996-02-01,95.6
1996-03-01,92.2
1996-04-01,94.4
1996-05-01,95.0
1996-06-01,93.5
1996-07-01,92.6
1996-08-01,95.2
1996-09-01,96.4
1996-10-01,90.2
1996-11-01,86.6
1996-12-01,92.3
1997-01-01,89.2
1997-02-01,92.1
1997-03-01,96.0
1997-04-01,94.8
1997-05-01,93.8
1997-06-01,93.6
1997-07-01,91.8
1997-08-01,99.5
1997-09-01,99.8
1997-10-01,101.3
1997-11-01,94.3
1997-12-01,96.4
1998-01-01,97.2
1998-02-01,96.5
1998-03-01,96.6
1998-04-01,98.4
1998-05-01,99.6
1998-06-01,95.2
1998-07-01,88.5
1998-08-01,91.9
1998-09-01,95.8
1998-10-01,94.2
1998-11-01,87.6
1998-12-01,90.0
1999-01-01,86.4
1999-02-01,89.3
1999-03-01,89.5
1999-04-01,89.6
1999-05-01,88.7
1999-06-01,93.5
1999-07-01,100.3
1999-08-01,102.2
1999-09-01,92.6
1999-10-01,95.1
1999-11-01,99.7
1999-12-01,93.1
2000-01-01,99.3
2000-02-01,100.3
2000-03-01,99.1
2000-04-01,100.0
2000-05-01,100.1
2000-06-01,95.1
2000-07-01,93.3
2000-08-01,92.2
2000-09-01,98.6
2000-10-01,98.2
2000-11-01,97.8
2000-12-01,94.5
2001-01-01,94.2
2001-02-01,97.7
2001-03-01,99.9
2001-04-01,98.0
2001-05-01,97.7
2001-06-01,100.3
2001-07-01,97.1
2001-08-01,96.4
2001-09-01,99.8
2001-10-01,99.1
2001-11-01,94.9
2001-12-01,94.7
2002-01-01,100.0
2002-02-01,106.4
2002-03-01,105.6
2002-04-01,108.7
2002-05-01,111.8
2002-06-01,106.7
2002-07-01,107.3
2002-08-01,112.3
2002-09-01,105.7
2002-10-01,101.7
2002-11-01,98.6
2002-12-01,99.6
2003-01-01,105.6
2003-02-01,102.6
2003-03-01,106.9
2003-04-01,105.9
2003-05-01,107.4
2003-06-01,107.0
2003-07-01,103.3
2003-08-01,103.9
2003-09-01,102.1
2003-10-01,100.3
2003-11-01,101.8
2003-12-01,99.4
2004-01-01,101.7
2004-02-01,100.8
2004-03-01,102.0
2004-04-01,100.0
2004-05-01,101.1
2004-06-01,105.9
2004-07-01,104.4
2004-08-01,105.0
2004-09-01,100.2
2004-10-01,98.6
2004-11-01,98.9
2004-12-01,101.0
2005-01-01,100.7
2005-02-01,103.5
2005-03-01,97.4
2005-04-01,91.6
2005-05-01,89.2
2005-06-01,95.4
2005-07-01,93.8
2005-08-01,99.8
2005-09-01,103.4
2005-10-01,109.0
2005-11-01,106.7
2005-12-01,105.0
2006-01-01,98.6
2006-02-01,99.5
2006-03-01,99.9
2006-04-01,100.5
2006-05-01,100.1
2006-06-01,97.9
2006-07-01,100.3
2006-08-01,104.7
2006-09-01,103.7
2006-10-01,101.0
2006-11-01,98.1
2006-12-01,98.9
2007-01-01,98.2
2007-02-01,99.0
2007-03-01,100.5
2007-04-01,97.4
2007-05-01,98.1
2007-06-01,100.6
2007-07-01,97.8
2007-08-01,100.7
2007-09-01,101.1
2007-10-01,99.0
2007-11-01,102.0
2007-12-01,105.7
2008-01-01,106.3
2008-02-01,102.9
2008-03-01,108.4
2008-04-01,104.1
2008-05-01,105.7
2008-06-01,111.2
2008-07-01,110.6
2008-08-01,107.2
2008-09-01,104.4
2008-10-01,106.1
2008-11-01,104.0
2008-12-01,106.3
2009-01-01,101.5
2009-02-01,105.2
2009-03-01,102.1
2009-04-01,107.2
2009-05-01,105.8
2009-06-01,106.7
2009-07-01,100.5
2009-08-01,103.0
2009-09-01,102.9
2009-10-01,104.8
2009-11-01,103.4
2009-12-01,102.7
2010-01-01,104.0
2010-02-01,106.9
2010-03-01,106.0
2010-04-01,104.7
2010-05-01,106.0
2010-06-01,105.1
2010-07-01,107.6
2010-08-01,111.1
2010-09-01,113.3
2010-10-01,113.0
2010-11-01,110.5
2010-12-01,107.7
2011-01-01,110.9
2011-02-01,114.0
2011-03-01,113.7
2011-04-01,115.6
2011-05-01,115.9
2011-06-01,114.5
2011-07-01,114.7
2011-08-01,117.6
2011-09-01,118.8
2011-10-01,121.4
2011-11-01,119.3
2011-12-01,114.9
2012-01-01,122.3
2012-02-01,121.7
2012-03-01,119.0
2012-04-01,113.1
2012-05-01,113.1
2012-06-01,114.5
2012-07-01,111.7
2012-08-01,113.8
2012-09-01,116.1
2012-10-01,115.5
2012-11-01,122.3
2012-12-01,124.7
2013-01-01,121.6
2013-02-01,120.5
2013-03-01,126.2
2013-04-01,123.9
2013-05-01,123.7
2013-06-01,123.1
2013-07-01,120.6
2013-08-01,120.0
2013-09-01,119.3
2013-10-01,117.7
2013-11-01,118.0
2013-12-01,118.4
2014-01-01,116.9
2014-02-01,119.0
2014-03-01,125.2
2014-04-01,125.8
2014-05-01,125.6
2014-06-01,122.8
2014-07-01,123.8
2014-08-01,123.0
2014-09-01,129.0
2014-10-01,137.6
2014-11-01,134.9
2014-12-01,130.0
2015-01-01,127.6
2015-02-01,129.4
2015-03-01,131.6
2015-04-01,135.1
2015-05-01,133.7
2015-06-01,129.5
2015-07-01,133.8
2015-08-01,136.1
2015-09-01,138.0
2015-10-01,134.2
2015-11-01,131.3
2015-12-01,126.7
2016-01-01,131.9
2016-02-01,135.3
2016-03-01,136.2
2016-04-01,134.4
2016-05-01,134.1
2016-06-01,132.7
2016-07-01,131.6
2016-08-01,131.7
2016-09-01,127.0
2016-10-01,122.1
2016-11-01,123.9
2016-12-01,129.6
2017-01-01,131.6
2017-02-01,133.6
2017-03-01,129.4
2017-04-01,129.0
2017-05-01,129.5
2017-06-01,130.4
2017-07-01,132.0
2017-08-01,135.3
2017-09-01,135.0
2017-10-01,136.8
2017-11-01,139.0
2017-12-01,138.5
2018-01-01,133.5
2018-02-01,132.2
2018-03-01,134.6
2018-04-01,134.0
2018-05-01,133.3
2018-06-01,134.6
2018-07-01,136.8
2018-08-01,138.1
2018-09-01,138.7
2018-10-01,137.2
2018-11-01,136.8
2018-12-01,137.1
2019-01-01,138.5
2019-02-01,138.3
2019-03-01,140.7
2019-04-01,143.0
2019-05-01,142.6
2019-06-01,138.4
2019-07-01,138.1
2019-08-01,136.0
2019-09-01,134.9
2019-10-01,138.1
2019-11-01,138.3
2019-12-01,138.6
2020-01-01,139.1
2020-02-01,140.9
2020-03-01,141.5
2020-04-01,141.5
2020-05-01,141.2
2020-06-01,140.8
2020-07-01,140.9
2020-08-01,141.3
2020-09-01,141.7
2020-10-01,140.6
2020-11-01,141.5
2020-12-01,142.6
2021-01-01,142.4
2021-02-01,143.6
2021-03-01,146.5
2021-04-01,148.3
2021-05-01,148.6
2021-06-01,149.1
2021-07-01,152.3
2021-08-01,153.7
2021-09-01,154.5
2021-10-01,153.7
2021-11-01,154.1
2021-12-01,155.5
2022-01-01,159.4
2022-02-01,163.4
2022-03-01,162.2
2022-04-01,163.5
2022-05-01,163.6
2022-06-01,164.4
2022-07-01,164.7
2022-08-01,165.0
2022-09-01,167.4
2022-10-01,170.2
2022-11-01,171.2
2022-12-01,172.1
2023-01-01,171.6
2023-02-01,172.5
2023-03-01,173.7
2023-04-01,172.8
2023-05-01,172.6
2023-06-01,171.3
2023-07-01,173.7
2023-08-01,173.6
2023-09-01,178.2
2023-10-01,183.5
2023-11-01,184.3
2023-12-01,180.7
