Date,Meat,"Fish, seafood and other marine products",Dairy products and eggs,Bakery and cereal products (excluding baby food),"Fruit, fruit preparations and nuts",Vegetables and vegetable preparations,Other food products and non-alcoholic beverages,Food purchased from restaurants 
1986-01-01,78.3,48.2,85.0,65.4,88.2,70.4,80.5,63.1
1986-02-01,75.5,48.3,78.7,65.5,82.7,68.1,80.1,63.1
1986-03-01,75.6,49.2,78.3,63.1,83.9,68.2,81.6,63.1
1986-04-01,75.1,50.5,77.8,63.8,87.5,69.1,81.9,63.2
1986-05-01,78.3,50.7,92.5,66.9,92.5,74.6,81.1,63.2
1986-06-01,80.1,50.8,84.4,66.6,91.4,73.9,82.6,63.2
1986-07-01,77.2,50.9,80.4,67.0,89.7,72.1,83.7,63.9
1986-08-01,79.1,51.3,80.3,67.1,91.4,73.5,82.1,64.3
1986-09-01,80.3,51.1,80.4,66.6,94.7,69.5,82.5,64.7
1986-10-01,79.6,51.2,80.2,67.0,86.2,66.9,81.5,65.1
1986-11-01,80.1,52.4,80.6,66.9,87.8,69.4,82.6,65.1
1986-12-01,79.1,52.7,80.7,67.0,85.5,68.2,82.5,65.8
1987-01-01,80.5,52.9,81.0,66.8,88.7,71.9,84.2,65.8
1987-02-01,79.0,52.1,78.4,65.1,85.8,72.3,84.8,65.8
1987-03-01,77.3,53.1,79.4,66.9,82.0,69.9,85.3,67.1
1987-04-01,78.1,53.9,79.2,65.4,83.6,73.2,84.8,67.4
1987-05-01,79.8,52.7,87.2,67.4,91.4,75.3,85.1,68.3
1987-06-01,80.2,52.6,78.6,66.9,92.7,73.5,82.9,68.3
1987-07-01,80.3,53.9,78.7,66.7,92.1,75.4,81.5,68.6
1987-08-01,80.7,55.0,79.3,67.0,89.5,71.0,83.2,68.6
1987-09-01,80.5,55.2,79.2,66.1,91.0,71.6,82.8,68.6
1987-10-01,82.4,55.8,79.8,66.9,88.7,72.5,83.3,68.6
1987-11-01,81.5,56.6,79.6,66.9,90.3,72.4,82.8,68.6
1987-12-01,77.8,56.6,79.8,66.2,86.7,78.7,82.5,68.6
