Date,Energy 
1986-12-01,70.7
1987-01-01,71.0
1987-02-01,71.1
1987-03-01,71.7
1987-04-01,71.9
1987-05-01,71.3
1987-06-01,71.2
1987-07-01,71.3
1987-08-01,71.7
1987-09-01,72.8
1987-10-01,73.5
1987-11-01,74.1
1987-12-01,74.4
1988-01-01,74.4
1988-02-01,74.8
1988-03-01,74.7
1988-04-01,73.8
1988-05-01,73.7
1988-06-01,72.7
1988-07-01,72.9
1988-08-01,73.1
1988-09-01,71.7
1988-10-01,71.4
1988-11-01,68.8
1988-12-01,67.6
1989-01-01,67.2
1989-02-01,67.2
1989-03-01,68.2
1989-04-01,69.1
1989-05-01,69.8
1989-06-01,69.7
1989-07-01,70.8
1989-08-01,71.2
1989-09-01,73.0
1989-10-01,73.7
1989-11-01,73.8
1989-12-01,74.3
1990-01-01,74.4
1990-02-01,74.7
1990-03-01,74.8
1990-04-01,75.2
1990-05-01,76.4
1990-06-01,75.8
1990-07-01,75.9
1990-08-01,76.9
1990-09-01,79.1
1990-10-01,78.7
1990-11-01,79.0
1990-12-01,85.3
1991-01-01,98.0
1991-02-01,99.1
1991-03-01,94.6
1991-04-01,89.2
1991-05-01,84.9
1991-06-01,84.6
1991-07-01,84.1
1991-08-01,85.3
1991-09-01,84.2
1991-10-01,85.5
1991-11-01,85.3
1991-12-01,85.6
1992-01-01,85.6
1992-02-01,85.8
1992-03-01,85.6
1992-04-01,83.9
1992-05-01,83.9
1992-06-01,84.0
1992-07-01,84.7
1992-08-01,84.8
1992-09-01,85.3
1992-10-01,86.1
1992-11-01,86.5
1992-12-01,86.0
1993-01-01,85.5
1993-02-01,86.2
1993-03-01,86.1
1993-04-01,84.8
1993-05-01,84.8
1993-06-01,84.7
1993-07-01,85.3
1993-08-01,85.0
1993-09-01,84.8
1993-10-01,85.1
1993-11-01,85.1
1993-12-01,85.1
1994-01-01,83.0
1994-02-01,81.6
1994-03-01,80.7
1994-04-01,79.4
1994-05-01,80.2
1994-06-01,80.5
1994-07-01,80.9
1994-08-01,81.5
1994-09-01,83.6
1994-10-01,85.4
1994-11-01,85.3
1994-12-01,84.5
1995-01-01,84.2
1995-02-01,84.4
1995-03-01,85.3
1995-04-01,85.3
1995-05-01,85.5
1995-06-01,85.8
1995-07-01,85.8
1995-08-01,85.9
1995-09-01,87.3
1995-10-01,87.3
1995-11-01,86.9
1995-12-01,84.2
1996-01-01,83.9
1996-02-01,83.9
1996-03-01,84.3
1996-04-01,86.1
1996-05-01,86.2
1996-06-01,86.5
1996-07-01,85.7
1996-08-01,85.6
1996-09-01,86.4
1996-10-01,86.4
1996-11-01,90.1
1996-12-01,89.9
1997-01-01,91.7
1997-02-01,91.7
1997-03-01,92.2
1997-04-01,92.4
1997-05-01,88.8
1997-06-01,88.1
1997-07-01,87.0
1997-08-01,87.0
1997-09-01,83.9
1997-10-01,83.9
1997-11-01,84.8
1997-12-01,84.8
1998-01-01,85.5
1998-02-01,85.2
1998-03-01,81.7
1998-04-01,80.8
1998-05-01,76.3
1998-06-01,76.2
1998-07-01,76.4
1998-08-01,76.1
1998-09-01,74.2
1998-10-01,74.8
1998-11-01,76.3
1998-12-01,76.3
1999-01-01,75.0
1999-02-01,75.0
1999-03-01,72.9
1999-04-01,72.9
1999-05-01,74.1
1999-06-01,74.3
