STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
IDC,M,82,SNO ADJ,19860201 0000,19860201 0000,11.10,,INCHES
IDC,M,82,SNO ADJ,19860301 0000,19860301 0000,26.70,,INCHES
IDC,M,82,SNO ADJ,19860401 0000,19860401 0000,27.30,,INCHES
IDC,M,82,SNO ADJ,19870201 0000,19870201 0000,5.10,,INCHES
IDC,M,82,SNO ADJ,19870301 0000,19870301 0000,8.70,,INCHES
IDC,M,82,SNO ADJ,19870401 0000,19870401 0000,10.60,,INCHES
IDC,M,82,SNO ADJ,19880201 0000,19880201 0000,11.40,,INCHES
IDC,M,82,SNO ADJ,19880301 0000,19880301 0000,9.70,,INCHES
IDC,M,82,SNO ADJ,19880401 0000,19880401 0000,3.40,,INCHES
IDC,M,82,SNO ADJ,19890201 0000,19890201 0000,12.00,,INCHES
IDC,M,82,SNO ADJ,19890301 0000,19890301 0000,17.90,,INCHES
IDC,M,82,SNO ADJ,19890401 0000,19890401 0000,23.80,,INCHES
IDC,M,82,SNO ADJ,19900101 0000,19900101 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19900201 0000,19900201 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19900301 0000,19900301 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19900401 0000,19900401 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19900501 0000,19900501 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19900601 0000,19900601 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19900701 0000,19900701 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19910101 0000,19910101 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19910201 0000,19910201 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19910301 0000,19910301 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19910401 0000,19910327 0000,13.80,,INCHES
IDC,M,82,SNO ADJ,19910501 0000,19910501 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19910601 0000,19910601 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19910701 0000,19910701 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19920101 0000,19920101 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19920201 0000,19920201 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19920301 0000,19920301 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19920401 0000,19920327 0000,9.10,,INCHES
IDC,M,82,SNO ADJ,19920501 0000,19920501 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19920601 0000,19920601 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19920701 0000,19920701 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19930101 0000,19930101 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19930201 0000,19930201 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19930301 0000,19930301 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19930401 0000,19930331 0000,32.60,,INCHES
IDC,M,82,SNO ADJ,19930501 0000,19930501 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19930601 0000,19930601 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19930701 0000,19930701 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19940101 0000,19940101 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19940201 0000,19940201 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19940301 0000,19940301 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19940401 0000,19940328 0000,10.40,,INCHES
IDC,M,82,SNO ADJ,19940501 0000,19940501 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19940601 0000,19940601 0000,---, ,INCHES
IDC,M,82,SNO ADJ,19940701 0000,19940701 0000,---, ,INCHES
