"Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0350-01 (formerly CANSIM 278-0013)"
"Release date: 2024-07-15"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 4","Canada",,,,
"Industry","All industries","Manufacturing","Wholesale and retail trade 5","Transportation 6","Entertainment and hospitality 7"
"Sector","All sectors","All sectors","All sectors","All sectors","All sectors"
"Variable","Person-days not worked","Person-days not worked","Person-days not worked","Person-days not worked","Person-days not worked"
"Reference period"
,"Number",,,,
"January 1986","182,440","47,960","22,930","47,720","1,020"
"February 1986","202,670","64,380","18,970","45,130","1,520"
"March 1986","319,300","116,810","16,990","33,140","5,230"
"April 1986","209,490","92,940","17,310","11,570","2,930"
"May 1986","1,080,150","93,800","15,790","6,400","12,030"
"June 1986","1,322,420","150,640","15,480","5,490","6,940"
"July 1986","343,650","215,550","14,730","3,080","6,750"
"August 1986","750,690","558,320","52,670","1,150","7,610"
"September 1986","891,590","610,260","39,170","33,010","3,210"
"October 1986","770,370","617,750","9,420","28,620","3,170"
"November 1986","685,410","555,170","6,770","21,520","3,010"
"December 1986","393,290","300,080","10,910","4,770","4,480"
"January 1987","264,730","188,570","42,780","5,500","4,720"
"February 1987","160,310","62,030","40,140","3,350","14,350"
"March 1987","170,580","50,900","11,480","630","14,880"
"April 1987","262,340","69,680","15,090","57,900","13,580"
"May 1987","274,860","146,710","18,280","37,070","18,170"
"June 1987","640,230","231,040","38,080","36,530","22,780"
"July 1987","400,600","329,350","36,040","8,680","7,290"
"August 1987","494,860","239,040","30,890","182,160","4,700"
"September 1987","322,230","128,160","37,880","18,060","3,340"
"October 1987","407,680","92,070","32,630","146,160","2,280"
"November 1987","186,960","116,070","16,410","33,730","1,370"
"December 1987","222,650","63,570","18,220","100,690","8,270"
"January 1988","182,490","71,960","15,030","9,260","7,340"
"February 1988","260,120","104,240","16,850","2,220","20,170"
"March 1988","248,810","175,270","14,040","8,330","6,440"
"April 1988","146,050","90,920","10,680","10,970","4,350"
"May 1988","512,320","123,840","11,530","75,760","4,810"
"June 1988","615,300","119,900","12,490","80,550","3,780"
"July 1988","614,420","105,900","11,360","12,000","2,620"
"August 1988","751,330","137,410","13,080","23,390","7,130"
"September 1988","802,300","120,210","15,940","30,850","28,800"
"October 1988","498,960","84,260","17,820","10,200","30,470"
"November 1988","172,770","103,620","15,760","8,420","12,840"
"December 1988","96,390","56,680","14,370","7,010","7,740"
"January 1989","152,080","100,720","14,030","8,720","5,510"
"February 1989","240,700","185,420","19,690","8,760","1,540"
"March 1989","318,250","190,950","20,260","17,820","2,110"
"April 1989","238,010","103,150","19,120","10,420","2,380"
"May 1989","215,410","108,340","11,580","8,750","3,110"
"June 1989","355,120","123,520","21,390","6,650","2,880"
"July 1989","245,030","94,040","23,880","7,260","2,370"
"August 1989","212,710","51,440","23,710","7,230","2,120"
"September 1989","893,800","40,930","14,900","6,540","4,900"
"October 1989","244,340","45,980","16,010","16,840","5,150"
"November 1989","396,290","70,920","11,050","46,980","4,570"
"December 1989","189,620","46,200","6,880","37,930","5,520"
"January 1990","132,450","39,780","8,280","11,970","5,300"
"February 1990","160,530","45,210","7,130","9,470","1,380"
"March 1990","197,230","66,570","7,110","2,950","2,280"
"April 1990","300,240","76,620","7,570","4,890","2,140"
"May 1990","610,790","84,890","11,080","7,240","1,450"
"June 1990","796,290","78,480","20,150","5,640","2,860"
"July 1990","290,500","97,300","16,700","6,710","2,070"
"August 1990","594,270","465,870","13,870","6,640","4,720"
"September 1990","716,950","545,300","9,850","31,590","3,800"
"October 1990","685,210","530,150","19,580","6,590","5,050"
"November 1990","421,700","302,360","19,170","7,050","6,720"
"December 1990","173,030","114,920","14,050","6,470","4,410"
"January 1991","273,280","62,610","16,860","4,440","3,700"
"February 1991","181,240","69,460","8,660","4,340","3,260"
"March 1991","181,140","58,890","6,680","3,780","4,160"
"April 1991","135,700","62,150","5,590","2,490","3,220"
"May 1991","181,910","39,930","24,890","680","4,170"
"June 1991","111,930","45,150","13,040","6,190","1,360"
"July 1991","106,070","44,990","14,810","21,780","530"
"August 1991","215,850","45,620","17,520","117,710","5,950"
"September 1991","770,010","32,000","7,060","108,020","3,520"
"October 1991","221,890","33,390","1,900","18,150","990"
"November 1991","71,190","37,500","2,700","12,930","840"
"December 1991","65,880","42,320","2,810","12,650","770"
"January 1992","112,630","45,140","3,050","15,390","630"
"February 1992","70,510","35,900","2,730","12,740","810"
"March 1992","148,690","49,100","3,230","14,380","1,010"
"April 1992","249,030","41,060","6,390","11,780","680"
"May 1992","171,870","53,620","5,270","9,820","2,400"
"June 1992","349,690","199,110","6,860","9,830","3,750"
"July 1992","288,070","136,770","10,150","11,050","4,210"
"August 1992","171,700","33,460","12,590","10,020","1,930"
"September 1992","146,900","65,130","13,110","12,010","1,810"
"October 1992","135,730","58,040","12,910","10,190","2,040"
"November 1992","130,590","38,710","11,960","11,110","8,950"
"December 1992","134,770","41,510","21,730","11,260","11,810"
"January 1993","118,040","27,850","16,590","12,320","9,280"
"February 1993","103,440","26,330","15,720","8,820","11,510"
"March 1993","113,740","31,720","12,480","3,210","17,920"
"April 1993","113,690","32,810","11,790","2,430","14,950"
"May 1993","182,130","49,020","10,860","2,670","15,160"
"June 1993","94,660","31,030","7,560","4,080","13,640"
"July 1993","102,260","36,540","5,910","18,450","10,000"
"August 1993","99,100","35,210","5,700","27,390","4,500"
"September 1993","97,480","43,290","5,520","2,480","3,410"
"October 1993","94,720","38,490","7,760","2,300","2,400"
"November 1993","151,860","42,520","40,790","230","1,320"
"December 1993","245,520","40,330","91,990","530","850"
"January 1994","172,870","36,460","94,280","10,710","590"
"February 1994","159,190","31,810","61,740","24,890","480"
"March 1994","89,220","33,810","4,970","8,280","880"
"April 1994","86,240","39,930","6,550","8,670","3,180"
"May 1994","182,140","45,530","4,780","10,370","5,460"
"June 1994","188,390","52,150","5,150","7,080","7,920"
"July 1994","86,530","40,160","3,110","4,810","3,870"
"August 1994","146,340","39,630","4,560","37,470","3,750"
"September 1994","179,490","43,900","5,880","68,900","4,990"
"October 1994","110,060","48,240","9,650","3,670","3,850"
"November 1994","114,450","74,510","9,160","6,930","1,290"
"December 1994","91,660","55,780","6,500","15,460","900"
"January 1995","134,510","95,310","4,930","13,290","180"
"February 1995","101,020","69,180","4,710","8,540","480"
"March 1995","328,340","48,150","5,210","216,640","26,750"
