"Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0350-01 (formerly CANSIM 278-0013)"
"Release date: 2024-07-15"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 4","Canada",,,,
"Industry","All industries","Manufacturing","Wholesale and retail trade 5","Transportation 6","Entertainment and hospitality 7"
"Sector","All sectors","All sectors","All sectors","All sectors","All sectors"
"Variable","Number of work stoppages","Number of work stoppages","Number of work stoppages","Number of work stoppages","Number of work stoppages"
"Reference period"
,"Number",,,,
"January 1986","128","44","31","7","9"
"February 1986","146","53","30","9","12"
"March 1986","144","55","27","9","12"
"April 1986","157","73","26","12","12"
"May 1986","180","76","29","13","14"
"June 1986","191","90","20","13","15"
"July 1986","168","89","18","7","12"
"August 1986","168","89","22","5","10"
"September 1986","157","80","22","5","11"
"October 1986","147","69","20","7","8"
"November 1986","139","67","18","4","9"
"December 1986","138","63","21","3","9"
"January 1987","125","57","22","7","12"
"February 1987","127","58","23","4","14"
"March 1987","130","53","24","2","17"
"April 1987","134","61","26","5","14"
"May 1987","159","71","32","6","17"
"June 1987","151","68","34","4","19"
"July 1987","136","67","25","3","16"
"August 1987","147","67","22","8","15"
"September 1987","140","64","18","12","15"
"October 1987","137","59","22","10","8"
"November 1987","110","52","18","7","8"
"December 1987","101","40","19","7","11"
"January 1988","108","45","22","9","7"
"February 1988","113","44","22","3","12"
"March 1988","129","57","23","9","11"
"April 1988","128","53","22","6","12"
"May 1988","135","56","25","7","14"
"June 1988","139","61","20","9","12"
"July 1988","123","53","22","10","9"
"August 1988","124","55","20","8","7"
"September 1988","133","67","16","9","8"
"October 1988","122","57","16","9","10"
"November 1988","113","49","16","7","12"
"December 1988","97","41","19","3","12"
"January 1989","101","49","12","6","11"
"February 1989","113","55","13","7","8"
"March 1989","143","67","22","13","6"
"April 1989","146","72","20","7","8"
"May 1989","159","68","25","8","9"
"June 1989","153","69","24","7","11"
"July 1989","144","54","24","8","7"
"August 1989","126","43","22","6","6"
"September 1989","120","41","19","5","10"
"October 1989","131","44","22","14","9"
"November 1989","117","46","20","12","10"
"December 1989","101","41","18","8","7"
"January 1990","86","34","14","7","7"
"February 1990","88","33","12","4","7"
"March 1990","122","53","15","5","7"
"April 1990","122","52","20","10","3"
"May 1990","144","59","23","12","5"
"June 1990","150","68","24","9","9"
"July 1990","122","54","23","10","6"
"August 1990","152","73","26","9","5"
"September 1990","142","68","21","8","5"
"October 1990","158","74","21","8","7"
"November 1990","145","67","17","7","15"
"December 1990","94","47","9","7","12"
"January 1991","83","38","9","6","7"
"February 1991","112","42","13","5","10"
"March 1991","114","40","14","7","10"
"April 1991","109","45","16","8","9"
"May 1991","116","40","16","3","9"
"June 1991","108","47","18","5","3"
"July 1991","84","34","13","5","4"
"August 1991","97","44","13","6","6"
"September 1991","102","38","11","6","8"
"October 1991","95","37","7","9","6"
"November 1991","85","35","6","9","6"
"December 1991","73","35","7","4","5"
"January 1992","73","33","8","7","2"
"February 1992","86","34","9","8","4"
"March 1992","85","33","10","7","4"
"April 1992","90","38","16","5","5"
"May 1992","88","39","12","2","8"
"June 1992","115","50","16","4","11"
"July 1992","115","47","22","5","9"
"August 1992","94","30","22","4","10"
"September 1992","86","29","19","7","6"
"October 1992","92","35","21","5","6"
"November 1992","98","32","23","9","7"
"December 1992","88","29","22","7","8"
"January 1993","89","29","18","7","5"
"February 1993","96","30","18","8","7"
"March 1993","98","28","18","7","10"
"April 1993","102","33","22","4","8"
"May 1993","113","36","23","3","11"
"June 1993","90","31","19","5","9"
"July 1993","87","33","15","5","7"
"August 1993","83","37","11","3","11"
"September 1993","93","37","12","4","8"
"October 1993","100","37","13","6","8"
"November 1993","95","34","12","3","5"
"December 1993","87","35","10","3","5"
"January 1994","84","36","10","5","4"
"February 1994","76","28","7","6","3"
"March 1994","80","32","6","4","6"
"April 1994","98","45","8","6","9"
"May 1994","106","49","7","6","9"
"June 1994","89","37","8","6","9"
"July 1994","85","36","11","4","9"
"August 1994","82","34","10","5","5"
"September 1994","86","39","10","4","9"
"October 1994","86","39","10","4","6"
"November 1994","87","41","12","3","5"
"December 1994","70","27","11","6","5"
"January 1995","70","27","10","8","4"
"February 1995","71","35","9","8","2"
"March 1995","74","33","11","9","3"
"April 1995","63","26","11","4","2"
"May 1995","81","31","17","10","4"
"June 1995","88","29","22","7","6"
"July 1995","87","36","16","7","5"
"August 1995","74","27","17","6","7"
"September 1995","69","27","15","6","2"
"October 1995","67","21","17","5","2"
"November 1995","57","20","15","4","2"
"December 1995","48","17","13","5","1"
"January 1996","50","18","10","6","1"
"February 1996","67","16","9","7","5"
"March 1996","59","18","12","4","3"
"April 1996","64","18","8","6","4"
"May 1996","79","28","14","5","7"
"June 1996","93","32","12","5","8"
"July 1996","97","29","10","6","11"
"August 1996","91","29","8","4","12"
"September 1996","67","24","8","5","8"
"October 1996","81","27","8","6","8"
"November 1996","81","19","11","10","7"
"December 1996","76","16","13","9","6"
"January 1997","72","19","10","10","6"
"February 1997","71","22","7","9","5"
"March 1997","80","26","9","12","5"
"April 1997","61","23","9","5","3"
"May 1997","60","23","7","6","6"
"June 1997","74","31","7","6","5"
"July 1997","69","30","4","3","3"
"August 1997","67","23","3","5","4"
"September 1997","59","21","4","3","9"
"October 1997","68","25","6","5","8"
"November 1997","61","21","7","6","5"
"December 1997","54","19","8","5","5"
"January 1998","55","17","8","3","5"
"February 1998","64","24","7","2","3"
"March 1998","62","25","5","2","3"
"April 1998","67","25","9","3","7"
"May 1998","79","32","7","2","5"
"June 1998","93","31","6","6","8"
"July 1998","90","29","7","4","6"
"August 1998","85","30","8","4","5"
"September 1998","114","29","13","3","8"
"October 1998","95","22","12","4","6"
"November 1998","85","25","7","4","7"
"December 1998","81","23","13","5","12"
"January 1999","69","20","10","3","8"
"February 1999","75","18","11","3","8"
"March 1999","98","20","12","5","11"
"April 1999","99","27","12","6","9"
"May 1999","100","27","13","2","12"
"June 1999","108","27","16","2","12"
"July 1999","99","27","15","2","12"
"August 1999","94","36","12","2","6"
"September 1999","102","38","15","2","7"
"October 1999","95","42","12","3","8"
"November 1999","92","28","13","3","9"
"December 1999","94","28","13","6","6"
"January 2000","85","30","8","6","3"
"February 2000","84","30","10","4","4"
"March 2000","89","23","12","4","6"
"April 2000","93","32","12","6","10"
"May 2000","93","40","9","5","9"
"June 2000","97","43","9","5","10"
"July 2000","80","21","10","6","14"
