model,MAPE,YoY_Residual,Rank_Mean
gemini-1.5-pro_report_True,0.4441571439030326,0.016857720836127688,1.5
ag_global_all_TemporalFusionTransformerModel_exp1_llm_,1.2051307954585124,0.11382161213488606,1.5
gemini-1.5-pro_report_False,0.42458519945940537,0.1517194875252924,2.5
claude-3-5-sonnet-20240620_report_False,1.0181167341038326,0.17483037586854563,2.6666666666666665
ag_local_AutoARIMAModel,0.5701497905351047,0.3497529618624058,2.75
ag_local_TemporalFusionTransformerModel,0.8042125197306138,0.37655523627618226,3.875
ag_global_all_SimpleFeedForwardModel_exp5_climate_,1.5585521613862552,0.25986212717054097,4.333333333333333
ag_local_DeepARModel,1.569417866680483,0.48665587574426217,4.625
claude-3-5-sonnet-20240620_report_True,1.1471542758335085,0.45265929860279736,4.75
ag_global_all_DeepARModel_exp1_llm_,0.6362980013267481,0.3354148325695647,5.0
ag_global_all_TemporalFusionTransformerModel_exp5_geopolitical_,0.8700607228676605,0.6239058793895154,5.0
ag_global_all_ChronosModel,1.209589051097774,0.5019855446403622,5.166666666666667
ag_global_all_SimpleFeedForwardModel,1.2871272128493485,0.4415371394748182,5.166666666666667
ag_global_all_SimpleFeedForwardModel_exp5_geopolitical_,1.2493232357895327,0.7611075134719059,5.3
ag_local_AutoETSModel,1.1054844614830743,0.5666841796134786,5.5
ag_global_all_TemporalFusionTransformerModel_exp5_manufacturing_,1.07059622763811,0.5623565107327837,5.5
ag_global_all_TemporalFusionTransformerModel,0.9845271749806671,0.533896690528529,5.5
ag_global_all_DeepARModel,1.603121212807676,0.6424250589841152,5.5
gpt-4o_report_True,0.5435214526300169,0.2191503708698604,5.5
ag_local_DLinearModel,1.809802690860818,0.5949691042959527,5.6
ag_global_all_SimpleFeedForwardModel_exp1_llm_,1.3318221550469413,0.6910918904198862,5.75
ag_global_all_SimpleFeedForwardModel_exp5_manufacturing_,0.9395790403300422,1.0413218731475977,6.0
ag_global_all_DLinearModel,2.787421259164728,0.8318332918221971,6.0
ag_global_cpi_with_covariates_TemporalFusionTransformerModel_exp5_manufacturing_,2.1843701985727435,0.6265088716118934,6.25
ag_global_cpi_with_covariates_TemporalFusionTransformerModel_exp1_human_,2.823080600369095,0.594488075233215,6.25
gpt-4o_report_False,0.6018676274232461,0.19105416947628062,6.5
ag_global_all_DeepARModel_exp5_climate_,3.015576225645825,1.4116250889561985,6.5
ag_local_SimpleFeedForwardModel,1.28623622310072,0.8056423348302528,6.75
ag_local_ChronosModel,1.1872518807199404,0.45984099475890106,7.125
ag_global_all_PatchTSTModel,2.683632534083935,0.6044995332663338,7.333333333333333
ag_global_all_SimpleFeedForwardModel_exp1_human_,1.1848344731528504,0.7635558917127374,7.375
ag_global_cpi_with_covariates_TemporalFusionTransformerModel_exp5_climate_,0.5750550119086765,0.43869240278714045,7.5
ag_local_NaiveModel,1.9579631885858915,0.7940380056771256,7.5
ag_global_all_DeepARModel_exp1_human_,2.8728434950252257,1.6331756865943345,7.5
ag_local_PatchTSTModel,0.9823836321072634,1.1086454363413214,8.0
ag_global_all_TemporalFusionTransformerModel_exp5_climate_,1.7595425085114897,1.3868148587235805,8.5
