Year,Month,Canada News-Based Policy Uncertainty Index
2007,6,51.59319006
2007,7,50.65945079
2007,8,60.7907649
2007,9,75.69238265
2007,10,72.282907
2007,11,82.84082306
2007,12,97.91312508
2008,1,112.4867681
2008,2,132.2068911
2008,3,104.6199111
2008,4,102.5618271
2008,5,82.21618776
2008,6,76.64591498
2008,7,70.88189942
2008,8,100.2048705
2008,9,184.167507
2008,10,360.2956432
2008,11,267.1357609
2008,12,268.9860478
2009,1,250.742997
2009,2,193.6695706
2009,3,166.987504
2009,4,136.4624412
2009,5,120.5772352
2009,6,91.76108622
2009,7,91.27556587
2009,8,96.65852382
2009,9,93.41319476
2009,10,110.3906582
2009,11,127.5926926
2009,12,102.3080776
2010,1,118.8346851
2010,2,97.12269747
2010,3,141.9658401
2010,4,103.8563255
2010,5,143.3607117
2010,6,139.3820539
2010,7,153.9352138
2010,8,144.8289752
2010,9,202.2310228
2010,10,211.829318
2010,11,182.5560933
2010,12,142.2542524
2011,1,128.3673924
2011,2,180.7766583
2011,3,172.4585334
2011,4,142.33187
2011,5,171.8931134
2011,6,161.5382383
2011,7,203.4188751
2011,8,337.3073059
2011,9,280.6702896
2011,10,300.8335593
2011,11,399.8462709
2011,12,309.3749021
2012,1,235.5164136
2012,2,184.2595504
2012,3,187.7797127
2012,4,173.8598302
2012,5,258.1724994
2012,6,249.1064009
2012,7,187.6716442
2012,8,177.266294
2012,9,211.1724721
2012,10,218.4805833
2012,11,382.5392194
2012,12,238.7257062
2013,1,223.5265967
2013,2,174.392715
2013,3,258.2416617
2013,4,206.5309057
2013,5,220.8104167
2013,6,143.9737118
2013,7,135.839924
2013,8,143.0760633
2013,9,133.1094293
2013,10,264.022793
2013,11,135.2249635
2013,12,132.9836954
2014,1,132.7874408
2014,2,165.5119032
2014,3,199.5241645
2014,4,123.9258171
2014,5,126.0841209
2014,6,111.1763963
2014,7,143.0921812
2014,8,155.5093185
2014,9,140.3446001
2014,10,159.8357692
2014,11,216.4508233
2014,12,147.4951172
2015,1,286.051519
2015,2,240.5894185
2015,3,131.6358947
2015,4,177.3994177
2015,5,213.9981651
2015,6,174.0278256
2015,7,179.1213098
2015,8,176.8030489
2015,9,205.3566491
2015,10,199.5714044
2015,11,142.0007456
2015,12,128.3804244
2016,1,156.003539
2016,2,186.6431834
2016,3,218.5152549
2016,4,156.8335765
2016,5,151.5238723
2016,6,276.6689022
2016,7,260.1251094
2016,8,237.5810317
2016,9,164.4557713
2016,10,243.5809126
2016,11,442.3714105
2016,12,298.5746578
2017,1,338.1554692
2017,2,257.4891599
2017,3,262.1493555
2017,4,199.6622336
2017,5,262.1275801
2017,6,206.4409328
2017,7,233.1830918
2017,8,241.7670142
2017,9,277.7945583
2017,10,221.3157518
2017,11,233.0971046
2017,12,190.2587417
