Date,Grocery and convenience retailers  ,Supermarkets and other grocery retailers (except convenience retailers)  ,Convenience retailers and vending machine operators  
January 2017,7123414,6546387,577027
February 2017,6786225,6228959,557266
March 2017,7538707,6930802,607905
April 2017,7481816,6843494,638323
May 2017,7874678,7195931,678746
June 2017,8103221,7391281,711941
July 2017,8101528,7350966,750563
August 2017,7788885,7072014,716871
September 2017,7837582,7136075,701507
October 2017,7526414,6829132,697282
November 2017,7350888,6719294,631594
December 2017,8434848,7765992,668855
January 2018,7231507,6652799,578707
February 2018,6809228,6252665,556563
March 2018,7863765,7215314,648451
April 2018,7339529,6701215,638314
May 2018,8154928,7416567,738361
June 2018,8435689,7677644,758045
July 2018,8125646,7297768,827878
August 2018,8249692,7474083,775609
September 2018,8252475,7529519,722956
October 2018,7903978,7186441,717537
November 2018,7773555,7094408,679147
December 2018,8484893,7787893,697000
January 2019,7840470,7245385,595085
February 2019,7314408,6747446,566961
March 2019,8156968,7521741,635227
April 2019,7789513,7146927,642586
May 2019,8464618,7756476,708142
June 2019,8422292,7697097,725195
July 2019,8382865,7632392,750473
August 2019,8596500,7859779,736721
September 2019,7897061,7216680,680381
October 2019,8198606,7525211,673396
November 2019,8173733,7550302,623431
December 2019,8615389,7935887,679502
January 2020,8188610,7583554,605055
February 2020,7779152,7195396,583756
March 2020,9850601,9215833,634768
April 2020,9137772,8434492,703280
May 2020,9691493,8840212,851281
June 2020,9203975,8410353,793621
July 2020,9487537,8656585,830952
August 2020,9081152,8309280,771872
September 2020,8800689,8062639,738050
October 2020,9522594,8776307,746287
November 2020,8867330,8171196,696135
December 2020,9765597,9016558,749039
January 2021,9446091,8775800,670292
February 2021,8294973,7672266,622707
March 2021,8787587,8086089,701498
April 2021,9050298,8325954,724344
May 2021,9572684,8796521,776164
June 2021,9085745,8270478,815267
July 2021,9347332,8546655,800677
August 2021,8886893,8093278,793616
September 2021,8896650,8137248,759402
October 2021,9191584,8466003,725581
November 2021,8711813,8073500,638312
December 2021,9612215,8922421,689794
January 2022,8897592,8263366,634225
February 2022,8020829,7432273,588557
March 2022,8935486,8292703,642783
April 2022,9052541,8373385,679157
May 2022,9261943,8511327,750616
June 2022,9239893,8477158,762735
July 2022,9561547,8764838,796709
August 2022,9237983,8467297,770686
September 2022,9107200,8378014,729186
October 2022,9392417,8668847,723571
November 2022,9038653,8392653,645999
December 2022,10284261,9605318,678943
January 2023,8986341,8339349,646992
February 2023,8481362,7859477,621885
March 2023,9571433,8866561,704872
April 2023,9523663,8787981,735682
May 2023,10076812,9281237,795575
June 2023,10094662,9282809,811853
July 2023,10201814,9360078,841735
August 2023,9916501,9094355,822146
September 2023,9839442,9044947,794495
October 2023,9551586,8816427,735159
November 2023,9346952,8684172,662780
December 2023,10562863,9846802,716061
January 2024,9259854,8624974,634880
February 2024,9008602,8373316,635286
March 2024,9852348,9149586,702763
