Date,Seed crushed,Oil  produced,Meal produced
January 1986,101649,41775,58197
February 1986,100538,42026,56395
March 1986,124829,51905,71101
April 1986,86491,36129,49256
May 1986,83939,33969,48452
June 1986,90503,37553,50367
July 1986,102038,42512,55778
August 1986,76299,31164,42952
September 1986,120529,49102,72424
October 1986,137917,56215,80529
November 1986,131872,53802,77576
December 1986,147983,60197,87011
January 1987,140929,57699,83281
February 1987,128008,51907,74643
March 1987,144939,59122,85577
April 1987,129484,52915,76811
May 1987,140238,57228,81511
June 1987,140093,57655,81318
July 1987,113290,46147,65806
August 1987,74383,30153,43583
September 1987,129074,52004,77040
October 1987,147143,59641,87045
November 1987,158728,64219,94289
December 1987,153979,61550,92428
January 1988,151217,60888,90738
February 1988,153421,62191,91903
March 1988,147768,59798,89421
April 1988,135437,55150,81485
May 1988,107210,44382,64290
June 1988,137373,57650,81075
July 1988,111792,46099,65734
August 1988,72721,29618,43427
September 1988,130579,51671,77925
October 1988,135058,53380,81724
November 1988,128254,50950,76984
December 1988,112617,44193,69013
January 1989,98812,39339,60558
February 1989,95011,37859,57922
March 1989,104904,41825,63565
April 1989,98246,39164,60208
May 1989,143282,57546,86558
June 1989,126212,50766,75843
July 1989,115955,47124,68749
August 1989,101871,41319,61394
September 1989,105207,41515,64811
October 1989,118801,46756,74022
November 1989,123223,48214,77082
December 1989,120587,46857,75652
January 1990,108563,42589,67064
February 1990,101351,39819,62845
March 1990,110843,43553,68946
April 1990,89087,34985,55063
May 1990,82759,32578,51112
June 1990,85968,33061,53314
July 1990,80256,31666,49327
August 1990,95534,37622,57979
September 1990,127628,49996,78915
October 1990,134663,53979,82146
November 1990,130916,52036,80614
December 1990,115655,48275,67690
January 1991,113764,45585,68677
February 1991,119227,47283,72183
March 1991,123823,49517,75691
April 1991,119960,47708,72816
May 1991,125317,50139,75853
June 1991,125624,50521,76546
July 1991,109052,43820,65878
August 1991,93524,37589,56613
September 1991,141467,53985,80212
October 1991,140011,56961,83909
November 1991,139026,56805,83528
December 1991,146052,59264,87305
January 1992,142451,57962,84789
February 1992,153998,62775,93177
March 1992,144580,60067,86876
April 1992,158115,64302,96343
May 1992,141449,57522,85680
June 1992,152748,62118,92839
July 1992,172613,71006,104421
August 1992,137162,56868,83370
September 1992,148852,61025,90751
October 1992,164501,67774,99318
November 1992,155399,64289,93199
December 1992,178135,74185,107455
January 1993,158742,65629,97005
February 1993,159795,65786,98662
March 1993,175982,72418,107688
April 1993,159194,65646,97283
May 1993,164666,68477,100767
June 1993,148034,62562,91206
July 1993,161617,68116,98614
August 1993,165176,69186,100319
September 1993,175264,72283,107093
October 1993,187543,77511,115732
November 1993,185802,77634,113243
December 1993,197632,81338,121656
January 1994,193140,80485,118667
February 1994,167109,69486,102483
March 1994,189976,79235,115673
April 1994,192008,80201,117692
May 1994,185895,76880,113017
June 1994,178790,74214,107803
July 1994,177238,74137,106705
August 1994,139335,58476,84332
September 1994,204217,85045,126382
October 1994,229168,96839,142361
November 1994,234048,99868,146705
December 1994,237236,99558,148859
January 1995,244889,104304,154900
February 1995,220421,93141,138866
March 1995,228200,96685,142930
April 1995,215378,91509,133036
May 1995,189193,80435,117803
June 1995,205003,86105,126006
July 1995,165847,70570,102475
August 1995,169116,71622,104669
September 1995,222281,92469,140268
October 1995,220536,92266,140229
November 1995,228044,94572,144989
December 1995,237503,99507,149862
January 1996,256404,107209,161470
February 1996,232102,98262,146007
March 1996,244715,102147,154357
April 1996,244634,103539,150811
May 1996,204683,89370,128328
June 1996,227839,93870,140070
July 1996,264560,111283,162894
August 1996,242443,100494,150896
September 1996,267313,113472,166929
October 1996,247922,101769,150398
November 1996,210029,88270,127943
December 1996,208208,88127,127051
January 1997,192181,80327,115751
February 1997,208141,86856,125667
March 1997,234160,98485,141457
April 1997,203297,85543,122428
May 1997,238266,100543,143740
June 1997,242504,101898,145944
July 1997,217417,91044,130774
August 1997,207588,85780,127476
September 1997,305311,125473,189418
October 1997,260700,108864,162537
November 1997,248240,106380,152884
December 1997,289983,122921,181424
January 1998,289047,122024,179502
February 1998,281128,118877,173549
March 1998,299175,126856,184591
April 1998,297076,125822,183657
May 1998,254984,108103,157226
June 1998,256882,107995,158108
July 1998,248703,104471,153682
August 1998,223067,93165,137383
September 1998,297717,123736,186520
October 1998,325303,134961,206025
November 1998,287124,119847,183015
December 1998,320525,134704,206178
January 1999,284215,119127,179556
February 1999,238513,100152,150993
March 1999,268798,113835,171039
April 1999,216027,90633,136560
May 1999,224357,93939,142293
June 1999,193204,81709,122703
July 1999,183625,77278,117883
August 1999,167548,70222,107067
September 1999,284507,119667,177531
October 1999,266903,110590,167379
November 1999,245626,102070,154663
December 1999,293479,122271,182757
January 2000,273365,112791,170061
February 2000,231914,97409,144052
March 2000,301705,125547,187265
April 2000,205655,85154,127725
May 2000,265540,110505,164455
June 2000,242234,100748,148714
July 2000,204905,85965,126740
August 2000,237985,100625,148126
September 2000,281672,118014,173640
October 2000,294098,123385,183017
November 2000,290402,122523,181508
December 2000,280515,117751,174436
January 2001,290238,122658,180343
February 2001,244686,101986,151920
March 2001,278975,117823,171969
April 2001,221861,91801,138896
May 2001,168194,69662,104642
June 2001,216606,91289,132423
July 2001,207859,88214,129045
August 2001,197758,84177,122702
September 2001,220964,92134,137932
October 2001,213770,89390,132574
November 2001,235814,98719,144705
December 2001,203357,91513,131881
January 2002,213233,90117,132796
February 2002,182328,77157,112824
March 2002,184346,77170,114737
April 2002,166053,69616,101776
May 2002,161213,67919,100396
June 2002,163251,68997,101485
July 2002,151075,64107,93478
August 2002,190994,80752,118336
September 2002,216504,91584,136460
October 2002,192778,80318,120908
November 2002,167731,68470,105341
December 2002,144840,60568,91742
January 2003,145732,60520,92359
February 2003,185914,76629,116310
March 2003,192041,80268,119573
April 2003,188322,77840,115180
May 2003,181151,75807,113215
June 2003,197774,81121,122163
July 2003,221133,92014,138147
August 2003,209845,88220,130917
September 2003,298462,122916,187895
October 2003,279079,114154,175734
November 2003,283488,113478,176581
December 2003,289053,120061,182052
January 2004,300216,123292,188917
February 2004,267181,111113,168097
March 2004,325247,132518,203764
April 2004,307567,127105,190434
May 2004,287763,118626,178899
June 2004,234993,97544,146835
July 2004,306664,126218,190352
August 2004,259121,106562,161786
September 2004,223777,92320,135644
October 2004,288740,119778,177081
November 2004,274977,112658,174711
December 2004,283584,115971,180519
January 2005,246560,101900,156334
February 2005,247343,101367,157264
March 2005,274913,113559,175573
April 2005,249970,101641,156721
May 2005,221362,92258,139332
June 2005,201577,81758,127300
July 2005,259005,106970,161551
August 2005,239125,97845,152287
September 2005,261091,109823,158833
October 2005,299356,126619,176854
November 2005,296053,127174,175450
December 2005,291883,125661,173379
January 2006,290836,124671,171212
February 2006,282814,121353,164118
March 2006,298908,128806,177494
April 2006,293783,126297,172282
May 2006,252294,108907,146644
June 2006,300701,129730,174857
July 2006,315776,136346,181745
August 2006,297919,129120,173406
September 2006,269076,114213,160238
October 2006,324892,140962,190736
November 2006,324914,140453,190923
December 2006,332352,145538,197414
January 2007,303370,132321,177723
February 2007,257997,112411,152275
March 2007,283754,122056,167719
April 2007,294021,128132,172785
May 2007,296695,129550,174409
June 2007,293813,127213,173212
July 2007,300276,129276,177581
August 2007,329300,142747,193507
September 2007,325278,136003,195326
October 2007,350661,144620,211373
November 2007,363313,149816,218735
December 2007,373714,156429,224674
January 2008,354349,147165,214396
February 2008,340271,143025,204288
March 2008,374283,157355,228661
April 2008,323250,137049,194800
May 2008,334422,139315,202074
June 2008,337149,140895,203731
July 2008,338459,144321,203467
August 2008,303277,126328,184332
September 2008,361669,154031,212356
October 2008,396201,168982,230506
November 2008,367089,158086,213058
December 2008,387297,165730,224894
January 2009,360020,155605,206806
February 2009,345917,149154,199917
March 2009,386368,167960,223704
April 2009,352896,153150,202520
May 2009,320201,138734,184578
June 2009,329433,142469,191717
July 2009,369518,158527,212729
August 2009,332606,145801,190964
September 2009,334542,144419,191987
October 2009,309411,135433,174435
November 2009,374278,164176,207501
December 2009,353993,155368,199542
January 2010,407370,177930,229843
February 2010,387555,170754,215981
March 2010,470110,208994,262045
April 2010,437302,193466,242373
May 2010,432364,189016,242602
June 2010,451129,200514,248919
July 2010,497174,221371,276597
August 2010,438878,192227,243201
September 2010,505009,219424,280403
October 2010,551318,239345,306559
November 2010,551947,239870,312662
December 2010,553561,243497,312472
January 2011,508420,221745,290195
February 2011,489871,213452,279298
March 2011,581086,257356,332836
April 2011,544170,236522,310045
May 2011,505238,228137,290711
June 2011,529268,229920,297808
July 2011,551636,246415,311905
August 2011,445297,196189,253597
September 2011,590938,260222,333775
October 2011,589444,262678,333151
November 2011,602500,268876,342709
December 2011,673070,299750,381993
January 2012,636670,284893,357729
February 2012,591728,264928,336814
March 2012,667847,300042,377978
April 2012,614015,275158,353961
May 2012,523548,236879,297101
June 2012,479146,216348,269452
July 2012,585113,261171,332050
August 2012,489884,216581,278954
September 2012,631585,270501,372296
October 2012,664261,284900,397717
November 2012,588045,255546,353811
December 2012,658729,282006,387464
January 2013,560835,243475,331894
February 2013,527914,230567,316382
March 2013,593001,261608,354313
April 2013,577811,252302,341098
May 2013,445063,192378,269677
June 2013,478213,209070,287164
July 2013,501467,218066,299093
August 2013,357507,152453,211305
September 2013,558910,245685,319460
October 2013,639261,275937,361686
November 2013,614566,267181,349817
December 2013,642785,277087,365705
January 2014,597110,260230,338327
February 2014,537724,234430,305201
March 2014,618150,269012,348052
April 2014,580606,252672,332636
May 2014,577177,255663,326365
June 2014,574816,252664,324321
July 2014,680808,297961,383351
August 2014,553932,243606,315976
September 2014,627855,272518,356335
October 2014,616037,266855,344393
November 2014,539705,232795,304503
December 2014,640924,277662,362025
January 2015,652073,280998,364895
February 2015,557270,241525,313857
March 2015,669593,293208,378399
April 2015,598907,260152,339667
May 2015,574645,251305,325187
June 2015,633874,277900,358560
July 2015,695552,304422,392262
August 2015,589387,259326,334244
September 2015,611691,263864,346284
October 2015,719710,310917,408647
November 2015,691136,297651,387333
December 2015,744196,321648,420708
January 2016,683823,300084,389899
February 2016,710270,308866,399673
March 2016,751258,329029,423024
April 2016,613249,265914,348540
May 2016,707325,306390,396435
June 2016,702716,306037,399564
July 2016,790590,346477,443653
August 2016,665347,290544,382539
September 2016,779251,339091,434520
October 2016,808721,349516,454926
November 2016,804948,349242,445698
December 2016,831590,365225,467183
January 2017,798373,346346,446060
February 2017,752205,329866,417253
March 2017,821990,358861,458774
April 2017,747528,328580,418530
May 2017,703352,310778,395985
June 2017,731124,321671,409823
July 2017,746944,327751,418677
August 2017,628918,275594,351380
September 2017,748629,333206,419978
October 2017,870998,385406,479834
November 2017,805945,358596,447709
December 2017,823434,369068,454003
January 2018,760229,339976,420879
February 2018,675944,302001,373422
March 2018,820712,369137,454219
April 2018,788612,352397,438215
May 2018,765216,343755,424894
June 2018,742573,334184,415167
July 2018,838014,379276,468821
August 2018,742988,333324,410764
September 2018,698377,305492,395255
October 2018,786770,338867,439018
November 2018,820507,351370,457319
December 2018,846481,368101,474143
January 2019,829640,359742,468249
February 2019,635526,277382,355219
March 2019,722433,313282,402932
April 2019,808945,353144,453107
May 2019,815509,354617,457464
June 2019,733698,318648,411993
July 2019,854510,373755,477937
August 2019,829778,362351,465424
September 2019,767666,335473,433659
October 2019,882301,382839,492117
November 2019,829303,360183,460318
December 2019,899331,395209,502166
January 2020,854686,375307,476979
February 2020,812633,352268,442417
March 2020,881384,386965,495163
April 2020,845459,370176,469844
May 2020,855008,375880,478649
June 2020,864559,382121,488722
July 2020,806868,355098,448268
August 2020,830335,363424,465059
September 2020,785725,339884,449729
October 2020,931060,400909,531444
November 2020,917992,395613,523140
December 2020,904577,397850,517016
January 2021,915553,394315,519645
February 2021,797438,346410,453936
March 2021,957952,416849,545150
April 2021,901911,391000,516474
May 2021,820250,357446,468587
June 2021,829846,362131,472034
July 2021,832114,362458,473390
August 2021,661968,287295,382007
September 2021,778402,320564,458105
October 2021,876127,360223,523066
November 2021,781105,325474,464977
December 2021,704696,293945,422998
January 2022,651282,271629,386822
February 2022,629153,262732,377783
March 2022,739879,308449,442852
April 2022,706762,293812,421551
May 2022,591780,247535,355774
June 2022,660215,276389,393390
July 2022,773998,324439,463116
August 2022,632962,261540,383164
September 2022,793876,331683,470097
October 2022,885331,366915,525999
November 2022,877405,361145,516072
December 2022,826445,345687,485798
January 2023,875315,364031,525748
February 2023,812001,336866,481939
March 2023,922944,384817,545922
April 2023,886489,371693,523157
May 2023,769942,323217,460526
June 2023,717036,300078,421928
July 2023,961683,402886,567153
August 2023,829490,347606,491813
September 2023,922108,390460,540166
October 2023,974376,411664,566098
November 2023,908261,386867,526448
