index,Real GDP growth (Annual percent change)
1980-01-01,0.6605504587155963
1980-02-01,0.6704892966360856
1980-03-01,0.6804281345565749
1980-04-01,0.6903669724770642
1980-05-01,0.7003058103975535
1980-06-01,0.7102446483180427
1980-07-01,0.7201834862385321
1980-08-01,0.7301223241590213
1980-09-01,0.7400611620795107
1980-10-01,0.75
1980-11-01,0.7599388379204892
1980-12-01,0.7698776758409785
1981-01-01,0.7798165137614679
1981-02-01,0.7285932721712538
1981-03-01,0.6773700305810397
1981-04-01,0.6261467889908257
1981-05-01,0.5749235474006116
1981-06-01,0.5237003058103975
1981-07-01,0.4724770642201834
1981-08-01,0.4212538226299694
1981-09-01,0.3700305810397553
1981-10-01,0.3188073394495412
1981-11-01,0.2675840978593271
1981-12-01,0.2163608562691131
1982-01-01,0.1651376146788991
1982-02-01,0.209480122324159
1982-03-01,0.2538226299694189
1982-04-01,0.2981651376146789
1982-05-01,0.3425076452599388
1982-06-01,0.3868501529051987
1982-07-01,0.4311926605504587
1982-08-01,0.4755351681957186
1982-09-01,0.5198776758409785
1982-10-01,0.5642201834862385
1982-11-01,0.6085626911314984
1982-12-01,0.6529051987767585
1983-01-01,0.6972477064220183
1983-02-01,0.7224770642201834
1983-03-01,0.7477064220183486
1983-04-01,0.7729357798165137
1983-05-01,0.7981651376146788
1983-06-01,0.823394495412844
1983-07-01,0.8486238532110091
1983-08-01,0.8738532110091743
1983-09-01,0.8990825688073394
1983-10-01,0.9243119266055044
1983-11-01,0.9495412844036696
1983-12-01,0.9747706422018348
1984-01-01,1.0
1984-02-01,0.9908256880733946
1984-03-01,0.9816513761467888
1984-04-01,0.9724770642201834
1984-05-01,0.963302752293578
1984-06-01,0.9541284403669724
1984-07-01,0.944954128440367
1984-08-01,0.9357798165137614
1984-09-01,0.926605504587156
1984-10-01,0.9174311926605504
1984-11-01,0.9082568807339448
1984-12-01,0.8990825688073394
1985-01-01,0.8899082568807339
1985-02-01,0.8700305810397553
1985-03-01,0.8501529051987766
1985-04-01,0.8302752293577981
1985-05-01,0.8103975535168195
1985-06-01,0.7905198776758409
1985-07-01,0.7706422018348624
1985-08-01,0.7507645259938838
1985-09-01,0.7308868501529051
1985-10-01,0.7110091743119266
1985-11-01,0.691131498470948
1985-12-01,0.6712538226299694
1986-01-01,0.6513761467889908
1986-02-01,0.6666666666666666
1986-03-01,0.6819571865443425
1986-04-01,0.6972477064220183
1986-05-01,0.7125382262996942
