index,"Total, Raw materials price indexes (RMPI)","Total, excluding crude energy products",Crop products  ,Wheat  ,Canola (including rapeseed)  ,"Fresh fruit, nuts and vegetables, and pulse crops  ",Fresh fruit and nuts  ,Fresh potatoes  ,Fresh vegetables (except potatoes and pulse crops)  ,Pulse crops (except soybeans)  ,Other crop products  ,Grains (except wheat)  ,Corn for grain  ,Oats  ,Barley  ,Oilseeds (except canola)  ,Soybeans  ,Oilseeds (except canola and soybeans)  ,Other miscellaneous crop products  ,"Floriculture and nursery products, and sod  ",Animals and animal products  ,Live animals  ,Cattle and calves  ,Hogs  ,Poultry  ,Other live animals  ,Other animal products  ,Eggs in shell  ,Unprocessed milk  ,"Raw furskins, and animal products n.e.c.  ","Fish, crustaceans, shellfish and other fishery products  "
1986-01-01,0.07728337236533955,0.0020020020020020124,0.07777777777777778,0.15488565488565487,0.092911877394636,0.41621456217539454,0.6952338017659492,0.010169491525423721,0.06660039761431413,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.15077424612876933,0.044933516735442464,0.21646090534979434,0.3554374572163328,0.11016949152542366,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.010452961672473893,0.4228559610258299,0.19913731128684398,0.36983606557377047,0.06060606060606066,0.3936670230776084,0.42678251980577553,0.026537997587454676,0.0,0.3942960658598582,0.022708840227088356
1986-02-01,0.05152224824355972,0.0020020020020020124,0.06597222222222221,0.1528066528066528,0.075191570881226,0.41621456217539454,0.6952338017659492,0.0006779661016948907,0.008946322067594492,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.14180929095354522,0.04034846400733608,0.19835390946502063,0.3554374572163328,0.1109399075500771,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.017421602787456525,0.4228559610258299,0.1790079079798706,0.39081967213114754,0.06060606060606066,0.3936670230776084,0.42678251980577553,0.032569360675512526,0.0,0.3942960658598582,0.03081914030819133
1986-03-01,0.023419203747072626,0.0030030030030030463,0.06944444444444448,0.15488565488565487,0.06609195402298848,0.41621456217539454,0.6952338017659492,0.0,0.01988071570576533,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.11491442542787289,0.033470884915176524,0.19012345679012344,0.3554374572163328,0.10631741140215711,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.011614401858304313,0.4228559610258299,0.18619698058950396,0.35868852459016387,0.056473829201102,0.3936670230776084,0.42678251980577553,0.039806996381182125,0.0,0.3942960658598582,0.025952960259529534
1986-04-01,0.0007806401249024209,0.0,0.06874999999999998,0.1600831600831601,0.05986590038314174,0.41621456217539454,0.6952338017659492,0.010847457627118626,0.03280318091451295,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.10676446617766921,0.018798716185236153,0.16543209876543208,0.3554374572163328,0.10400616332819723,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.0,0.4228559610258299,0.1811646297627606,0.33049180327868843,0.07162534435261703,0.3936670230776084,0.42678251980577553,0.036188178528347326,0.0,0.3942960658598582,0.009732360097323534
1986-05-01,0.0007806401249024209,0.0030030030030030463,0.0673611111111111,0.16372141372141363,0.05795019157088119,0.41621456217539454,0.6952338017659492,0.009491525423728803,0.016898608349900535,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.10676446617766921,0.022466758367721246,0.23374485596707817,0.3554374572163328,0.1055469953775039,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.009291521486643473,0.4228559610258299,0.1811646297627606,0.3993442622950819,0.08677685950413216,0.3936670230776084,0.42678251980577553,0.02895054282267784,0.0,0.3942960658598582,0.0
1986-06-01,0.0039032006245121043,0.006006006006006037,0.05624999999999997,0.16372141372141363,0.03735632183908044,0.41621456217539454,0.6952338017659492,0.009491525423728803,0.016898608349900535,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.11165444172779138,0.019257221458046758,0.248559670781893,0.3554374572163328,0.10400616332819723,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.024390243902439046,0.4228559610258299,0.17038102084831053,0.4957377049180328,0.08677685950413216,0.3936670230776084,0.42678251980577553,0.02895054282267784,0.0,0.3942960658598582,0.012165450121654486
1986-07-01,0.0,0.009009009009009084,0.048611111111111105,0.16268191268191268,0.030172413793103425,0.41621456217539454,0.6952338017659492,0.009491525423728803,0.012922465208747513,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.0660146699266504,0.014672168729940371,0.2666666666666667,0.3554374572163328,0.11016949152542366,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.05110336817653893,0.4228559610258299,0.19338605319913732,0.5849180327868851,0.08953168044077131,0.3936670230776084,0.42678251980577553,0.032569360675512526,0.0,0.3942960658598582,0.012165450121654486
1986-08-01,0.0015612802498048417,0.012012012012012074,0.03472222222222221,0.15800415800415796,0.013888888888888867,0.41621456217539454,0.6952338017659492,0.009491525423728803,0.006958250497017926,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.03911980440097801,0.0,0.11687242798353908,0.3554374572163328,0.14483821263482277,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.07317073170731714,0.4228559610258299,0.20416966211358734,0.6439344262295081,0.12534435261708,0.3936670230776084,0.42678251980577553,0.032569360675512526,0.004524886877828038,0.3942960658598582,0.03081914030819133
1986-09-01,0.00858704137392663,0.014014014014014087,0.03749999999999998,0.1574844074844075,0.007183908045977017,0.41621456217539454,0.6952338017659492,0.009491525423728803,0.003976143141153132,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.04563977180114098,0.0032095369096744597,0.1111111111111111,0.3554374572163328,0.11325115562403698,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.07200929152148672,0.4228559610258299,0.214234363767074,0.6085245901639343,0.13636363636363635,0.3936670230776084,0.42678251980577553,0.024125452352231624,0.004524886877828038,0.3942960658598582,0.023519870235198692
1986-10-01,0.010148321623731416,0.01101101101101104,0.036111111111111094,0.15800415800415796,0.011015325670498066,0.41621456217539454,0.6952338017659492,0.009491525423728803,0.003976143141153132,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.009779951100244544,0.00825309491059148,0.14156378600823044,0.3554374572163328,0.06933744221879817,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.05691056910569103,0.4228559610258299,0.214234363767074,0.5311475409836066,0.10606060606060608,0.3936670230776084,0.42678251980577553,0.039806996381182125,0.004524886877828038,0.3942960658598582,0.04379562043795615
