index,All industries,Manufacturing,Wholesale and retail trade ,Transportation ,Entertainment and hospitality 
1986-01-01,0.19122257053291536,0.4831460674157303,0.7142857142857142,0.375,0.36363636363636365
1986-02-01,0.219435736677116,0.5842696629213483,0.6904761904761904,0.5,0.49999999999999994
1986-03-01,0.21630094043887146,0.6067415730337078,0.619047619047619,0.5,0.49999999999999994
1986-04-01,0.2366771159874608,0.8089887640449438,0.5952380952380952,0.6875,0.49999999999999994
1986-05-01,0.2727272727272727,0.8426966292134831,0.6666666666666666,0.75,0.5909090909090909
1986-06-01,0.28996865203761757,1.0,0.45238095238095233,0.75,0.6363636363636365
1986-07-01,0.25391849529780564,0.9887640449438202,0.40476190476190477,0.375,0.49999999999999994
1986-08-01,0.25391849529780564,0.9887640449438202,0.4999999999999999,0.25,0.4090909090909091
1986-09-01,0.2366771159874608,0.8876404494382022,0.4999999999999999,0.25,0.45454545454545453
1986-10-01,0.22100313479623823,0.7640449438202247,0.45238095238095233,0.375,0.3181818181818182
1986-11-01,0.2084639498432602,0.7415730337078651,0.40476190476190477,0.1875,0.36363636363636365
1986-12-01,0.20689655172413793,0.696629213483146,0.47619047619047616,0.125,0.36363636363636365
1987-01-01,0.1865203761755486,0.6292134831460674,0.4999999999999999,0.375,0.49999999999999994
1987-02-01,0.1896551724137931,0.6404494382022472,0.5238095238095237,0.1875,0.5909090909090909
1987-03-01,0.19435736677115986,0.5842696629213483,0.5476190476190476,0.0625,0.7272727272727273
1987-04-01,0.2006269592476489,0.6741573033707865,0.5952380952380952,0.25,0.5909090909090909
1987-05-01,0.23981191222570533,0.7865168539325842,0.738095238095238,0.3125,0.7272727272727273
1987-06-01,0.22727272727272727,0.7528089887640449,0.7857142857142857,0.1875,0.8181818181818182
1987-07-01,0.20376175548589343,0.7415730337078651,0.5714285714285714,0.125,0.6818181818181819
1987-08-01,0.22100313479623823,0.7415730337078651,0.4999999999999999,0.4375,0.6363636363636365
1987-09-01,0.21003134796238243,0.7078651685393258,0.40476190476190477,0.6875,0.6363636363636365
1987-10-01,0.20532915360501566,0.6516853932584269,0.4999999999999999,0.5625,0.3181818181818182
1987-11-01,0.16300940438871472,0.5730337078651685,0.40476190476190477,0.375,0.3181818181818182
1987-12-01,0.14890282131661442,0.4382022471910112,0.4285714285714285,0.375,0.45454545454545453
1988-01-01,0.15987460815047022,0.4943820224719101,0.4999999999999999,0.5,0.2727272727272727
1988-02-01,0.1677115987460815,0.4831460674157303,0.4999999999999999,0.125,0.49999999999999994
1988-03-01,0.19278996865203762,0.6292134831460674,0.5238095238095237,0.5,0.45454545454545453
1988-04-01,0.19122257053291536,0.5842696629213483,0.4999999999999999,0.3125,0.49999999999999994
1988-05-01,0.20219435736677116,0.6179775280898876,0.5714285714285714,0.375,0.5909090909090909
1988-06-01,0.2084639498432602,0.6741573033707865,0.45238095238095233,0.5,0.49999999999999994
1988-07-01,0.18338557993730406,0.5842696629213483,0.4999999999999999,0.5625,0.36363636363636365
1988-08-01,0.18495297805642633,0.6067415730337078,0.45238095238095233,0.4375,0.2727272727272727
