index,Crop and animal production   ,Animal food manufacturing  ,Grain and oilseed milling  ,Sugar and confectionery product manufacturing  ,Fruit and vegetable preserving and specialty food manufacturing  ,Dairy product manufacturing  ,Meat product manufacturing  ,Seafood product preparation and packaging  ,Bakeries and tortilla manufacturing  ,Other food manufacturing  
1997-01-01,0.023681377825618966,0.01299907149489321,0.45911949685534603,0.0,0.1372767857142858,0.04329004329004338,0.02376502002670211,0.23784977908689253,0.03339432753888394,0.027497958072420337
1997-02-01,0.01624425090517667,0.013927576601671321,0.4563242487770789,0.00634249471458781,0.1662946428571428,0.17748917748917759,0.06221628838451254,0.2533136966126657,0.04391582799634053,0.02150830383882385
1997-03-01,0.012329973578628084,0.0,0.45772187281621246,0.025369978858351017,0.2165178571428572,0.07575757575757569,0.0,0.2540500736377025,0.0457456541628547,0.008984481350394757
1997-04-01,0.013993541442411273,0.005571030640668551,0.45143256464011183,0.01374207188160681,0.2366071428571428,0.07034632034632038,0.014686248331108098,0.26141384388807065,0.03339432753888394,0.01034576640348489
1997-05-01,0.003963205793130475,0.03435468895078919,0.42907058001397624,0.03699788583509522,0.2421875,0.195887445887446,0.044058744993324295,0.13254786450662737,0.03568161024702654,0.0
1997-06-01,0.0,0.04178272980501396,0.4269741439552761,0.06871035940803383,0.2087053571428572,0.2629870129870131,0.051535380507343076,0.20397643593519887,0.06587374199451057,0.0005445140212360089
1997-07-01,0.002935707994911496,0.03621169916434541,0.4744933612858142,0.11522198731501065,0.17857142857142838,0.17965367965367962,0.059012016021361635,0.1877761413843888,0.07410795974382434,0.008984481350394757
1997-08-01,0.003767491926803035,0.04178272980501396,0.437456324248777,0.13530655391120505,0.025669642857142794,0.37337662337662314,0.08624833110814412,0.2142857142857143,0.05855443732845389,0.017424448679553506
1997-09-01,0.004354633525785356,0.05013927576601673,0.4598183088749126,0.14059196617336145,0.1294642857142858,0.23809523809523814,0.08384512683578094,0.30044182621502213,0.0480329368709973,0.029131500136128474
1997-10-01,0.004158919659457916,0.07706592386258126,0.46540880503144666,0.2484143763213531,0.4486607142857144,0.19480519480519476,0.09933244325767676,0.2533136966126657,0.04254345837145479,0.0411108086033215
