index,Grocery and convenience retailers  ,Supermarkets and other grocery retailers (except convenience retailers)  ,Convenience retailers and vending machine operators  
2017-01-01,0.08928284892541982,0.0877395729997128,0.0694358675072444
2017-02-01,0.0,0.0,0.002385331062235929
2017-03-01,0.19924652561352185,0.1939948748466973,0.17420720824652713
2017-04-01,0.18418259838512463,0.1698622632325395,0.2774177349194824
2017-05-01,0.2882068654713532,0.2672785966665774,0.4145759675350673
2017-06-01,0.3487217996535541,0.3212748590803971,0.5272090608649624
2017-07-01,0.3482735173453213,0.31013147889502135,0.6582563671034687
2017-08-01,0.26549009992485373,0.23302697214887447,0.5439369159671279
2017-09-01,0.27838437255569626,0.25073393179306014,0.491805726151779
2017-10-01,0.19599151414565008,0.1658924945057041,0.4774699882599638
2017-11-01,0.14951472711972924,0.13553241530934335,0.2545857395883524
2017-12-01,0.43653191012747317,0.42484789970156256,0.3810150720349621
2018-01-01,0.11790433713795179,0.11715267909635663,0.07513623192339813
2018-02-01,0.006090867062185978,0.00655252314707977,0.0
2018-03-01,0.28531725836577393,0.27263620892338336,0.31178278897115197
2018-04-01,0.14650702556082962,0.13053523881495144,0.27738719725296734
2018-05-01,0.3624130774514265,0.3282641065408314,0.6168540774570945
2018-06-01,0.4367545949598559,0.4004278239824115,0.6836433471996961
2018-07-01,0.354659620540809,0.29542713710904533,0.920591887838544
2018-08-01,0.38750523613859733,0.34416197717811436,0.7432392999409605
2018-09-01,0.38824213493588755,0.3594849196054113,0.564583771605399
2018-10-01,0.29596508852582626,0.2646554867085167,0.5461967032892461
2018-11-01,0.26143093407416873,0.23921684827119383,0.4159365902320187
2018-12-01,0.4497831139759756,0.4309015067818034,0.4765131413758237
2019-01-01,0.27914907385881294,0.2809480676745786,0.1307079988327824
2019-02-01,0.13985534223825535,0.14331384750526777,0.03528118404712299
2019-03-01,0.3629532404217721,0.35733501978941606,0.2669127776382849
2019-04-01,0.26565638538827385,0.2537335091655444,0.2918824096254724
2019-05-01,0.444414582493742,0.4222176031408773,0.5143187725215292
2019-06-01,0.43320726000215015,0.40580478478474613,0.572180864419547
2019-07-01,0.42276755145714273,0.3879198185216992,0.6579509904383172
2019-08-01,0.4793350593835044,0.4507713574082681,0.6112894360032302
2019-09-01,0.2941335653562771,0.27301378196897996,0.42012364361864574
2019-10-01,0.3739783903037568,0.35829415483203664,0.39642302132886353
2019-11-01,0.36739237385208745,0.36522950277278476,0.22688807605914807
2019-12-01,0.484336597788827,0.4718082017378864,0.41714113152233656
2020-01-01,0.3713315917490634,0.37442061471434784,0.1645369471834095
2020-02-01,0.262912940027612,0.26713071849718206,0.0922678628383744
2020-03-01,0.8114031580469188,0.8255952510929856,0.26535535664601406
2020-04-01,0.6226561825623744,0.6096265094975102,0.4978216464552556
2020-05-01,0.769273623789201,0.721770679379951,1.0
2020-06-01,0.6401857948789373,0.602954301775948,0.8043553498598661
2020-07-01,0.715268977328513,0.6710147455265474,0.9310221974904827
2020-08-01,0.6076640122775865,0.5750169368875324,0.7305593821890759
2020-09-01,0.5334014009285506,0.5068434423494883,0.6157988314252947
2020-10-01,0.7245515720595936,0.7041068393515142,0.6437475824347345
2020-11-01,0.5510469894122763,0.5368494431626802,0.47357813231631596
2020-12-01,0.7888953084727739,0.770514088090611,0.6530853222402433
2021-01-01,0.7042946663143252,0.7039667006003303,0.38589091945520826
2021-02-01,0.39949500057988074,0.3989413028702462,0.2244314904417104
2021-03-01,0.5299321777729291,0.5133252051014929,0.4917751884852639
2021-04-01,0.5994943121368792,0.5796257604323902,0.5692933583968403
2021-05-01,0.7378146912677359,0.7096941464845214,0.7451224560427256
2021-06-01,0.6088801733181735,0.5642917616933627,0.8778018309027615
2021-07-01,0.678144688476894,0.6406292368132063,0.828296880407712
2021-08-01,0.5562269934264286,0.5153123007272564,0.8043383844895797
2021-09-01,0.5588105081821453,0.5274659513970066,0.6882477486953631
2021-10-01,0.6369048344056274,0.618336395471003,0.5734905910056391
2021-11-01,0.5098683008538283,0.509845507392112,0.2773804111048528
2021-12-01,0.7482819375328005,0.7444938876562637,0.4520626497193927
2022-01-01,0.559059936377275,0.5623259494676802,0.2635129174329358
2022-02-01,0.3269055705100674,0.332605367341811,0.1085580113871567
2022-03-01,0.5690937283372144,0.5704349248986207,0.29255084521474783
2022-04-01,0.6000882266184899,0.5927360584746217,0.415970520972591
2022-05-01,0.6555348963813847,0.6308643022928304,0.6584362000285018
2022-06-01,0.6496963701577962,0.6214197244048456,0.6995568645281254
2022-07-01,0.7348657721497267,0.7009367183705872,0.8148331625486058
2022-08-01,0.6491906293375218,0.6186940671554846,0.7265351963571955
2022-09-01,0.6145611520087442,0.5940155501496334,0.5857226229819692
2022-10-01,0.6900825549073011,0.6744040578875314,0.5666705121505982
2022-11-01,0.5964108818478235,0.5980618838352025,0.3034629713828134
2022-12-01,0.9262301549685195,0.9332519404518107,0.41524440312434274
2023-01-01,0.5825594086592363,0.5833282428231408,0.306832293921647
2023-02-01,0.448848155422892,0.4506878822547027,0.22164238356666388
2023-03-01,0.7374834442697449,0.7290537483246233,0.5032234203543728
2023-04-01,0.7248346280474858,0.70733362393006,0.607764032057764
2023-05-01,0.8713006118139994,0.8436734264035228,0.8109854165677022
2023-06-01,0.8760270378045234,0.8441079394545314,0.8662178760713632
2023-07-01,0.9043993626076949,0.8654656932321274,0.9676097150496408
2023-08-01,0.8288525402752394,0.7920177851830499,0.9011427873424767
2023-09-01,0.8084484136419745,0.7783610289335388,0.8073208965858889
2023-10-01,0.7322282410969756,0.7151963200172038,0.6059894543258304
2023-11-01,0.6780440698843788,0.6786400073192784,0.3604021471372634
2023-12-01,0.9999999999999998,1.0000000000000002,0.5411885259807683
2024-01-01,0.6549817589083202,0.6622772187737278,0.26573538094042437
2024-02-01,0.5884538046802474,0.5927169863368864,0.2671129690076617
2024-03-01,0.8118657387867196,0.8072840640127279,0.4960674271676653
