Date,Bakery and cereal products (excluding baby food)
1986-04-01,71.3
1986-05-01,71.2
1986-06-01,71.1
1986-07-01,71.7
1986-08-01,71.9
1986-09-01,71.7
1986-10-01,71.1
1986-11-01,71.6
1986-12-01,72.2
1987-01-01,72.6
1987-02-01,72.3
1987-03-01,72.8
1987-04-01,72.6
1987-05-01,73.2
1987-06-01,72.6
1987-07-01,73.7
1987-08-01,73.6
1987-09-01,73.3
1987-10-01,73.1
1987-11-01,73.6
1987-12-01,73.7
1988-01-01,74.4
1988-02-01,74.3
1988-03-01,74.6
1988-04-01,74.9
1988-05-01,74.9
1988-06-01,75.9
1988-07-01,75.9
1988-08-01,76.3
1988-09-01,76.1
1988-10-01,76.8
1988-11-01,76.8
1988-12-01,76.7
1989-01-01,76.9
1989-02-01,76.8
1989-03-01,77.3
1989-04-01,77.5
1989-05-01,77.2
1989-06-01,77.4
1989-07-01,78.1
1989-08-01,78.5
1989-09-01,78.2
1989-10-01,79.3
1989-11-01,79.1
1989-12-01,79.8
1990-01-01,80.3
1990-02-01,80.5
1990-03-01,80.7
1990-04-01,81.2
1990-05-01,80.6
1990-06-01,81.0
1990-07-01,80.8
1990-08-01,80.4
1990-09-01,81.0
1990-10-01,81.5
1990-11-01,81.8
1990-12-01,82.3
1991-01-01,82.6
1991-02-01,81.7
1991-03-01,82.2
1991-04-01,82.0
1991-05-01,81.0
1991-06-01,81.8
1991-07-01,81.1
1991-08-01,81.2
1991-09-01,81.1
1991-10-01,81.4
1991-11-01,81.5
1991-12-01,81.6
1992-01-01,81.2
1992-02-01,81.0
1992-03-01,81.5
1992-04-01,81.6
1992-05-01,82.1
1992-06-01,82.6
1992-07-01,82.9
1992-08-01,82.9
1992-09-01,83.1
1992-10-01,83.0
1992-11-01,83.2
1992-12-01,83.6
1993-01-01,83.3
1993-02-01,83.3
1993-03-01,82.9
1993-04-01,82.9
1993-05-01,82.6
1993-06-01,83.2
1993-07-01,83.9
1993-08-01,83.8
1993-09-01,83.2
1993-10-01,84.0
1993-11-01,84.1
1993-12-01,84.4
1994-01-01,84.4
1994-02-01,84.4
1994-03-01,84.4
1994-04-01,85.2
1994-05-01,84.5
1994-06-01,84.7
1994-07-01,85.0
1994-08-01,84.8
1994-09-01,84.9
1994-10-01,85.7
1994-11-01,85.5
1994-12-01,86.2
1995-01-01,86.8
1995-02-01,88.0
1995-03-01,88.0
1995-04-01,89.0
1995-05-01,87.7
1995-06-01,88.0
1995-07-01,87.4
1995-08-01,87.8
1995-09-01,88.9
1995-10-01,89.9
1995-11-01,90.0
1995-12-01,91.5
1996-01-01,90.3
1996-02-01,91.1
1996-03-01,91.1
1996-04-01,91.6
1996-05-01,90.8
1996-06-01,90.8
1996-07-01,90.4
1996-08-01,91.2
1996-09-01,92.7
1996-10-01,94.1
1996-11-01,94.1
1996-12-01,95.2
1997-01-01,94.4
1997-02-01,95.1
1997-03-01,95.1
1997-04-01,94.2
1997-05-01,93.1
1997-06-01,93.2
1997-07-01,93.2
1997-08-01,92.5
1997-09-01,93.2
1997-10-01,95.0
1997-11-01,95.4
1997-12-01,95.5
1998-01-01,94.5
1998-02-01,94.7
1998-03-01,94.2
1998-04-01,94.3
1998-05-01,92.9
1998-06-01,93.1
1998-07-01,92.8
1998-08-01,92.7
1998-09-01,93.2
1998-10-01,94.2
1998-11-01,94.8
1998-12-01,95.4
1999-01-01,95.4
1999-02-01,95.7
1999-03-01,94.7
1999-04-01,95.3
1999-05-01,93.9
1999-06-01,93.6
1999-07-01,93.7
1999-08-01,93.3
1999-09-01,93.7
1999-10-01,95.2
1999-11-01,95.4
1999-12-01,96.4
2000-01-01,93.7
2000-02-01,93.4
2000-03-01,93.9
2000-04-01,94.0
2000-05-01,93.8
2000-06-01,94.2
2000-07-01,94.4
2000-08-01,94.4
2000-09-01,94.2
2000-10-01,94.7
2000-11-01,95.3
2000-12-01,96.4
2001-01-01,95.4
2001-02-01,96.1
2001-03-01,96.1
2001-04-01,96.2
2001-05-01,96.7
2001-06-01,97.1
2001-07-01,98.0
2001-08-01,98.1
2001-09-01,97.8
2001-10-01,98.3
2001-11-01,98.6
2001-12-01,99.0
2002-01-01,98.4
2002-02-01,99.2
2002-03-01,98.9
2002-04-01,99.3
2002-05-01,99.4
2002-06-01,99.8
2002-07-01,99.3
2002-08-01,99.7
2002-09-01,99.5
2002-10-01,99.5
2002-11-01,102.9
2002-12-01,104.1
2003-01-01,103.5
