Date,Food services and drinking places  
1997-01-01,19829.0
1997-02-01,20494.0
1997-03-01,20461.0
1997-04-01,20504.0
1997-05-01,20549.0
1997-06-01,20407.0
1997-07-01,20323.0
1997-08-01,20529.0
1997-09-01,20685.0
1997-10-01,20824.0
1997-11-01,21202.0
1997-12-01,21261.0
1998-01-01,21516.0
1998-02-01,22065.0
1998-03-01,21434.0
1998-04-01,21624.0
1998-05-01,21782.0
1998-06-01,22092.0
1998-07-01,22481.0
1998-08-01,22629.0
1998-09-01,22505.0
1998-10-01,22409.0
1998-11-01,22338.0
1998-12-01,22529.0
1999-01-01,22773.0
1999-02-01,22907.0
1999-03-01,22971.0
1999-04-01,23227.0
1999-05-01,23187.0
1999-06-01,23110.0
1999-07-01,23259.0
1999-08-01,23223.0
1999-09-01,23453.0
1999-10-01,23712.0
1999-11-01,23583.0
1999-12-01,23714.0
2000-01-01,24135.0
2000-02-01,23738.0
2000-03-01,24009.0
2000-04-01,24185.0
2000-05-01,24357.0
2000-06-01,24320.0
2000-07-01,24633.0
2000-08-01,24468.0
2000-09-01,24563.0
2000-10-01,24936.0
2000-11-01,24619.0
2000-12-01,24670.0
2001-01-01,24718.0
2001-02-01,24957.0
2001-03-01,25001.0
2001-04-01,24710.0
2001-05-01,24723.0
2001-06-01,24697.0
2001-07-01,24749.0
2001-08-01,24607.0
2001-09-01,24515.0
2001-10-01,24303.0
2001-11-01,25037.0
2001-12-01,25176.0
2002-01-01,24775.0
2002-02-01,25063.0
2002-03-01,25164.0
2002-04-01,25181.0
2002-05-01,25520.0
2002-06-01,25210.0
2002-07-01,25300.0
2002-08-01,25232.0
2002-09-01,25251.0
2002-10-01,25339.0
2002-11-01,25225.0
2002-12-01,25129.0
2003-01-01,24306.0
2003-02-01,24571.0
2003-03-01,24524.0
2003-04-01,24398.0
2003-05-01,24205.0
2003-06-01,24357.0
2003-07-01,24335.0
2003-08-01,24367.0
2003-09-01,24553.0
2003-10-01,24773.0
2003-11-01,24653.0
2003-12-01,24405.0
2004-01-01,24342.0
2004-02-01,24312.0
2004-03-01,24641.0
2004-04-01,25243.0
2004-05-01,25204.0
2004-06-01,24840.0
2004-07-01,25340.0
2004-08-01,25457.0
2004-09-01,25465.0
2004-10-01,25240.0
2004-11-01,25355.0
2004-12-01,25317.0
2005-01-01,25120.0
2005-02-01,25469.0
2005-03-01,25266.0
2005-04-01,25273.0
2005-05-01,25047.0
2005-06-01,25253.0
2005-07-01,25242.0
2005-08-01,25421.0
2005-09-01,24707.0
2005-10-01,24899.0
2005-11-01,25015.0
2005-12-01,25267.0
2006-01-01,25481.0
2006-02-01,25437.0
2006-03-01,25434.0
2006-04-01,25234.0
2006-05-01,25023.0
2006-06-01,25063.0
2006-07-01,25040.0
2006-08-01,25037.0
2006-09-01,25120.0
2006-10-01,25322.0
2006-11-01,25379.0
2006-12-01,25526.0
2007-01-01,25364.0
2007-02-01,25054.0
2007-03-01,25607.0
2007-04-01,25333.0
2007-05-01,25340.0
2007-06-01,25258.0
2007-07-01,25652.0
2007-08-01,25466.0
2007-09-01,25659.0
2007-10-01,25944.0
2007-11-01,25947.0
2007-12-01,25484.0
2008-01-01,25744.0
2008-02-01,25485.0
2008-03-01,25470.0
2008-04-01,25696.0
2008-05-01,25753.0
2008-06-01,25568.0
2008-07-01,25511.0
2008-08-01,25874.0
2008-09-01,25920.0
2008-10-01,25938.0
2008-11-01,26040.0
2008-12-01,25592.0
2009-01-01,26174.0
2009-02-01,26422.0
2009-03-01,26191.0
2009-04-01,26185.0
2009-05-01,26083.0
2009-06-01,26259.0
2009-07-01,26323.0
2009-08-01,26330.0
2009-09-01,26251.0
2009-10-01,25694.0
2009-11-01,26004.0
2009-12-01,26089.0
2010-01-01,25937.0
2010-02-01,26495.0
2010-03-01,26062.0
2010-04-01,25789.0
2010-05-01,25724.0
2010-06-01,25700.0
2010-07-01,25442.0
2010-08-01,25746.0
2010-09-01,25762.0
2010-10-01,25912.0
2010-11-01,26045.0
2010-12-01,26126.0
2011-01-01,26024.0
2011-02-01,26134.0
2011-03-01,26096.0
2011-04-01,26379.0
2011-05-01,26511.0
2011-06-01,26670.0
2011-07-01,26665.0
2011-08-01,26638.0
2011-09-01,26791.0
2011-10-01,26828.0
2011-11-01,26853.0
2011-12-01,27011.0
2012-01-01,27017.0
2012-02-01,27046.0
2012-03-01,27331.0
2012-04-01,27040.0
2012-05-01,27042.0
2012-06-01,27023.0
2012-07-01,27132.0
2012-08-01,27040.0
2012-09-01,27244.0
2012-10-01,27014.0
2012-11-01,27357.0
2012-12-01,27420.0
2013-01-01,27630.0
2013-02-01,27640.0
2013-03-01,27936.0
2013-04-01,27811.0
2013-05-01,28168.0
2013-06-01,28259.0
2013-07-01,28459.0
2013-08-01,28608.0
2013-09-01,28667.0
2013-10-01,28961.0
2013-11-01,29505.0
2013-12-01,28904.0
2014-01-01,29324.0
2014-02-01,29477.0
2014-03-01,29802.0
2014-04-01,29960.0
2014-05-01,30540.0
2014-06-01,30570.0
2014-07-01,30697.0
2014-08-01,31119.0
2014-09-01,30946.0
2014-10-01,31141.0
2014-11-01,31331.0
2014-12-01,31416.0
2015-01-01,31433.0
2015-02-01,31259.0
2015-03-01,31407.0
2015-04-01,31822.0
2015-05-01,32231.0
2015-06-01,32099.0
2015-07-01,32175.0
2015-08-01,32297.0
2015-09-01,32227.0
2015-10-01,32383.0
2015-11-01,32310.0
2015-12-01,32406.0
2016-01-01,32827.0
2016-02-01,32825.0
2016-03-01,32940.0
2016-04-01,32942.0
2016-05-01,32670.0
2016-06-01,32679.0
2016-07-01,32665.0
2016-08-01,32610.0
2016-09-01,32518.0
2016-10-01,32500.0
2016-11-01,32625.0
2016-12-01,32024.0
2017-01-01,32972.0
2017-02-01,33002.0
2017-03-01,33171.0
2017-04-01,33221.0
2017-05-01,33181.0
2017-06-01,33152.0
2017-07-01,33013.0
2017-08-01,33113.0
2017-09-01,32997.0
2017-10-01,32947.0
2017-11-01,32874.0
2017-12-01,32873.0
2018-01-01,33073.0
2018-02-01,33139.0
2018-03-01,33071.0
2018-04-01,32924.0
2018-05-01,32962.0
2018-06-01,33012.0
2018-07-01,33437.0
2018-08-01,33282.0
2018-09-01,33247.0
2018-10-01,33427.0
2018-11-01,33589.0
2018-12-01,33705.0
2019-01-01,33886.0
2019-02-01,33806.0
2019-03-01,33879.0
2019-04-01,33742.0
2019-05-01,33693.0
2019-06-01,33860.0
2019-07-01,33834.0
2019-08-01,33750.0
2019-09-01,33497.0
2019-10-01,33570.0
2019-11-01,33715.0
2019-12-01,33948.0
2020-01-01,33333.0
2020-02-01,32955.0
2020-03-01,20592.0
2020-04-01,12085.0
2020-05-01,14722.0
2020-06-01,18534.0
2020-07-01,21236.0
2020-08-01,22618.0
2020-09-01,22813.0
2020-10-01,20739.0
2020-11-01,20901.0
2020-12-01,18912.0
2021-01-01,19427.0
2021-02-01,20186.0
2021-03-01,23002.0
2021-04-01,19965.0
2021-05-01,19456.0
2021-06-01,23648.0
2021-07-01,26487.0
2021-08-01,28177.0
2021-09-01,27673.0
2021-10-01,26763.0
2021-11-01,27554.0
2021-12-01,26718.0
2022-01-01,22893.0
2022-02-01,26214.0
2022-03-01,28158.0
2022-04-01,28264.0
2022-05-01,28986.0
2022-06-01,29551.0
2022-07-01,29953.0
2022-08-01,30312.0
2022-09-01,29927.0
2022-10-01,30464.0
2022-11-01,29795.0
2022-12-01,29691.0
2023-01-01,30873.0
2023-02-01,30759.0
2023-03-01,30179.0
2023-04-01,30253.0
2023-05-01,30417.0
2023-06-01,30114.0
2023-07-01,30499.0
2023-08-01,30155.0
2023-09-01,30181.0
2023-10-01,30296.0
2023-11-01,30433.0
