Date,Farm product wholesaler-distributors  ,"Food, beverage and tobacco wholesaler-distributors  ",Food and beverage stores  ,Food services and drinking places  
2007-01-01,1540.0,13209.0,18024.0,25364.0
2007-02-01,1477.0,13656.0,18058.0,25054.0
2007-03-01,1505.0,13725.0,18079.0,25607.0
2007-04-01,1479.0,13654.0,18456.0,25333.0
2007-05-01,1560.0,13856.0,18523.0,25340.0
2007-06-01,1514.0,13846.0,18657.0,25258.0
2007-07-01,1508.0,14163.0,18609.0,25652.0
2007-08-01,1565.0,14189.0,18803.0,25466.0
2007-09-01,1554.0,14123.0,18820.0,25659.0
2007-10-01,1542.0,14046.0,18935.0,25944.0
2007-11-01,1480.0,13924.0,19172.0,25947.0
2007-12-01,1539.0,13749.0,19363.0,25484.0
2008-01-01,1636.0,13743.0,19191.0,25744.0
2008-02-01,1539.0,14004.0,19156.0,25485.0
2008-03-01,1572.0,13872.0,19041.0,25470.0
2008-04-01,1525.0,13983.0,19260.0,25696.0
2008-05-01,1501.0,14021.0,19046.0,25753.0
2008-06-01,1525.0,14132.0,19210.0,25568.0
2008-07-01,1535.0,13779.0,19114.0,25511.0
2008-08-01,1555.0,14000.0,19293.0,25874.0
2008-09-01,1573.0,13916.0,19149.0,25920.0
2008-10-01,1626.0,14089.0,19533.0,25938.0
2008-11-01,1579.0,13708.0,19161.0,26040.0
2008-12-01,1494.0,13756.0,19101.0,25592.0
2009-01-01,1521.0,13932.0,19343.0,26174.0
2009-02-01,1707.0,13430.0,19268.0,26422.0
2009-03-01,1653.0,13322.0,19281.0,26191.0
2009-04-01,1741.0,13169.0,19156.0,26185.0
2009-05-01,1718.0,13044.0,19101.0,26083.0
2009-06-01,1764.0,12965.0,19170.0,26259.0
2009-07-01,1724.0,12799.0,18978.0,26323.0
2009-08-01,1624.0,12893.0,18831.0,26330.0
2009-09-01,1531.0,13026.0,19061.0,26251.0
2009-10-01,1638.0,12544.0,18786.0,25694.0
2009-11-01,1696.0,12991.0,18722.0,26004.0
2009-12-01,1724.0,13204.0,18592.0,26089.0
2010-01-01,1642.0,13047.0,18944.0,25937.0
2010-02-01,1709.0,13624.0,19161.0,26495.0
2010-03-01,1727.0,13510.0,19119.0,26062.0
2010-04-01,1737.0,13555.0,18911.0,25789.0
2010-05-01,1752.0,13529.0,18920.0,25724.0
2010-06-01,1810.0,13619.0,18886.0,25700.0
2010-07-01,1874.0,13925.0,19081.0,25442.0
2010-08-01,1885.0,13636.0,19004.0,25746.0
2010-09-01,1681.0,13830.0,19034.0,25762.0
2010-10-01,1737.0,13836.0,18936.0,25912.0
2010-11-01,1799.0,14060.0,19284.0,26045.0
2010-12-01,1721.0,13929.0,18732.0,26126.0
2011-01-01,1585.0,14024.0,18896.0,26024.0
2011-02-01,1667.0,13699.0,18934.0,26134.0
2011-03-01,1549.0,13762.0,18697.0,26096.0
2011-04-01,1515.0,13954.0,18820.0,26379.0
2011-05-01,1539.0,13788.0,18609.0,26511.0
2011-06-01,1531.0,13904.0,18700.0,26670.0
2011-07-01,1582.0,13956.0,18763.0,26665.0
2011-08-01,1493.0,13856.0,18695.0,26638.0
2011-09-01,1586.0,13753.0,18786.0,26791.0
2011-10-01,1555.0,13853.0,18838.0,26828.0
2011-11-01,1524.0,13908.0,18777.0,26853.0
2011-12-01,1546.0,13887.0,19000.0,27011.0
2012-01-01,1574.0,13803.0,18632.0,27017.0
2012-02-01,1555.0,13664.0,18718.0,27046.0
2012-03-01,1618.0,13744.0,18883.0,27331.0
2012-04-01,1622.0,13803.0,18637.0,27040.0
2012-05-01,1460.0,13670.0,18901.0,27042.0
2012-06-01,1271.0,13650.0,19037.0,27023.0
2012-07-01,1247.0,13645.0,19035.0,27132.0
2012-08-01,1574.0,13736.0,18929.0,27040.0
2012-09-01,1664.0,13741.0,19071.0,27244.0
2012-10-01,1700.0,13677.0,18969.0,27014.0
2012-11-01,1640.0,13502.0,19153.0,27357.0
2012-12-01,1843.0,13477.0,19206.0,27420.0
2013-01-01,1835.0,13797.0,19199.0,27630.0
2013-02-01,1638.0,13708.0,19240.0,27640.0
2013-03-01,1830.0,13568.0,19189.0,27936.0
2013-04-01,1905.0,13527.0,19243.0,27811.0
2013-05-01,1886.0,13856.0,19567.0,28168.0
2013-06-01,1606.0,13533.0,18976.0,28259.0
2013-07-01,1638.0,13827.0,19204.0,28459.0
2013-08-01,1567.0,13915.0,19676.0,28608.0
2013-09-01,1872.0,13695.0,19301.0,28667.0
2013-10-01,1908.0,14172.0,19633.0,28961.0
2013-11-01,1827.0,14097.0,19329.0,29505.0
2013-12-01,1632.0,14278.0,19294.0,28904.0
2014-01-01,1711.0,13823.0,19390.0,29324.0
2014-02-01,1751.0,13790.0,19156.0,29477.0
2014-03-01,1980.0,13991.0,19047.0,29802.0
2014-04-01,1937.0,13755.0,19240.0,29960.0
2014-05-01,2009.0,13784.0,18419.0,30540.0
2014-06-01,2014.0,14110.0,18999.0,30570.0
2014-07-01,2214.0,13783.0,18819.0,30697.0
2014-08-01,2116.0,13960.0,18431.0,31119.0
2014-09-01,1943.0,13944.0,18609.0,30946.0
2014-10-01,1873.0,13598.0,18413.0,31141.0
2014-11-01,1813.0,13819.0,18396.0,31331.0
2014-12-01,1918.0,13603.0,18610.0,31416.0
2015-01-01,1842.0,13913.0,17880.0,31433.0
2015-02-01,1962.0,13901.0,17830.0,31259.0
2015-03-01,2028.0,13845.0,18319.0,31407.0
2015-04-01,2155.0,13576.0,17858.0,31822.0
2015-05-01,2311.0,13814.0,17654.0,32231.0
2015-06-01,2246.0,13727.0,17774.0,32099.0
2015-07-01,2090.0,13741.0,17857.0,32175.0
2015-08-01,2100.0,13516.0,18066.0,32297.0
2015-09-01,2175.0,13648.0,18277.0,32227.0
2015-10-01,2249.0,13395.0,17609.0,32383.0
2015-11-01,2310.0,13567.0,18195.0,32310.0
2015-12-01,2308.0,13589.0,18250.0,32406.0
2016-01-01,2291.0,13357.0,18239.0,32827.0
2016-02-01,2356.0,12976.0,18519.0,32825.0
2016-03-01,2134.0,12687.0,18639.0,32940.0
2016-04-01,2146.0,13001.0,18742.0,32942.0
2016-05-01,2047.0,13226.0,19212.0,32670.0
2016-06-01,2066.0,13214.0,19142.0,32679.0
2016-07-01,2320.0,13254.0,19097.0,32665.0
2016-08-01,2013.0,13142.0,19270.0,32610.0
2016-09-01,2080.0,13239.0,19366.0,32518.0
2016-10-01,2141.0,13395.0,19529.0,32500.0
2016-11-01,2154.0,13161.0,19538.0,32625.0
2016-12-01,2039.0,13351.0,19366.0,32024.0
2017-01-01,2222.0,12871.0,19669.0,32972.0
2017-02-01,2361.0,13366.0,19852.0,33002.0
2017-03-01,2302.0,13605.0,19472.0,33171.0
2017-04-01,2416.0,13457.0,19540.0,33221.0
2017-05-01,2375.0,13428.0,19696.0,33181.0
2017-06-01,2409.0,13022.0,19724.0,33152.0
2017-07-01,2278.0,13055.0,19650.0,33013.0
2017-08-01,2355.0,13268.0,19442.0,33113.0
2017-09-01,2352.0,13038.0,19338.0,32997.0
2017-10-01,2380.0,13197.0,19406.0,32947.0
2017-11-01,2446.0,13558.0,19245.0,32874.0
2017-12-01,2196.0,13423.0,19518.0,32873.0
2018-01-01,2341.0,13385.0,19462.0,33073.0
2018-02-01,2063.0,13662.0,19431.0,33139.0
2018-03-01,2247.0,13422.0,19595.0,33071.0
2018-04-01,2211.0,13674.0,19341.0,32924.0
2018-05-01,2631.0,13683.0,19895.0,32962.0
2018-06-01,2200.0,13412.0,19792.0,33012.0
2018-07-01,2333.0,13682.0,19865.0,33437.0
2018-08-01,2523.0,13942.0,20409.0,33282.0
2018-09-01,2440.0,13872.0,20218.0,33247.0
2018-10-01,2377.0,14469.0,20159.0,33427.0
2018-11-01,2527.0,14047.0,20074.0,33589.0
2018-12-01,2559.0,14218.0,20175.0,33705.0
