Date,Truck transportation  
1997-01-01,9797
1997-02-01,9917
1997-03-01,9992
1997-04-01,10267
1997-05-01,10367
1997-06-01,10442
1997-07-01,10595
1997-08-01,10634
1997-09-01,10668
1997-10-01,10655
1997-11-01,10718
1997-12-01,10915
1998-01-01,10942
1998-02-01,11082
1998-03-01,11068
1998-04-01,11019
1998-05-01,10886
1998-06-01,10685
1998-07-01,10481
1998-08-01,10768
1998-09-01,10853
1998-10-01,11127
1998-11-01,11273
1998-12-01,11683
1999-01-01,11604
1999-02-01,11468
1999-03-01,11362
1999-04-01,11463
1999-05-01,11457
1999-06-01,11581
1999-07-01,11740
1999-08-01,11893
1999-09-01,12158
1999-10-01,12177
1999-11-01,12315
1999-12-01,12129
2000-01-01,12245
2000-02-01,12124
2000-03-01,12531
2000-04-01,12389
2000-05-01,12540
2000-06-01,12634
2000-07-01,12717
2000-08-01,12849
2000-09-01,12865
2000-10-01,12990
2000-11-01,13069
2000-12-01,13231
2001-01-01,13360
2001-02-01,13349
2001-03-01,13487
2001-04-01,13557
2001-05-01,13652
2001-06-01,13519
2001-07-01,13532
2001-08-01,13554
2001-09-01,13425
2001-10-01,13336
2001-11-01,13364
2001-12-01,13326
2002-01-01,13335
2002-02-01,13467
2002-03-01,13464
2002-04-01,13780
2002-05-01,13807
2002-06-01,13843
2002-07-01,13698
2002-08-01,13867
2002-09-01,13858
2002-10-01,13852
2002-11-01,13835
2002-12-01,13846
2003-01-01,13795
2003-02-01,13772
2003-03-01,13702
2003-04-01,13584
2003-05-01,13579
2003-06-01,13442
2003-07-01,13578
2003-08-01,13205
2003-09-01,13338
2003-10-01,13316
2003-11-01,13494
2003-12-01,13700
2004-01-01,13596
2004-02-01,13497
2004-03-01,13838
2004-04-01,13887
2004-05-01,13921
2004-06-01,14178
2004-07-01,14078
2004-08-01,14291
2004-09-01,14356
2004-10-01,14560
2004-11-01,14678
2004-12-01,14657
2005-01-01,14828
2005-02-01,14853
2005-03-01,14846
2005-04-01,15087
2005-05-01,15369
2005-06-01,15244
2005-07-01,15561
2005-08-01,15669
2005-09-01,15708
2005-10-01,15707
2005-11-01,15657
2005-12-01,15684
2006-01-01,15750
2006-02-01,15786
2006-03-01,15883
2006-04-01,15775
2006-05-01,15723
2006-06-01,15705
2006-07-01,15677
2006-08-01,15639
2006-09-01,15600
2006-10-01,15410
2006-11-01,15601
2006-12-01,15898
2007-01-01,15808
2007-02-01,15946
2007-03-01,15984
2007-04-01,16127
2007-05-01,16205
2007-06-01,16253
2007-07-01,16249
2007-08-01,16268
2007-09-01,16240
2007-10-01,16172
2007-11-01,16175
2007-12-01,15869
2008-01-01,15686
2008-02-01,15548
2008-03-01,15651
2008-04-01,15769
2008-05-01,15827
2008-06-01,15805
2008-07-01,15930
2008-08-01,15704
2008-09-01,15765
2008-10-01,15821
2008-11-01,15790
2008-12-01,15548
2009-01-01,15151
2009-02-01,14999
2009-03-01,14848
2009-04-01,14996
2009-05-01,14968
2009-06-01,15078
2009-07-01,15540
2009-08-01,15360
2009-09-01,15531
2009-10-01,15552
2009-11-01,15813
2009-12-01,16015
2010-01-01,16016
2010-02-01,16206
2010-03-01,16354
2010-04-01,16383
2010-05-01,16412
2010-06-01,16602
2010-07-01,16554
2010-08-01,16689
2010-09-01,16533
2010-10-01,16711
2010-11-01,16631
2010-12-01,16922
2011-01-01,17282
2011-02-01,17058
2011-03-01,17387
2011-04-01,17163
2011-05-01,17276
2011-06-01,17206
2011-07-01,17449
2011-08-01,17432
2011-09-01,17524
2011-10-01,17724
2011-11-01,17753
2011-12-01,17894
2012-01-01,17796
2012-02-01,17501
2012-03-01,17760
2012-04-01,17826
2012-05-01,17819
2012-06-01,17878
2012-07-01,17915
2012-08-01,18001
2012-09-01,18051
2012-10-01,17937
2012-11-01,17848
2012-12-01,17736
2013-01-01,17932
2013-02-01,18161
2013-03-01,18384
2013-04-01,18560
2013-05-01,18146
2013-06-01,17969
2013-07-01,17941
2013-08-01,18143
2013-09-01,18466
2013-10-01,18786
2013-11-01,19169
2013-12-01,18843
2014-01-01,18982
2014-02-01,19105
2014-03-01,19136
2014-04-01,19207
2014-05-01,19444
2014-06-01,19576
2014-07-01,19803
2014-08-01,19490
2014-09-01,19834
2014-10-01,19745
2014-11-01,19735
2014-12-01,19823
2015-01-01,19491
2015-02-01,19048
2015-03-01,19149
2015-04-01,19114
2015-05-01,19183
2015-06-01,19414
2015-07-01,19567
2015-08-01,19702
2015-09-01,19443
2015-10-01,19529
2015-11-01,19760
2015-12-01,19796
2016-01-01,19882
2016-02-01,19746
2016-03-01,19644
2016-04-01,19889
2016-05-01,19738
2016-06-01,19983
2016-07-01,20245
2016-08-01,20425
2016-09-01,20610
2016-10-01,20568
2016-11-01,20693
2016-12-01,20810
2017-01-01,21302
2017-02-01,21649
2017-03-01,21623
2017-04-01,21768
2017-05-01,21896
2017-06-01,21975
2017-07-01,21815
2017-08-01,21754
2017-09-01,21685
2017-10-01,21329
2017-11-01,21509
2017-12-01,21099
2018-01-01,21412
