Date,Household Income,Disposable Income,Interest Paid
Q4 1990,-1.0,-0.9996859799877664,-0.8617436031844838
Q1 1991,-0.9980234381973756,-0.9915083755025139,-0.856174032696655
Q2 1991,-0.9901554470217676,-1.0,-0.8705238672476493
Q3 1991,-0.9854584560714452,-0.986654149480068,-0.8796972774628968
Q4 1991,-0.9836349184083789,-0.9803279546502767,-0.8935229171444484
Q1 1992,-0.9791504609852204,-0.9870990111640658,-0.913900992694034
Q2 1992,-0.9731187594843086,-0.9725625014310809,-0.9223536349637979
Q3 1992,-0.9693781694062238,-0.9504829693208992,-0.9340169708088982
Q4 1992,-0.9679031867277063,-0.9615914272536662,-0.9284474003210694
Q1 1993,-0.9601712170094833,-0.9554549528479327,-0.9726108180716182
Q2 1993,-0.956592152412043,-0.9238763153676816,-0.9800805949611768
Q3 1993,-0.954713356031914,-0.9465773454187426,-0.9960030141204993
Q4 1993,-0.9538292165589122,-0.9508427839182503,-0.9990171346197949
Q1 1994,-0.9504201787832031,-0.9379025425807868,-0.9997379025652787
Q2 1994,-0.9428497345456246,-0.9305230722932949,-1.0
Q3 1994,-0.9338000569589853,-0.9311380281505859,-0.97877010778757
Q4 1994,-0.9264676502718303,-0.9221557473839844,-0.9622579694001245
Q1 1995,-0.9185146456853568,-0.9184267597387094,-0.9260885234085772
Q2 1995,-0.911275753750154,-0.9119370128192129,-0.9034170953051798
Q3 1995,-0.9058348954547579,-0.9120155178222714,-0.9076761786194018
Q4 1995,-0.9028849300977229,-0.906722972199416,-0.9099040068145333
Q1 1996,-0.8990423239265994,-0.901672483669324,-0.9150149067915998
Q2 1996,-0.8957310515733856,-0.8991537814878662,-0.9203879042033877
Q3 1996,-0.8896653447081276,-0.8964846113838798,-0.9331651541460538
Q4 1996,-0.8811767556332011,-0.8873453206111616,-0.9478426104904498
Q1 1997,-0.8763819992603833,-0.8801882811656686,-0.974117878321266
Q2 1997,-0.8667457291387716,-0.8768518185356856,-0.9797529731677751
Q3 1997,-0.8535984051484121,-0.8540461151472134,-0.9810634603413819
Q4 1997,-0.8469546070892683,-0.8466339344417805,-0.9720866232021754
Q1 1998,-0.8335437415252256,-0.8424535430289194,-0.9528224617501556
Q2 1998,-0.8241752636478404,-0.8387703499687618,-0.9466631720342037
Q3 1998,-0.8179437806313946,-0.8178814770716327,-0.9278576810929463
Q4 1998,-0.8032322098811087,-0.8038552498585276,-0.9137699439766733
Q1 1999,-0.7991048087835856,-0.8000346730430177,-0.9286439733971104
Q2 1999,-0.7850223372737049,-0.7855832103966794,-0.9382760541231203
Q3 1999,-0.7744339169503989,-0.7735261503436232,-0.9415522720571373
Q4 1999,-0.7620644656694593,-0.7627775070082072,-0.9360482259279888
Q1 2000,-0.74273241603863,-0.7520092374220267,-0.8868394325590538
Q2 2000,-0.7254534402802042,-0.7364063680641649,-0.842282868656423
Q3 2000,-0.7099597461499552,-0.7154259059968011,-0.8264914982144612
Q4 2000,-0.6993755764971924,-0.6994501378744118,-0.8006749008944075
Q1 2001,-0.6795589504244294,-0.6687743079293327,-0.7934016970808898
Q2 2001,-0.6760181418618787,-0.6880145757622347,-0.8130590046849917
Q3 2001,-0.6747004339934624,-0.6615125951464285,-0.8377616879074796
Q4 2001,-0.6709428412332046,-0.6520527422778883,-0.8684926121285588
Q1 2002,-0.6658122818874677,-0.636371367916968,-0.8976509517413098
Q2 2002,-0.6615276059798434,-0.6337152819801581,-0.8998787799364414
Q3 2002,-0.6504248545208007,-0.6154628687690744,-0.8799593748976182
Q4 2002,-0.6345443493711131,-0.6062254467425332,-0.8515218032303509
Q1 2003,-0.628168343556196,-0.5895038810910889,-0.8616780788258035
Q2 2003,-0.6246232843231019,-0.5955356821594111,-0.8461488058185631
Q3 2003,-0.6147702300037832,-0.5920160411889583,-0.8211185008026735
