,1
1980-01-01,0.6605504587155963
1981-01-01,0.7798165137614679
1982-01-01,0.1651376146788991
1983-01-01,0.6972477064220183
1984-01-01,1.0
1985-01-01,0.8899082568807339
1986-01-01,0.6513761467889908
1987-01-01,0.8348623853211008
1988-01-01,0.8623853211009174
1989-01-01,0.6697247706422018
1990-01-01,0.4770642201834862
1991-01-01,0.2660550458715596
1992-01-01,0.5412844036697247
1993-01-01,0.7064220183486238
1994-01-01,0.8715596330275228
1995-01-01,0.7064220183486238
1996-01-01,0.6146788990825688
1997-01-01,0.8532110091743119
1998-01-01,0.8165137614678899
1999-01-01,0.9266055045871558
2000-01-01,0.9266055045871558
2001-01-01,0.6330275229357798
2002-01-01,0.7339449541284403
2003-01-01,0.6238532110091742
2004-01-01,0.7431192660550459
2005-01-01,0.7522935779816513
2006-01-01,0.6972477064220183
2007-01-01,0.6422018348623852
2008-01-01,0.5504587155963302
2009-01-01,0.1926605504587156
2010-01-01,0.7431192660550459
2011-01-01,0.7431192660550459
2012-01-01,0.6238532110091742
2013-01-01,0.6697247706422018
2014-01-01,0.7247706422018347
2015-01-01,0.5137614678899082
2016-01-01,0.5504587155963302
2017-01-01,0.7339449541284403
2018-01-01,0.7064220183486238
2019-01-01,0.6330275229357798
2020-01-01,0.0
2021-01-01,0.9449541284403669
2022-01-01,0.8073394495412843
2023-01-01,0.5596330275229358
2024-01-01,0.5688073394495412
2025-01-01,0.6697247706422018
2026-01-01,0.6330275229357798
2027-01-01,0.6146788990825688
2028-01-01,0.6146788990825688
2029-01-01,0.6146788990825688
