,1
1954-01-01,0.0
1955-01-01,0.045306526332522634
1956-01-01,0.047713485396746524
1957-01-01,0.03359151960538559
1958-01-01,0.029782234774062444
1959-01-01,0.06781804767856564
1960-01-01,0.06095088347885991
1961-01-01,0.06499890800863567
1962-01-01,0.07072261542834851
1963-01-01,0.06109519969711863
1964-01-01,0.07078942368123475
1965-01-01,0.10416285152700705
1966-01-01,0.07841489562625348
1967-01-01,0.10581587783449503
1968-01-01,0.12805750047151332
1969-01-01,0.10999365397232896
1970-01-01,0.10980711265844545
1971-01-01,0.13045650909999684
1972-01-01,0.14925911262128289
1973-01-01,0.16062770309392171
1974-01-01,0.1659265494115877
1975-01-01,0.18098750420315246
1976-01-01,0.1892168434513012
1977-01-01,0.22003481313525086
1978-01-01,0.24370046641467125
1979-01-01,0.2669671254798428
1980-01-01,0.28225782356254003
1981-01-01,0.2966897899990383
1982-01-01,0.27815176553990717
1983-01-01,0.23650236155110338
1984-01-01,0.21880264160747365
1985-01-01,0.22862542689439558
1986-01-01,0.25064873136933064
1987-01-01,0.27046902065097655
1988-01-01,0.30411514543289286
1989-01-01,0.34553329722830983
1990-01-01,0.37960729862310727
1991-01-01,0.41499802310616174
1992-01-01,0.423589750136657
1993-01-01,0.4352197065689376
1994-01-01,0.4216841070634755
1995-01-01,0.4191474584322953
1996-01-01,0.4200509508594069
1997-01-01,0.43723845297642316
1998-01-01,0.47182810040227385
1999-01-01,0.43436111310265
2000-01-01,0.4306641755880919
2001-01-01,0.4679240345572291
2002-01-01,0.4911674497473568
2003-01-01,0.47251722208136016
2004-01-01,0.485500642353625
2005-01-01,0.46277624153967667
2006-01-01,0.4878052371241596
2007-01-01,0.5308511963862678
2008-01-01,0.5621059007426772
2009-01-01,0.6504632917801036
2010-01-01,0.6322441871157549
2011-01-01,0.6290090647667124
2012-01-01,0.6591834522830007
2013-01-01,0.6900996410311298
2014-01-01,0.7114916221902132
2015-01-01,0.796252724953515
2016-01-01,0.8212701296489986
2017-01-01,0.8204048022896231
2018-01-01,0.8349082284392941
2019-01-01,0.8567017995810011
2020-01-01,0.9999999999999998
2021-01-01,0.9129865574093927
2022-01-01,0.8331643179594139
