Date,Food 5
1986-04-01,67.7
1986-05-01,68.2
1986-06-01,68.4
1986-07-01,69.2
1986-08-01,69.5
1986-09-01,69.9
1986-10-01,70.2
1986-11-01,70.6
1986-12-01,70.5
1987-01-01,71.2
1987-02-01,71.2
1987-03-01,71.2
1987-04-01,71.2
1987-05-01,71.8
1987-06-01,72.6
1987-07-01,72.8
1987-08-01,72.1
1987-09-01,71.7
1987-10-01,71.8
1987-11-01,72.1
1987-12-01,72.1
1988-01-01,72.8
1988-02-01,72.6
1988-03-01,72.5
1988-04-01,72.8
1988-05-01,73.3
1988-06-01,73.9
1988-07-01,74.6
1988-08-01,74.8
1988-09-01,74.6
1988-10-01,74.6
1988-11-01,74.3
1988-12-01,74.1
1989-01-01,74.9
1989-02-01,75.6
1989-03-01,75.6
1989-04-01,75.9
1989-05-01,76.4
1989-06-01,76.9
1989-07-01,77.6
1989-08-01,77.1
1989-09-01,76.8
1989-10-01,77.1
1989-11-01,77.0
1989-12-01,76.6
1990-01-01,78.5
1990-02-01,79.2
1990-03-01,79.4
1990-04-01,78.8
1990-05-01,79.0
1990-06-01,80.1
1990-07-01,80.6
1990-08-01,79.9
1990-09-01,79.7
1990-10-01,80.1
1990-11-01,80.2
1990-12-01,79.9
1991-01-01,83.2
1991-02-01,83.2
1991-03-01,83.5
1991-04-01,83.8
1991-05-01,84.0
1991-06-01,85.5
1991-07-01,84.9
1991-08-01,84.0
1991-09-01,82.9
1991-10-01,82.1
1991-11-01,82.3
1991-12-01,81.7
1992-01-01,82.4
1992-02-01,82.5
1992-03-01,82.9
1992-04-01,83.2
1992-05-01,83.0
1992-06-01,83.7
1992-07-01,83.5
1992-08-01,83.4
1992-09-01,83.0
1992-10-01,83.0
1992-11-01,83.1
1992-12-01,83.4
1993-01-01,84.1
1993-02-01,84.5
1993-03-01,84.2
1993-04-01,84.0
1993-05-01,84.9
1993-06-01,84.9
1993-07-01,84.9
1993-08-01,84.5
1993-09-01,84.1
1993-10-01,84.2
1993-11-01,84.5
1993-12-01,84.9
1994-01-01,85.2
1994-02-01,84.9
1994-03-01,84.3
1994-04-01,84.6
1994-05-01,84.6
1994-06-01,84.9
1994-07-01,85.3
1994-08-01,85.1
1994-09-01,84.5
1994-10-01,84.8
1994-11-01,84.9
1994-12-01,85.1
1995-01-01,86.4
1995-02-01,86.9
1995-03-01,86.9
1995-04-01,87.8
1995-05-01,87.3
1995-06-01,87.4
1995-07-01,87.4
1995-08-01,86.6
1995-09-01,86.4
1995-10-01,86.4
1995-11-01,86.4
1995-12-01,86.8
1996-01-01,87.2
1996-02-01,87.3
1996-03-01,87.4
1996-04-01,88.3
1996-05-01,87.9
1996-06-01,88.5
1996-07-01,88.3
1996-08-01,88.0
1996-09-01,87.7
1996-10-01,88.3
1996-11-01,88.9
1996-12-01,88.7
1997-01-01,89.1
1997-02-01,89.4
1997-03-01,89.4
1997-04-01,89.0
1997-05-01,89.4
1997-06-01,89.7
