index,PCU333132333132
1965-01-01,26.2
1965-02-01,26.2
1965-03-01,26.1
1965-04-01,26.2
1965-05-01,26.3
1965-06-01,26.5
1965-07-01,26.5
1965-08-01,26.4
1965-09-01,26.4
1965-10-01,26.4
1965-11-01,26.4
1965-12-01,26.4
1966-01-01,26.4
1966-02-01,26.4
1966-03-01,26.3
1966-04-01,26.2
1966-05-01,26.5
1966-06-01,26.5
1966-07-01,26.7
1966-08-01,26.9
1966-09-01,27.0
1966-10-01,27.2
1966-11-01,27.4
1966-12-01,27.6
1967-01-01,27.6
1967-02-01,27.5
1967-03-01,27.6
1967-04-01,27.6
1967-05-01,27.7
1967-06-01,27.7
1967-07-01,27.6
1967-08-01,27.6
1967-09-01,27.6
1967-10-01,27.8
1967-11-01,28.0
1967-12-01,28.2
1968-01-01,28.5
1968-02-01,28.6
1968-03-01,28.8
1968-04-01,28.9
1968-05-01,29.6
1968-06-01,29.6
1968-07-01,29.6
1968-08-01,29.7
1968-09-01,29.7
1968-10-01,30.0
1968-11-01,30.0
1968-12-01,30.3
1969-01-01,30.5
1969-02-01,30.6
1969-03-01,30.8
1969-04-01,30.9
1969-05-01,31.1
1969-06-01,31.1
1969-07-01,31.1
1969-08-01,31.2
1969-09-01,31.4
1969-10-01,31.4
1969-11-01,31.5
1969-12-01,32.1
1970-01-01,32.1
1970-02-01,32.3
1970-03-01,32.4
1970-04-01,32.6
1970-05-01,32.8
1970-06-01,33.1
1970-07-01,33.1
1970-08-01,33.1
1970-09-01,33.4
1970-10-01,33.4
1970-11-01,33.5
1970-12-01,33.8
1971-01-01,33.8
1971-02-01,33.9
1971-03-01,34.0
1971-04-01,34.2
1971-05-01,34.3
1971-06-01,34.3
1971-07-01,34.3
1971-08-01,34.4
1971-09-01,34.4
1971-10-01,34.4
1971-11-01,34.4
1971-12-01,34.4
1972-01-01,34.7
1972-02-01,34.8
1972-03-01,34.8
1972-04-01,35.1
1972-05-01,35.6
1972-06-01,35.7
1972-07-01,35.9
1972-08-01,35.9
1972-09-01,35.9
1972-10-01,35.9
1972-11-01,35.9
1972-12-01,36.1
1973-01-01,36.2
1973-02-01,36.3
1973-03-01,36.4
1973-04-01,36.8
1973-05-01,37.0
1973-06-01,37.1
1973-07-01,37.2
1973-08-01,37.2
1973-09-01,37.2
1973-10-01,37.3
1973-11-01,37.3
1973-12-01,37.8
1974-01-01,38.4
1974-02-01,38.5
1974-03-01,39.3
1974-04-01,41.0
1974-05-01,42.5
1974-06-01,43.5
1974-07-01,44.3
1974-08-01,45.3
1974-09-01,47.0
1974-10-01,49.8
1974-11-01,50.5
1974-12-01,50.8
1975-01-01,52.3
1975-02-01,52.6
1975-03-01,53.0
1975-04-01,55.0
1975-05-01,55.2
1975-06-01,54.8
1975-07-01,55.0
1975-08-01,55.2
1975-09-01,57.7
1975-10-01,58.3
1975-11-01,58.7
1975-12-01,59.0
1976-01-01,59.9
1976-02-01,60.2
1976-03-01,60.2
1976-04-01,60.2
1976-05-01,60.5
1976-06-01,61.1
1976-07-01,61.3
1976-08-01,61.8
1976-09-01,62.1
1976-10-01,63.2
1976-11-01,63.9
1976-12-01,64.1
1977-01-01,64.3
1977-02-01,64.7
1977-03-01,65.0
1977-04-01,65.9
1977-05-01,66.1
1977-06-01,66.5
1977-07-01,66.7
