index,PCU325311325311
1975-12-01,88.1
1976-01-01,87.6
1976-02-01,85.0
1976-03-01,84.8
1976-04-01,84.7
1976-05-01,84.6
1976-06-01,83.5
1976-07-01,83.0
1976-08-01,83.2
1976-09-01,83.1
1976-10-01,83.5
1976-11-01,83.2
1976-12-01,83.0
1977-01-01,82.5
1977-02-01,84.5
1977-03-01,86.9
1977-04-01,87.6
1977-05-01,87.4
1977-06-01,87.1
1977-07-01,87.2
1977-08-01,87.1
1977-09-01,87.2
1977-10-01,86.4
1977-11-01,84.6
1977-12-01,83.9
1978-01-01,83.3
1978-02-01,85.0
1978-03-01,86.6
1978-04-01,86.7
1978-05-01,86.1
1978-06-01,85.7
1978-07-01,85.2
1978-08-01,84.5
1978-09-01,84.5
1978-10-01,85.5
1978-11-01,84.2
1978-12-01,83.9
1979-01-01,84.0
1979-02-01,85.1
1979-03-01,86.4
1979-04-01,89.4
1979-05-01,89.8
1979-06-01,89.3
1979-07-01,90.6
1979-08-01,91.7
1979-09-01,93.4
1979-10-01,95.1
1979-11-01,98.4
1979-12-01,100.0
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,116.1
1981-01-01,118.9
1981-02-01,121.6
1981-03-01,124.9
1981-04-01,129.6
1981-05-01,130.8
1981-06-01,126.4
1981-07-01,126.4
1981-08-01,126.8
1981-09-01,125.2
1981-10-01,125.9
1981-11-01,127.0
1981-12-01,125.9
1982-01-01,125.4
1982-02-01,125.7
1982-03-01,125.3
1982-04-01,124.8
1982-05-01,123.7
1982-06-01,122.9
1982-07-01,119.7
1982-08-01,119.7
1982-09-01,119.2
1982-10-01,120.5
1982-11-01,118.4
1982-12-01,117.5
1983-01-01,117.0
1983-02-01,116.6
1983-03-01,116.4
1983-04-01,116.6
1983-05-01,116.0
1983-06-01,115.4
1983-07-01,114.9
1983-08-01,114.0
1983-09-01,111.7
1983-10-01,111.7
1983-11-01,113.2
1983-12-01,114.9
1984-01-01,116.7
1984-02-01,121.3
1984-03-01,126.1
1984-04-01,127.6
1984-05-01,127.8
1984-06-01,127.1
1984-07-01,126.0
1984-08-01,122.6
1984-09-01,122.0
1984-10-01,122.7
1984-11-01,121.1
1984-12-01,121.2
1985-01-01,122.0
1985-02-01,123.1
1985-03-01,123.0
1985-04-01,123.7
1985-05-01,123.3
1985-06-01,122.6
1985-07-01,122.4
1985-08-01,121.1
1985-09-01,123.8
1985-10-01,122.2
1985-11-01,121.8
1985-12-01,119.6
1986-01-01,114.5
1986-02-01,114.6
1986-03-01,115.3
1986-04-01,114.3
1986-05-01,114.3
1986-06-01,114.1
1986-07-01,108.7
1986-08-01,103.8
1986-09-01,102.5
1986-10-01,99.6
1986-11-01,99.1
1986-12-01,99.7
1987-01-01,97.5
1987-02-01,102.1
1987-03-01,106.2
1987-04-01,108.9
1987-05-01,105.9
1987-06-01,104.7
1987-07-01,103.8
1987-08-01,103.7
1987-09-01,102.7
1987-10-01,101.7
1987-11-01,103.2
1987-12-01,105.3
1988-01-01,110.4
1988-02-01,117.3
1988-03-01,120.4
1988-04-01,120.3
1988-05-01,119.0
1988-06-01,115.2
1988-07-01,116.8
1988-08-01,117.2
1988-09-01,119.3
1988-10-01,122.9
1988-11-01,127.1
1988-12-01,131.4
1989-01-01,133.5
1989-02-01,134.9
1989-03-01,136.4
1989-04-01,133.9
1989-05-01,130.8
1989-06-01,121.4
1989-07-01,113.0
1989-08-01,110.2
1989-09-01,107.6
1989-10-01,106.7
1989-11-01,108.7
1989-12-01,112.3
1990-01-01,114.4
1990-02-01,120.1
1990-03-01,119.6
1990-04-01,119.1
1990-05-01,115.8
1990-06-01,112.4
1990-07-01,113.1
1990-08-01,115.0
1990-09-01,121.4
1990-10-01,127.1
1990-11-01,129.9
1990-12-01,130.5
1991-01-01,131.3
1991-02-01,131.4
1991-03-01,130.5
1991-04-01,128.3
1991-05-01,126.0
1991-06-01,123.6
1991-07-01,123.1
1991-08-01,124.3
1991-09-01,123.9
1991-10-01,125.0
1991-11-01,123.6
1991-12-01,124.7
1992-01-01,123.6
1992-02-01,122.9
1992-03-01,122.1
1992-04-01,122.0
1992-05-01,123.4
1992-06-01,123.7
1992-07-01,121.2
1992-08-01,118.5
1992-09-01,119.2
1992-10-01,121.8
1992-11-01,121.3
1992-12-01,121.1
1993-01-01,122.3
1993-02-01,124.2
1993-03-01,125.5
1993-04-01,125.6
1993-05-01,125.0
1993-06-01,123.1
1993-07-01,121.6
1993-08-01,118.8
1993-09-01,118.9
1993-10-01,119.5
1993-11-01,128.7
1993-12-01,121.9
1994-01-01,123.6
1994-02-01,126.8
1994-03-01,129.1
1994-04-01,133.9
1994-05-01,136.8
