index,All industries,Manufacturing,Wholesale and retail trade,Transportation,Entertainment and hospitality
1986-01-01,128,44.0,31.0,7.0,9.0
1986-02-01,146,53.0,30.0,9.0,12.0
1986-03-01,144,55.0,27.0,9.0,12.0
1986-04-01,157,73.0,26.0,12.0,12.0
1986-05-01,180,76.0,29.0,13.0,14.0
1986-06-01,191,90.0,20.0,13.0,15.0
1986-07-01,168,89.0,18.0,7.0,12.0
1986-08-01,168,89.0,22.0,5.0,10.0
1986-09-01,157,80.0,22.0,5.0,11.0
1986-10-01,147,69.0,20.0,7.0,8.0
1986-11-01,139,67.0,18.0,4.0,9.0
1986-12-01,138,63.0,21.0,3.0,9.0
1987-01-01,125,57.0,22.0,7.0,12.0
1987-02-01,127,58.0,23.0,4.0,14.0
1987-03-01,130,53.0,24.0,2.0,17.0
1987-04-01,134,61.0,26.0,5.0,14.0
1987-05-01,159,71.0,32.0,6.0,17.0
1987-06-01,151,68.0,34.0,4.0,19.0
1987-07-01,136,67.0,25.0,3.0,16.0
1987-08-01,147,67.0,22.0,8.0,15.0
1987-09-01,140,64.0,18.0,12.0,15.0
1987-10-01,137,59.0,22.0,10.0,8.0
1987-11-01,110,52.0,18.0,7.0,8.0
1987-12-01,101,40.0,19.0,7.0,11.0
1988-01-01,108,45.0,22.0,9.0,7.0
1988-02-01,113,44.0,22.0,3.0,12.0
1988-03-01,129,57.0,23.0,9.0,11.0
1988-04-01,128,53.0,22.0,6.0,12.0
1988-05-01,135,56.0,25.0,7.0,14.0
1988-06-01,139,61.0,20.0,9.0,12.0
1988-07-01,123,53.0,22.0,10.0,9.0
1988-08-01,124,55.0,20.0,8.0,7.0
1988-09-01,133,67.0,16.0,9.0,8.0
1988-10-01,122,57.0,16.0,9.0,10.0
1988-11-01,113,49.0,16.0,7.0,12.0
1988-12-01,97,41.0,19.0,3.0,12.0
1989-01-01,101,49.0,12.0,6.0,11.0
1989-02-01,113,55.0,13.0,7.0,8.0
1989-03-01,143,67.0,22.0,13.0,6.0
1989-04-01,146,72.0,20.0,7.0,8.0
1989-05-01,159,68.0,25.0,8.0,9.0
1989-06-01,153,69.0,24.0,7.0,11.0
1989-07-01,144,54.0,24.0,8.0,7.0
1989-08-01,126,43.0,22.0,6.0,6.0
