index,"Milk sold off farms, total",Fluid purposes,Industrial purposes
1996-08-01,589315,227387,360559
1996-09-01,567137,221977,343873
1996-10-01,572225,240834,330200
1996-11-01,557837,236149,320806
1996-12-01,599002,234919,363221
1997-01-01,615241,240967,373535
1997-02-01,565141,214594,349897
1997-03-01,634179,234168,399265
1997-04-01,627491,225779,400803
1997-05-01,657065,234283,421823
1997-06-01,644642,213537,429810
1997-07-01,639848,218220,420276
1997-08-01,627418,224311,402080
1997-09-01,597861,228811,367949
1997-10-01,606438,239385,365781
1997-11-01,584391,222626,361050
1997-12-01,621661,238596,382303
1998-01-01,633854,239498,393716
1998-02-01,580551,211862,368089
1998-03-01,645414,232535,412206
1998-04-01,632743,223014,408986
1998-05-01,666189,223919,441443
1998-06-01,641799,224351,416441
1998-07-01,642014,223713,417424
1998-08-01,629785,222318,406644
1998-09-01,605194,231964,372417
1998-10-01,614927,242776,371414
1998-11-01,595300,230998,363689
1998-12-01,633279,250927,381714
1999-01-01,642467,234551,407400
1999-02-01,589669,215044,374145
1999-03-01,660129,240205,419341
1999-04-01,648312,230805,416910
1999-05-01,676006,225448,449891
1999-06-01,643658,223116,419751
1999-07-01,640703,228391,411602
1999-08-01,633856,231018,402119
1999-09-01,604090,236461,366972
1999-10-01,614615,239912,374082
1999-11-01,599691,242716,356415
1999-12-01,636305,250409,385386
2000-01-01,645517,233201,411861
2000-02-01,607427,230613,376344
2000-03-01,654776,245699,408558
2000-04-01,634304,227295,406508
2000-05-01,655108,239814,414653
2000-06-01,628098,233511,393938
2000-07-01,624835,219540,404736
2000-08-01,619370,236186,382536
2000-09-01,599226,235268,363311
2000-10-01,614492,244078,369776
2000-11-01,592401,239304,352660
2000-12-01,623059,244697,377984
2001-01-01,639603,240787,398416
2001-02-01,584385,221051,363021
2001-03-01,652556,246450,405723
2001-04-01,639621,228506,410715
2001-05-01,670631,239978,430135
2001-06-01,631033,224458,406016
2001-07-01,635280,224237,410485
2001-08-01,629684,240041,389161
2001-09-01,608464,226501,381519
2001-10-01,622854,247653,374710
2001-11-01,607744,240545,366812
2001-12-01,634543,242591,391560
2002-01-01,653393,236343,416708
2002-02-01,591857,218527,373025
2002-03-01,653353,240719,412299
2002-04-01,633641,231863,401409
2002-05-01,637730,239232,398078
2002-06-01,609016,217630,390937
2002-07-01,605734,223972,381301
2002-08-01,597771,234561,362793
2002-09-01,576692,229444,346880
2002-10-01,598193,246210,351579
2002-11-01,589200,239777,349114
2002-12-01,629169,241365,387465
2003-01-01,642069,239471,402303
2003-02-01,577959,219898,357789
2003-03-01,640124,237959,401888
2003-04-01,623175,233957,388878
2003-05-01,651433,237014,414042
2003-06-01,631602,221555,409607
2003-07-01,640220,224951,414812
2003-08-01,627412,229758,397243
2003-09-01,610139,235616,374110
2003-10-01,625060,248079,376593
2003-11-01,609843,230110,379435
2003-12-01,643640,249912,393574
2004-01-01,652657,241307,411297
2004-02-01,614986,223036,391893
2004-03-01,663216,244474,418671
2004-04-01,645780,235039,410679
2004-05-01,668403,232561,435759
2004-06-01,642103,227571,414451
2004-07-01,647341,229003,418248
2004-08-01,640425,228765,411562
2004-09-01,615030,235394,379565
2004-10-01,630577,240802,389710
2004-11-01,612387,243696,368625
2004-12-01,641808,250563,391197
2005-01-01,650630,239785,410784
2005-02-01,591871,220768,371056
2005-03-01,656254,243433,412774
2005-04-01,639020,232411,406559
2005-05-01,660203,238460,421683
2005-06-01,631997,229704,402230
2005-07-01,635309,225338,409921
2005-08-01,636459,247130,389265
2005-09-01,608725,251611,357071
2005-10-01,623734,250798,372886
2005-11-01,606366,248234,358101
2005-12-01,638560,259037,379499
2006-01-01,652032,249346,402666
2006-02-01,589938,229778,360158
2006-03-01,648832,257328,391500
2006-04-01,623768,237338,386427
2006-05-01,639954,252511,387440
2006-06-01,610668,242141,368523
2006-07-01,615138,231811,383326
2006-08-01,618529,251067,367460
2006-09-01,598000,245766,352234
2006-10-01,612929,257370,355559
2006-11-01,597868,253234,344634
2006-12-01,627493,258790,368703
2007-01-01,635204,255424,379780
2007-02-01,571520,232447,339073
2007-03-01,635338,255876,379462
2007-04-01,626525,241156,385370
2007-05-01,658945,251187,407758
2007-06-01,640858,240205,400653
2007-07-01,653504,237935,415569
2007-08-01,646987,256546,390441
2007-09-01,618472,236593,381879
2007-10-01,633545,267043,366502
2007-11-01,618673,258134,360540
2007-12-01,647391,257471,389920
2008-01-01,659566,254068,405499
2008-02-01,617224,245833,371390
2008-03-01,656048,251630,404418
2008-04-01,636256,249773,386483
2008-05-01,655982,255943,400039
2008-06-01,628102,238847,389256
2008-07-01,634820,242740,392080
2008-08-01,627469,248667,378802
2008-09-01,604720,249647,355073
2008-10-01,620364,264889,355475
2008-11-01,607060,250094,356967
2008-12-01,637351,265748,371603
2009-01-01,645482,256068,389414
2009-02-01,587891,233555,354336
2009-03-01,653421,253096,400325
2009-04-01,637310,250884,386427
2009-05-01,661109,252535,408575
2009-06-01,640120,245020,395100
2009-07-01,651895,247759,404135
2009-08-01,642956,243772,399184
2009-09-01,624689,249449,375240
2009-10-01,636799,259278,377520
2009-11-01,622529,250035,372494
2009-12-01,649021,266970,382051
2010-01-01,657474,250311,407162
2010-02-01,595253,234598,360655
2010-03-01,658897,263004,395893
2010-04-01,641358,250898,390460
2010-05-01,662492,249994,412498
2010-06-01,635898,242634,393264
2010-07-01,641278,242756,398522
2010-08-01,648002,246162,401840
2010-09-01,622732,255327,367405
2010-10-01,636315,259102,377213
2010-11-01,620455,256277,364178
2010-12-01,645864,266494,379370
2011-01-01,654562,247947,406615
2011-02-01,595777,232655,363122
2011-03-01,660707,255676,405030
2011-04-01,641074,246962,394112
2011-05-01,666633,247858,418775
2011-06-01,647145,241223,405922
2011-07-01,660564,234109,426455
2011-08-01,660022,249450,410572
2011-09-01,634338,248891,385448
2011-10-01,647277,253281,393996
2011-11-01,631184,257218,373965
2011-12-01,665048,258524,406524
2012-01-01,677867,248615,429252
2012-02-01,638411,234691,403721
2012-03-01,682368,253763,428605
2012-04-01,660423,239820,420603
2012-05-01,681284,250021,431263
2012-06-01,654897,237981,416916
2012-07-01,668852,231453,437400
2012-08-01,668395,245892,422503
2012-09-01,644880,241020,403861
2012-10-01,664413,254155,410257
2012-11-01,647910,249637,398273
2012-12-01,674730,252497,422232
2013-01-01,676733,246045,430688
2013-02-01,611131,226566,384565
2013-03-01,673937,243562,430375
2013-04-01,650343,241392,408951
2013-05-01,670772,245177,425595
2013-06-01,643151,231509,411642
2013-07-01,650508,230820,419689
2013-08-01,660770,242848,417922
2013-09-01,635911,233323,402588
2013-10-01,654027,253763,400264
2013-11-01,629894,247129,382766
2013-12-01,649594,252759,396835
2014-01-01,654797,246753,408044
2014-02-01,594501,224586,369915
2014-03-01,656299,240205,416094
2014-04-01,639068,239632,399436
2014-05-01,664041,242024,422016
2014-06-01,647366,227323,420043
2014-07-01,666035,228400,437634
2014-08-01,669194,234169,435025
2014-09-01,650558,237869,412689
2014-10-01,663106,251039,412067
2014-11-01,640706,235708,404998
2014-12-01,666669,247114,419556
2015-01-01,674114,235934,438181
2015-02-01,612398,220533,391866
2015-03-01,688090,243132,444957
2015-04-01,676218,234079,442139
2015-05-01,708672,234585,474087
2015-06-01,687793,233503,454290
2015-07-01,702025,230336,471689
2015-08-01,694270,229171,465099
2015-09-01,667289,234000,433288
2015-10-01,684176,249031,435145
2015-11-01,665876,239125,426752
2015-12-01,699147,253139,446009
2016-01-01,710978,233925,477053
2016-02-01,670355,229911,440444
2016-03-01,716555,242939,473616
2016-04-01,694262,233622,460640
2016-05-01,720165,235258,484907
2016-06-01,693913,230158,463755
2016-07-01,709891,225562,484329
2016-08-01,710262,232659,477603
2016-09-01,689893,235547,454346
2016-10-01,711751,242424,469327
2016-11-01,696300,236710,459590
2016-12-01,716538,253633,462905
2017-01-01,745469,230274,515195
2017-02-01,681675,216105,465569
2017-03-01,760846,242229,518617
2017-04-01,742062,229675,512387
2017-05-01,769255,235248,534007
2017-06-01,740095,234027,506068
2017-07-01,760624,220443,540181
2017-08-01,761382,234446,526935
2017-09-01,736276,230562,505713
2017-10-01,759760,239655,520105
2017-11-01,739596,240077,499519
2017-12-01,771574,247524,524050
2018-01-01,785660,229683,555976
2018-02-01,721539,212244,509295
2018-03-01,802381,237377,565004
2018-04-01,773719,223174,550545
2018-05-01,802170,231004,571166
2018-06-01,774659,222558,552101
2018-07-01,778090,218153,559936
2018-08-01,773622,235222,538400
2018-09-01,743579,225026,518553
2018-10-01,758775,240857,517919
2018-11-01,735546,240176,495370
2018-12-01,769014,237132,531882
2019-01-01,782361,234302,548059
2019-02-01,711084,214748,496337
2019-03-01,789767,227381,562386
2019-04-01,766512,230478,536035
2019-05-01,787102,234874,552229
2019-06-01,759191,211056,548136
2019-07-01,775664,221424,554239
2019-08-01,779355,225684,553672
2019-09-01,756083,223607,532476
2019-10-01,775748,242274,533474
2019-11-01,748373,231450,516923
2019-12-01,779213,236223,542989
2020-01-01,791677,235618,556059
2020-02-01,746028,211410,534618
2020-03-01,800901,248802,552099
2020-04-01,746271,232935,513336
2020-05-01,770407,225241,545166
2020-06-01,759657,220960,538696
2020-07-01,787978,226602,561376
2020-08-01,792532,216786,575745
2020-09-01,768803,226349,542454
2020-10-01,789639,236443,553197
2020-11-01,770726,232544,538182
2020-12-01,806498,247091,559406
2021-01-01,813631,224256,589375
2021-02-01,733243,212399,520845
2021-03-01,810282,238700,571582
2021-04-01,786181,220768,565413
2021-05-01,810347,221242,589105
2021-06-01,789832,213532,576299
2021-07-01,815331,208993,606338
2021-08-01,807644,216331,591312
2021-09-01,774264,221627,552637
2021-10-01,789249,221492,567756
2021-11-01,760978,229492,531486
2021-12-01,775290,235584,539707
2022-01-01,789246,221696,567550
2022-02-01,718551,205530,513021
2022-03-01,794679,229490,565189
2022-04-01,782117,215019,567098
2022-05-01,817892,215418,602474
2022-06-01,788008,212953,575054
2022-07-01,809262,205888,603374
2022-08-01,807005,217323,589682
2022-09-01,782309,220421,561888
2022-10-01,806528,220611,585917
2022-11-01,779985,225409,554576
2022-12-01,804030,228635,575394
2023-01-01,809797,222584,587213
2023-02-01,732993,202230,530764
2023-03-01,805134,230539,574596
2023-04-01,792917,204847,588070
2023-05-01,821111,226143,594969
2023-06-01,801332,213502,587830
2023-07-01,826517,210209,616308
2023-08-01,813780,225923,587856
2023-09-01,777980,217682,560297
2023-10-01,796500,228467,568033
2023-11-01,763330,228702,534628
2023-12-01,789750,229928,559822
2024-01-01,803098,229835,573263
2024-02-01,760581,212542,548039
2024-03-01,819861,221861,598001
2024-04-01,796959,224375,572584
