Date,Total index
1986-01-01,82.4
1986-02-01,81.4
1986-03-01,81.2
1986-04-01,79.2
1986-05-01,79.0
1986-06-01,79.1
1986-07-01,80.8
1986-08-01,76.6
1986-09-01,73.9
1986-10-01,77.0
1986-11-01,76.6
1986-12-01,74.6
1987-01-01,73.5
1987-02-01,72.6
1987-03-01,73.0
1987-04-01,74.3
1987-05-01,76.6
1987-06-01,77.4
1987-07-01,76.6
1987-08-01,79.2
1987-09-01,79.9
1987-10-01,79.2
1987-11-01,77.2
1987-12-01,77.0
1988-01-01,78.8
1988-02-01,78.3
1988-03-01,78.2
1988-04-01,80.0
1988-05-01,80.2
1988-06-01,82.0
1988-07-01,80.0
1988-08-01,90.1
1988-09-01,91.5
1988-10-01,90.7
1988-11-01,89.5
1988-12-01,89.5
1989-01-01,90.4
1989-02-01,91.4
1989-03-01,90.8
1989-04-01,91.0
1989-05-01,91.2
1989-06-01,89.7
1989-07-01,90.4
1989-08-01,87.9
1989-09-01,87.0
1989-10-01,86.9
1989-11-01,86.6
1989-12-01,87.7
1990-01-01,86.7
1990-02-01,87.9
1990-03-01,88.5
1990-04-01,88.6
1990-05-01,89.4
1990-06-01,89.1
1990-07-01,89.6
1990-08-01,79.5
1990-09-01,80.0
1990-10-01,80.2
1990-11-01,79.5
1990-12-01,80.0
1991-01-01,79.6
1991-02-01,80.0
1991-03-01,80.8
1991-04-01,81.1
1991-05-01,81.7
1991-06-01,80.3
1991-07-01,78.5
1991-08-01,78.7
1991-09-01,79.5
1991-10-01,78.5
1991-11-01,76.9
1991-12-01,74.6
1992-01-01,76.1
1992-02-01,77.3
1992-03-01,78.4
1992-04-01,79.8
1992-05-01,80.0
1992-06-01,79.4
1992-07-01,78.8
1992-08-01,83.1
1992-09-01,82.7
1992-10-01,80.1
1992-11-01,82.6
1992-12-01,83.4
1993-01-01,86.5
1993-02-01,87.4
1993-03-01,87.8
1993-04-01,88.2
1993-05-01,88.4
1993-06-01,87.3
1993-07-01,84.2
1993-08-01,89.4
1993-09-01,89.6
1993-10-01,86.9
1993-11-01,86.6
1993-12-01,87.4
1994-01-01,88.5
1994-02-01,89.5
1994-03-01,92.6
1994-04-01,91.8
1994-05-01,88.1
1994-06-01,85.2
1994-07-01,85.1
1994-08-01,86.4
1994-09-01,92.2
1994-10-01,90.0
1994-11-01,92.1
1994-12-01,94.4
1995-01-01,97.2
1995-02-01,97.9
1995-03-01,98.0
1995-04-01,94.5
