Date,Energy 
1986-12-01,58.3
1987-01-01,59.2
1987-02-01,60.7
1987-03-01,61.6
1987-04-01,62.1
1987-05-01,61.9
1987-06-01,62.7
1987-07-01,63.5
1987-08-01,63.8
1987-09-01,64.6
1987-10-01,64.1
1987-11-01,64.1
1987-12-01,64.1
1988-01-01,64.1
1988-02-01,64.3
1988-03-01,63.1
1988-04-01,63.5
1988-05-01,64.7
1988-06-01,64.9
1988-07-01,65.0
1988-08-01,63.6
1988-09-01,63.5
1988-10-01,62.8
1988-11-01,62.7
1988-12-01,62.5
1989-01-01,63.7
1989-02-01,63.8
1989-03-01,63.8
1989-04-01,63.8
1989-05-01,66.5
1989-06-01,66.9
1989-07-01,66.9
1989-08-01,66.6
1989-09-01,66.5
1989-10-01,66.0
1989-11-01,66.1
1989-12-01,65.2
1990-01-01,67.0
1990-02-01,67.9
1990-03-01,68.8
1990-04-01,69.0
1990-05-01,69.8
1990-06-01,70.1
1990-07-01,69.6
1990-08-01,69.7
1990-09-01,70.5
1990-10-01,73.6
1990-11-01,76.3
1990-12-01,75.5
1991-01-01,77.6
1991-02-01,74.2
1991-03-01,72.3
1991-04-01,71.6
1991-05-01,73.9
1991-06-01,75.2
1991-07-01,75.7
1991-08-01,74.7
1991-09-01,75.2
1991-10-01,72.7
1991-11-01,73.2
1991-12-01,72.6
1992-01-01,75.7
1992-02-01,74.2
1992-03-01,73.8
1992-04-01,73.5
1992-05-01,74.8
1992-06-01,76.3
1992-07-01,77.9
1992-08-01,77.0
1992-09-01,76.7
1992-10-01,76.7
1992-11-01,77.3
1992-12-01,76.7
1993-01-01,77.9
1993-02-01,77.9
1993-03-01,77.0
1993-04-01,76.7
1993-05-01,77.3
1993-06-01,77.9
1993-07-01,76.9
1993-08-01,76.7
1993-09-01,77.3
1993-10-01,76.7
1993-11-01,76.4
1993-12-01,75.1
1994-01-01,74.5
1994-02-01,76.2
1994-03-01,76.1
1994-04-01,76.0
1994-05-01,76.8
1994-06-01,77.7
1994-07-01,78.8
1994-08-01,79.0
1994-09-01,77.5
1994-10-01,76.0
1994-11-01,77.6
1994-12-01,76.7
1995-01-01,76.7
1995-02-01,77.6
1995-03-01,77.6
1995-04-01,78.0
1995-05-01,80.1
1995-06-01,80.4
1995-07-01,79.2
1995-08-01,77.9
1995-09-01,78.3
1995-10-01,76.9
1995-11-01,76.0
1995-12-01,77.6
1996-01-01,77.6
1996-02-01,77.6
1996-03-01,79.6
1996-04-01,80.4
1996-05-01,81.7
1996-06-01,80.5
1996-07-01,79.6
1996-08-01,79.4
1996-09-01,79.8
1996-10-01,82.5
1996-11-01,81.2
1996-12-01,82.1
1997-01-01,82.1
1997-02-01,82.2
1997-03-01,82.1
1997-04-01,80.6
1997-05-01,80.7
1997-06-01,81.0
1997-07-01,80.5
1997-08-01,82.5
1997-09-01,82.1
1997-10-01,81.5
1997-11-01,80.4
1997-12-01,80.4
1998-01-01,79.4
1998-02-01,78.8
1998-03-01,77.8
1998-04-01,76.8
1998-05-01,78.5
1998-06-01,78.7
1998-07-01,78.1
1998-08-01,78.0
1998-09-01,77.7
1998-10-01,79.0
1998-11-01,78.4
1998-12-01,77.2
1999-01-01,77.6
1999-02-01,76.8
1999-03-01,78.4
1999-04-01,80.8
1999-05-01,80.7
1999-06-01,79.7
1999-07-01,82.0
1999-08-01,85.4
1999-09-01,86.1
1999-10-01,87.2
1999-11-01,86.8
1999-12-01,90.1
2000-01-01,89.5
2000-02-01,93.0
2000-03-01,96.7
2000-04-01,91.5
2000-05-01,93.1
2000-06-01,97.8
2000-07-01,96.4
2000-08-01,93.9
2000-09-01,98.5
2000-10-01,100.4
2000-11-01,103.8
2000-12-01,101.0
2001-01-01,102.3
2001-02-01,101.9
2001-03-01,104.8
2001-04-01,108.4
2001-05-01,110.7
2001-06-01,107.9
2001-07-01,103.6
2001-08-01,104.0
2001-09-01,105.1
2001-10-01,101.0
2001-11-01,95.2
2001-12-01,94.4
2002-01-01,95.8
2002-02-01,95.8
2002-03-01,101.6
2002-04-01,99.6
2002-05-01,98.2
2002-06-01,96.1
2002-07-01,98.5
2002-08-01,106.5
2002-09-01,104.9
2002-10-01,107.6
2002-11-01,104.8
2002-12-01,90.6
2003-01-01,109.3
2003-02-01,113.5
2003-03-01,114.1
2003-04-01,99.3
2003-05-01,103.2
2003-06-01,106.3
2003-07-01,106.9
2003-08-01,113.8
2003-09-01,112.7
2003-10-01,107.5
2003-11-01,106.2
2003-12-01,107.8
2004-01-01,108.9
2004-02-01,110.5
2004-03-01,110.8
2004-04-01,113.2
2004-05-01,121.4
2004-06-01,117.8
2004-07-01,118.3
2004-08-01,118.0
2004-09-01,117.4
2004-10-01,119.4
2004-11-01,115.9
2004-12-01,112.6
2005-01-01,116.3
2005-02-01,119.2
2005-03-01,122.7
2005-04-01,125.2
2005-05-01,122.6
2005-06-01,124.9
2005-07-01,129.0
2005-08-01,133.8
2005-09-01,142.9
2005-10-01,136.0
2005-11-01,127.4
2005-12-01,126.9
2006-01-01,136.8
2006-02-01,131.1
2006-03-01,134.5
2006-04-01,141.0
2006-05-01,142.1
2006-06-01,143.4
2006-07-01,144.0
2006-08-01,142.9
2006-09-01,129.1
2006-10-01,125.9
2006-11-01,124.0
2006-12-01,127.3
2007-01-01,122.6
2007-02-01,128.6
2007-03-01,137.7
2007-04-01,139.6
2007-05-01,142.7
2007-06-01,140.7
2007-07-01,138.8
2007-08-01,135.2
2007-09-01,136.2
2007-10-01,135.8
2007-11-01,136.6
2007-12-01,137.7
2008-01-01,137.7
2008-02-01,137.8
2008-03-01,140.4
2008-04-01,147.4
2008-05-01,155.4
2008-06-01,160.3
2008-07-01,168.6
2008-08-01,162.9
2008-09-01,161.7
2008-10-01,147.7
2008-11-01,131.6
2008-12-01,125.0
2009-01-01,125.7
2009-02-01,127.6
2009-03-01,129.3
2009-04-01,121.9
2009-05-01,129.7
2009-06-01,133.5
2009-07-01,127.6
2009-08-01,130.3
2009-09-01,128.6
2009-10-01,127.4
2009-11-01,129.5
2009-12-01,127.4
2010-01-01,130.5
2010-02-01,129.2
2010-03-01,131.8
2010-04-01,135.3
2010-05-01,138.3
2010-06-01,136.0
2010-07-01,143.6
2010-08-01,142.6
2010-09-01,142.0
2010-10-01,144.7
2010-11-01,145.7
2010-12-01,147.3
2011-01-01,147.5
2011-02-01,145.0
2011-03-01,150.9
2011-04-01,158.2
2011-05-01,162.2
2011-06-01,159.0
2011-07-01,159.7
2011-08-01,158.5
2011-09-01,156.8
2011-10-01,155.7
2011-11-01,153.7
2011-12-01,151.4
2012-01-01,153.7
2012-02-01,156.6
2012-03-01,159.8
2012-04-01,160.9
2012-05-01,159.1
2012-06-01,154.7
2012-07-01,156.1
2012-08-01,158.6
2012-09-01,159.9
2012-10-01,157.8
2012-11-01,154.3
2012-12-01,152.8
2013-01-01,155.1
2013-02-01,161.3
2013-03-01,160.9
2013-04-01,157.3
2013-05-01,157.8
2013-06-01,160.0
2013-07-01,164.6
2013-08-01,164.1
2013-09-01,164.0
2013-10-01,158.7
2013-11-01,159.9
2013-12-01,162.4
2014-01-01,162.4
2014-02-01,165.1
2014-03-01,165.9
2014-04-01,176.4
2014-05-01,178.3
2014-06-01,181.0
2014-07-01,176.9
2014-08-01,173.2
2014-09-01,171.8
2014-10-01,166.8
2014-11-01,161.3
2014-12-01,153.3
2015-01-01,145.0
2015-02-01,151.6
2015-03-01,155.9
2015-04-01,152.5
2015-05-01,159.2
2015-06-01,163.9
2015-07-01,167.7
2015-08-01,161.8
2015-09-01,155.2
2015-10-01,149.4
2015-11-01,151.2
2015-12-01,149.6
2016-01-01,147.0
2016-02-01,143.0
2016-03-01,145.8
2016-04-01,153.5
2016-05-01,158.1
2016-06-01,159.1
2016-07-01,157.4
2016-08-01,155.8
2016-09-01,155.4
2016-10-01,157.8
2016-11-01,155.2
2016-12-01,158.1
2017-01-01,162.9
2017-02-01,159.2
2017-03-01,156.9
2017-04-01,165.3
2017-05-01,158.2
2017-06-01,154.7
2017-07-01,151.6
2017-08-01,152.9
2017-09-01,158.5
2017-10-01,154.7
2017-11-01,160.1
2017-12-01,159.3
2018-01-01,163.2
2018-02-01,162.3
2018-03-01,164.1
2018-04-01,168.2
2018-05-01,170.5
2018-06-01,168.0
2018-07-01,168.6
2018-08-01,167.1
2018-09-01,164.6
2018-10-01,160.7
2018-11-01,152.4
2018-12-01,147.4
2019-01-01,146.2
