index,PCU333132333132
1986-01-01,120.9
1986-02-01,119.9
1986-03-01,119.8
1986-04-01,119.9
1986-05-01,118.8
1986-06-01,118.2
1986-07-01,117.3
1986-08-01,117.2
1986-09-01,116.2
1986-10-01,117.8
1986-11-01,118.3
1986-12-01,118.7
1987-01-01,118.9
1987-02-01,119.4
1987-03-01,119.1
1987-04-01,117.9
1987-05-01,119.0
1987-06-01,118.4
1987-07-01,118.0
1987-08-01,119.3
1987-09-01,118.3
1987-10-01,120.6
1987-11-01,122.0
1987-12-01,123.8
1988-01-01,124.4
1988-02-01,124.7
1988-03-01,125.1
1988-04-01,124.7
1988-05-01,123.9
1988-06-01,123.9
1988-07-01,124.3
1988-08-01,124.4
1988-09-01,125.0
1988-10-01,125.7
1988-11-01,125.3
1988-12-01,124.6
1989-01-01,126.5
1989-02-01,126.5
1989-03-01,126.8
1989-04-01,125.0
1989-05-01,125.9
1989-06-01,126.6
1989-07-01,126.7
1989-08-01,127.1
1989-09-01,127.4
1989-10-01,127.9
1989-11-01,127.6
1989-12-01,127.6
1990-01-01,128.1
1990-02-01,127.9
1990-03-01,128.0
1990-04-01,128.1
1990-05-01,129.0
1990-06-01,129.3
1990-07-01,129.4
1990-08-01,130.5
1990-09-01,132.9
1990-10-01,132.8
1990-11-01,134.2
1990-12-01,130.7
1991-01-01,131.8
1991-02-01,132.5
1991-03-01,133.2
1991-04-01,136.4
1991-05-01,137.5
1991-06-01,137.6
1991-07-01,138.2
1991-08-01,138.1
1991-09-01,138.1
1991-10-01,138.1
1991-11-01,138.1
1991-12-01,137.8
1992-01-01,138.2
1992-02-01,136.8
1992-03-01,136.8
1992-04-01,137.0
1992-05-01,137.1
1992-06-01,137.1
1992-07-01,136.6
1992-08-01,136.3
1992-09-01,136.7
1992-10-01,136.7
1992-11-01,137.3
1992-12-01,137.5
1993-01-01,139.0
1993-02-01,139.0
1993-03-01,139.7
1993-04-01,137.7
1993-05-01,137.5
1993-06-01,137.4
1993-07-01,137.4
1993-08-01,137.5
1993-09-01,138.0
