index,PCU324191324191
1986-01-01,113.3
1986-02-01,113.3
1986-03-01,113.3
1986-04-01,112.9
1986-05-01,112.4
1986-06-01,112.3
1986-07-01,112.0
1986-08-01,111.9
1986-09-01,112.9
1986-10-01,112.8
1986-11-01,112.8
1986-12-01,112.7
1987-01-01,112.9
1987-02-01,112.5
1987-03-01,112.5
1987-04-01,112.3
1987-05-01,112.1
1987-06-01,111.3
1987-07-01,110.5
1987-08-01,110.5
1987-09-01,110.8
1987-10-01,112.0
1987-11-01,113.6
1987-12-01,113.5
1988-01-01,115.2
1988-02-01,115.3
1988-03-01,117.0
1988-04-01,118.5
1988-05-01,119.6
1988-06-01,122.7
1988-07-01,122.2
1988-08-01,123.5
1988-09-01,124.0
1988-10-01,123.8
1988-11-01,124.7
1988-12-01,124.0
1989-01-01,124.6
1989-02-01,124.4
1989-03-01,124.7
1989-04-01,125.4
1989-05-01,126.7
1989-06-01,127.5
1989-07-01,127.8
1989-08-01,127.6
1989-09-01,128.0
1989-10-01,128.1
1989-11-01,128.1
1989-12-01,128.2
1990-01-01,128.4
1990-02-01,128.3
1990-03-01,129.5
1990-04-01,130.0
1990-05-01,130.0
1990-06-01,130.7
1990-07-01,130.7
1990-08-01,132.9
1990-09-01,135.1
1990-10-01,142.7
1990-11-01,147.8
1990-12-01,148.7
1991-01-01,149.8
1991-02-01,149.8
1991-03-01,148.3
1991-04-01,147.3
1991-05-01,148.2
1991-06-01,147.8
1991-07-01,147.6
1991-08-01,147.3
1991-09-01,147.2
1991-10-01,146.6
1991-11-01,146.6
1991-12-01,146.6
1992-01-01,146.7
1992-02-01,146.9
1992-03-01,146.9
1992-04-01,146.9
1992-05-01,147.2
1992-06-01,147.0
1992-07-01,147.2
1992-08-01,148.5
1992-09-01,148.9
1992-10-01,149.5
1992-11-01,149.7
1992-12-01,149.9
1993-01-01,149.4
1993-02-01,149.4
1993-03-01,149.5
1993-04-01,149.3
1993-05-01,149.3
1993-06-01,148.9
1993-07-01,149.0
1993-08-01,149.4
1993-09-01,149.4
1993-10-01,149.4
1993-11-01,149.6
1993-12-01,149.6
1994-01-01,149.7
1994-02-01,149.8
1994-03-01,150.5
1994-04-01,150.5
1994-05-01,150.4
1994-06-01,150.5
1994-07-01,151.7
1994-08-01,152.6
1994-09-01,153.6
1994-10-01,153.6
1994-11-01,153.9
1994-12-01,153.9
1995-01-01,155.2
1995-02-01,156.3
1995-03-01,156.8
1995-04-01,156.9
1995-05-01,157.0
1995-06-01,158.3
1995-07-01,158.2
1995-08-01,158.5
1995-09-01,158.5
1995-10-01,158.6
1995-11-01,158.3
1995-12-01,157.4
1996-01-01,157.6
1996-02-01,157.8
1996-03-01,157.8
1996-04-01,157.9
1996-05-01,158.1
1996-06-01,158.3
1996-07-01,158.4
1996-08-01,158.9
1996-09-01,159.0
1996-10-01,159.0
1996-11-01,159.1
1996-12-01,159.3
1997-01-01,159.6
1997-02-01,159.5
1997-03-01,159.0
1997-04-01,158.9
1997-05-01,159.4
1997-06-01,158.9
1997-07-01,158.9
1997-08-01,158.9
1997-09-01,159.5
1997-10-01,159.4
1997-11-01,159.6
1997-12-01,159.7
1998-01-01,159.8
1998-02-01,159.7
1998-03-01,159.7
1998-04-01,159.7
1998-05-01,159.7
1998-06-01,159.9
1998-07-01,160.1
1998-08-01,160.1
1998-09-01,160.0
1998-10-01,159.8
1998-11-01,159.9
1998-12-01,160.0
1999-01-01,159.9
1999-02-01,159.9
1999-03-01,160.1
1999-04-01,159.9
1999-05-01,159.2
1999-06-01,160.5
1999-07-01,161.5
1999-08-01,161.5
1999-09-01,162.2
1999-10-01,163.1
1999-11-01,163.3
1999-12-01,163.1
2000-01-01,163.2
2000-02-01,164.6
2000-03-01,166.8
2000-04-01,169.6
2000-05-01,173.7
2000-06-01,173.8
2000-07-01,173.9
2000-08-01,174.4
2000-09-01,174.7
2000-10-01,175.5
2000-11-01,178.6
2000-12-01,179.1
2001-01-01,179.1
2001-02-01,180.3
2001-03-01,181.2
2001-04-01,182.3
2001-05-01,182.4
2001-06-01,182.5
2001-07-01,184.1
2001-08-01,185.1
2001-09-01,185.6
2001-10-01,185.6
2001-11-01,185.6
2001-12-01,185.6
2002-01-01,185.2
2002-02-01,185.4
2002-03-01,185.3
2002-04-01,185.2
2002-05-01,185.3
2002-06-01,185.4
2002-07-01,185.4
2002-08-01,185.4
2002-09-01,185.6
2002-10-01,185.6
2002-11-01,185.8
2002-12-01,186.4
2003-01-01,186.5
2003-02-01,187.9
2003-03-01,188.3
2003-04-01,189.8
2003-05-01,191.8
2003-06-01,192.3
2003-07-01,192.3
2003-08-01,192.9
2003-09-01,193.0
2003-10-01,194.3
2003-11-01,194.5
2003-12-01,194.5
2004-01-01,195.3
2004-02-01,196.5
2004-03-01,196.6
2004-04-01,196.4
2004-05-01,197.3
2004-06-01,198.0
2004-07-01,198.4
2004-08-01,199.0
2004-09-01,198.8
2004-10-01,202.7
2004-11-01,206.4
2004-12-01,207.7
2005-01-01,210.2
2005-02-01,211.5
2005-03-01,215.1
2005-04-01,218.1
2005-05-01,224.9
2005-06-01,224.8
2005-07-01,227.3
2005-08-01,235.5
2005-09-01,241.8
2005-10-01,245.7
2005-11-01,256.5
2005-12-01,262.7
2006-01-01,265.5
2006-02-01,263.1
2006-03-01,268.5
2006-04-01,275.8
2006-05-01,278.3
2006-06-01,285.1
2006-07-01,290.1
2006-08-01,295.5
2006-09-01,296.9
2006-10-01,297.1
2006-11-01,298.8
2006-12-01,299.0
2007-01-01,304.5
2007-02-01,305.3
2007-03-01,304.5
2007-04-01,303.9
2007-05-01,306.4
2007-06-01,305.3
2007-07-01,302.1
2007-08-01,304.2
2007-09-01,302.7
2007-10-01,303.2
2007-11-01,306.7
2007-12-01,308.6
2008-01-01,314.9
2008-02-01,317.2
2008-03-01,320.4
2008-04-01,330.2
2008-05-01,332.4
2008-06-01,338.2
2008-07-01,354.2
2008-08-01,377.2
2008-09-01,395.1
2008-10-01,401.2
2008-11-01,400.8
2008-12-01,397.4
2009-01-01,385.2
2009-02-01,379.8
