index,IMPMX
1986-01-01,1501.1
1986-02-01,1474.4
1986-03-01,1487.7
1986-04-01,1376.9
1986-05-01,1707.2
1986-06-01,1237.9
1986-07-01,1667.0
1986-08-01,1249.7
1986-09-01,1381.3
1986-10-01,1311.3
1986-11-01,1525.1
1986-12-01,1382.1
1987-01-01,1155.9
1987-02-01,1827.3
1987-03-01,1712.9
1987-04-01,1601.6
1987-05-01,1764.1
1987-06-01,1838.3
1987-07-01,1653.3
1987-08-01,1630.9
1987-09-01,1724.4
1987-10-01,1871.4
1987-11-01,1783.3
1987-12-01,1707.4
1988-01-01,1742.3
1988-02-01,1961.4
1988-03-01,2021.2
1988-04-01,1795.9
1988-05-01,1953.3
1988-06-01,2117.5
1988-07-01,1688.5
1988-08-01,2013.8
1988-09-01,1943.8
1988-10-01,1998.3
1988-11-01,2056.7
1988-12-01,1967.1
1989-01-01,2017.1
1989-02-01,2094.3
1989-03-01,2289.6
1989-04-01,2361.3
1989-05-01,2529.9
1989-06-01,2244.2
1989-07-01,2173.1
1989-08-01,2360.6
1989-09-01,2210.8
1989-10-01,2463.6
1989-11-01,2359.4
1989-12-01,2058.2
1990-01-01,2380.3
1990-02-01,2373.2
1990-03-01,2636.4
1990-04-01,2180.3
1990-05-01,2497.4
1990-06-01,2488.6
1990-07-01,2309.9
1990-08-01,2570.7
1990-09-01,2625.3
1990-10-01,3067.7
1990-11-01,2789.0
1990-12-01,2238.0
1991-01-01,2476.2
1991-02-01,2194.2
1991-03-01,2409.2
1991-04-01,2678.9
1991-05-01,2642.0
1991-06-01,2573.2
1991-07-01,2479.8
1991-08-01,2642.5
1991-09-01,2695.5
1991-10-01,3150.9
1991-11-01,2778.0
1991-12-01,2409.2
1992-01-01,2493.6
1992-02-01,2612.4
1992-03-01,2944.4
1992-04-01,2940.8
1992-05-01,2962.6
1992-06-01,3147.4
1992-07-01,2860.8
1992-08-01,2996.0
1992-09-01,3007.7
1992-10-01,3398.4
1992-11-01,3014.9
1992-12-01,2832.1
1993-01-01,2796.1
1993-02-01,2991.5
1993-03-01,3455.0
1993-04-01,3354.9
1993-05-01,3263.6
1993-06-01,3527.2
1993-07-01,3083.8
1993-08-01,3157.6
1993-09-01,3472.7
1993-10-01,3748.2
1993-11-01,3774.8
1993-12-01,3292.1
1994-01-01,3496.2
1994-02-01,3613.5
1994-03-01,4207.0
1994-04-01,3828.0
1994-05-01,4032.7
1994-06-01,4193.6
1994-07-01,3614.3
1994-08-01,4355.4
1994-09-01,4376.5
1994-10-01,4581.3
1994-11-01,4929.9
1994-12-01,4265.3
1995-01-01,4722.1
1995-02-01,4787.1
1995-03-01,5480.8
1995-04-01,4727.8
1995-05-01,5305.0
1995-06-01,5262.9
1995-07-01,4773.4
1995-08-01,5353.2
1995-09-01,5388.6
1995-10-01,5717.1
1995-11-01,5677.6
1995-12-01,4904.8
1996-01-01,5607.1
1996-02-01,5582.3
1996-03-01,5700.9
1996-04-01,5993.6
1996-05-01,6419.5
1996-06-01,6166.1
1996-07-01,6040.5
1996-08-01,6471.8
1996-09-01,6497.2
1996-10-01,7116.0
1996-11-01,6603.2
1996-12-01,6099.0
1997-01-01,6187.2
1997-02-01,6533.6
1997-03-01,6957.5
1997-04-01,7096.9
1997-05-01,7111.9
1997-06-01,7108.3
1997-07-01,7022.9
1997-08-01,7279.3
1997-09-01,7706.7
1997-10-01,8458.4
1997-11-01,7518.4
1997-12-01,6956.5
1998-01-01,7005.6
1998-02-01,6959.7
1998-03-01,8325.6
1998-04-01,7812.7
1998-05-01,7942.6
1998-06-01,7982.8
1998-07-01,7345.8
1998-08-01,7960.9
1998-09-01,8335.1
1998-10-01,8979.5
1998-11-01,8200.2
1998-12-01,7778.5
1999-01-01,7442.8
1999-02-01,7930.2
1999-03-01,9304.2
1999-04-01,8430.8
1999-05-01,8940.1
1999-06-01,9550.0
1999-07-01,9161.1
1999-08-01,9671.9
1999-09-01,9843.5
1999-10-01,10018.8
1999-11-01,10001.4
1999-12-01,9425.7
2000-01-01,9583.1
2000-02-01,10365.4
2000-03-01,11652.5
2000-04-01,10554.9
2000-05-01,11366.7
2000-06-01,11944.2
2000-07-01,10946.5
2000-08-01,12305.9
2000-09-01,12344.0
2000-10-01,12814.0
2000-11-01,11939.7
2000-12-01,10109.4
2001-01-01,10706.0
2001-02-01,10297.0
2001-03-01,12045.2
2001-04-01,10480.8
2001-05-01,11430.8
2001-06-01,11437.5
2001-07-01,10578.2
2001-08-01,11564.7
2001-09-01,10687.4
2001-10-01,11908.5
2001-11-01,10873.1
2001-12-01,9328.7
2002-01-01,9981.9
2002-02-01,10022.5
2002-03-01,11054.8
