index,1
1954,66.95901839
1955,75.05767173
1956,75.4879216
1957,72.96358538
1958,72.28266632
1959,79.0816617
1960,77.85413916
1961,78.57773353
1962,79.60086035
1963,77.87993604
1964,79.61280249
1965,85.57838504
1966,80.97587441
1967,85.87386757
1968,89.84961248
1969,86.62065536
1970,86.58731064
1971,90.27844119
1972,93.63945295
1973,95.67161654
1974,96.61879839
1975,99.31098121
1976,100.7819959
1977,106.290784
1978,110.5210779
1979,114.6800506
1980,117.4133006
1981,119.9930502
1982,116.6793326
1983,109.2343989
1984,106.0705303
1985,107.8263774
1986,111.7630974
1987,115.306023
1988,121.3203508
1989,128.7239476
1990,134.8147594
1991,141.1409387
1992,142.6767311
1993,144.7556145
1994,142.3360927
1995,141.8826605
1996,142.044162
1997,145.1164704
1998,151.2994552
1999,144.6021388
2000,143.9413021
2001,150.6015938
2002,154.7564116
2003,151.4226374
2004,153.7434558
2005,149.6814131
2006,154.1554078
2007,161.8499792
2008,167.4368347
2009,183.2309363
2010,179.9742264
2011,179.3959403
2012,184.7896865
2013,190.3160315
2014,194.1399009
2015,209.2911571
2016,213.7630799
2017,213.6084005
2018,216.2009237
2019,220.0965783
2020,245.7114851
2021,230.1576176
2022,215.8891954
