Date,"Food, beverage and tobacco wholesaler-distributors  "
2007-01-01,13209.0
2007-02-01,13656.0
2007-03-01,13725.0
2007-04-01,13654.0
2007-05-01,13856.0
2007-06-01,13846.0
2007-07-01,14163.0
2007-08-01,14189.0
2007-09-01,14123.0
2007-10-01,14046.0
2007-11-01,13924.0
2007-12-01,13749.0
2008-01-01,13743.0
2008-02-01,14004.0
2008-03-01,13872.0
2008-04-01,13983.0
2008-05-01,14021.0
2008-06-01,14132.0
2008-07-01,13779.0
2008-08-01,14000.0
2008-09-01,13916.0
2008-10-01,14089.0
2008-11-01,13708.0
2008-12-01,13756.0
2009-01-01,13932.0
2009-02-01,13430.0
2009-03-01,13322.0
2009-04-01,13169.0
2009-05-01,13044.0
2009-06-01,12965.0
2009-07-01,12799.0
2009-08-01,12893.0
2009-09-01,13026.0
2009-10-01,12544.0
2009-11-01,12991.0
2009-12-01,13204.0
2010-01-01,13047.0
2010-02-01,13624.0
2010-03-01,13510.0
2010-04-01,13555.0
2010-05-01,13529.0
2010-06-01,13619.0
2010-07-01,13925.0
2010-08-01,13636.0
2010-09-01,13830.0
2010-10-01,13836.0
2010-11-01,14060.0
2010-12-01,13929.0
2011-01-01,14024.0
2011-02-01,13699.0
2011-03-01,13762.0
2011-04-01,13954.0
2011-05-01,13788.0
2011-06-01,13904.0
2011-07-01,13956.0
2011-08-01,13856.0
2011-09-01,13753.0
2011-10-01,13853.0
2011-11-01,13908.0
2011-12-01,13887.0
2012-01-01,13803.0
2012-02-01,13664.0
2012-03-01,13744.0
2012-04-01,13803.0
2012-05-01,13670.0
2012-06-01,13650.0
2012-07-01,13645.0
2012-08-01,13736.0
2012-09-01,13741.0
2012-10-01,13677.0
2012-11-01,13502.0
2012-12-01,13477.0
2013-01-01,13797.0
2013-02-01,13708.0
2013-03-01,13568.0
2013-04-01,13527.0
2013-05-01,13856.0
2013-06-01,13533.0
2013-07-01,13827.0
2013-08-01,13915.0
2013-09-01,13695.0
2013-10-01,14172.0
2013-11-01,14097.0
2013-12-01,14278.0
2014-01-01,13823.0
2014-02-01,13790.0
2014-03-01,13991.0
2014-04-01,13755.0
2014-05-01,13784.0
2014-06-01,14110.0
2014-07-01,13783.0
2014-08-01,13960.0
2014-09-01,13944.0
2014-10-01,13598.0
2014-11-01,13819.0
2014-12-01,13603.0
2015-01-01,13913.0
2015-02-01,13901.0
2015-03-01,13845.0
2015-04-01,13576.0
2015-05-01,13814.0
2015-06-01,13727.0
2015-07-01,13741.0
2015-08-01,13516.0
2015-09-01,13648.0
2015-10-01,13395.0
2015-11-01,13567.0
2015-12-01,13589.0
2016-01-01,13357.0
2016-02-01,12976.0
2016-03-01,12687.0
2016-04-01,13001.0
2016-05-01,13226.0
2016-06-01,13214.0
2016-07-01,13254.0
2016-08-01,13142.0
2016-09-01,13239.0
2016-10-01,13395.0
2016-11-01,13161.0
2016-12-01,13351.0
2017-01-01,12871.0
2017-02-01,13366.0
2017-03-01,13605.0
2017-04-01,13457.0
2017-05-01,13428.0
2017-06-01,13022.0
2017-07-01,13055.0
2017-08-01,13268.0
2017-09-01,13038.0
2017-10-01,13197.0
2017-11-01,13558.0
2017-12-01,13423.0
2018-01-01,13385.0
2018-02-01,13662.0
2018-03-01,13422.0
2018-04-01,13674.0
2018-05-01,13683.0
2018-06-01,13412.0
2018-07-01,13682.0
2018-08-01,13942.0
2018-09-01,13872.0
2018-10-01,14469.0
2018-11-01,14047.0
2018-12-01,14218.0
2019-01-01,14115.0
2019-02-01,14278.0
2019-03-01,14435.0
2019-04-01,14578.0
2019-05-01,14570.0
2019-06-01,14808.0
2019-07-01,15164.0
2019-08-01,14785.0
2019-09-01,14714.0
2019-10-01,14988.0
2019-11-01,15093.0
2019-12-01,15364.0
2020-01-01,15180.0
2020-02-01,15077.0
2020-03-01,15388.0
2020-04-01,14428.0
2020-05-01,14544.0
2020-06-01,15325.0
2020-07-01,15271.0
2020-08-01,14373.0
2020-09-01,15013.0
2020-10-01,14902.0
2020-11-01,14977.0
2020-12-01,14958.0
2021-01-01,15270.0
2021-02-01,14854.0
2021-03-01,15208.0
2021-04-01,15364.0
2021-05-01,15566.0
2021-06-01,15213.0
2021-07-01,15216.0
2021-08-01,15447.0
2021-09-01,15562.0
2021-10-01,15645.0
2021-11-01,15599.0
2021-12-01,15256.0
2022-01-01,15304.0
2022-02-01,15414.0
2022-03-01,15621.0
2022-04-01,14859.0
2022-05-01,15341.0
2022-06-01,15133.0
2022-07-01,15333.0
2022-08-01,15682.0
2022-09-01,15835.0
2022-10-01,15829.0
2022-11-01,14935.0
2022-12-01,15454.0
2023-01-01,15690.0
2023-02-01,15142.0
2023-03-01,15118.0
2023-04-01,14766.0
2023-05-01,14949.0
2023-06-01,15063.0
2023-07-01,15140.0
2023-08-01,14918.0
2023-09-01,15062.0
2023-10-01,14773.0
2023-11-01,14759.0
