Date,Food and beverage stores  
2007-01-01,18024.0
2007-02-01,18058.0
2007-03-01,18079.0
2007-04-01,18456.0
2007-05-01,18523.0
2007-06-01,18657.0
2007-07-01,18609.0
2007-08-01,18803.0
2007-09-01,18820.0
2007-10-01,18935.0
2007-11-01,19172.0
2007-12-01,19363.0
2008-01-01,19191.0
2008-02-01,19156.0
2008-03-01,19041.0
2008-04-01,19260.0
2008-05-01,19046.0
2008-06-01,19210.0
2008-07-01,19114.0
2008-08-01,19293.0
2008-09-01,19149.0
2008-10-01,19533.0
2008-11-01,19161.0
2008-12-01,19101.0
2009-01-01,19343.0
2009-02-01,19268.0
2009-03-01,19281.0
2009-04-01,19156.0
2009-05-01,19101.0
2009-06-01,19170.0
2009-07-01,18978.0
2009-08-01,18831.0
2009-09-01,19061.0
2009-10-01,18786.0
2009-11-01,18722.0
2009-12-01,18592.0
2010-01-01,18944.0
2010-02-01,19161.0
2010-03-01,19119.0
2010-04-01,18911.0
2010-05-01,18920.0
2010-06-01,18886.0
2010-07-01,19081.0
2010-08-01,19004.0
2010-09-01,19034.0
2010-10-01,18936.0
2010-11-01,19284.0
2010-12-01,18732.0
2011-01-01,18896.0
2011-02-01,18934.0
2011-03-01,18697.0
2011-04-01,18820.0
2011-05-01,18609.0
2011-06-01,18700.0
2011-07-01,18763.0
2011-08-01,18695.0
2011-09-01,18786.0
2011-10-01,18838.0
2011-11-01,18777.0
2011-12-01,19000.0
2012-01-01,18632.0
2012-02-01,18718.0
2012-03-01,18883.0
2012-04-01,18637.0
2012-05-01,18901.0
2012-06-01,19037.0
2012-07-01,19035.0
2012-08-01,18929.0
2012-09-01,19071.0
2012-10-01,18969.0
2012-11-01,19153.0
2012-12-01,19206.0
2013-01-01,19199.0
2013-02-01,19240.0
2013-03-01,19189.0
2013-04-01,19243.0
2013-05-01,19567.0
2013-06-01,18976.0
2013-07-01,19204.0
2013-08-01,19676.0
2013-09-01,19301.0
2013-10-01,19633.0
2013-11-01,19329.0
2013-12-01,19294.0
2014-01-01,19390.0
2014-02-01,19156.0
2014-03-01,19047.0
2014-04-01,19240.0
2014-05-01,18419.0
2014-06-01,18999.0
2014-07-01,18819.0
2014-08-01,18431.0
2014-09-01,18609.0
2014-10-01,18413.0
2014-11-01,18396.0
2014-12-01,18610.0
2015-01-01,17880.0
2015-02-01,17830.0
2015-03-01,18319.0
2015-04-01,17858.0
2015-05-01,17654.0
2015-06-01,17774.0
2015-07-01,17857.0
2015-08-01,18066.0
2015-09-01,18277.0
2015-10-01,17609.0
2015-11-01,18195.0
2015-12-01,18250.0
2016-01-01,18239.0
2016-02-01,18519.0
2016-03-01,18639.0
2016-04-01,18742.0
2016-05-01,19212.0
2016-06-01,19142.0
2016-07-01,19097.0
2016-08-01,19270.0
2016-09-01,19366.0
2016-10-01,19529.0
2016-11-01,19538.0
2016-12-01,19366.0
2017-01-01,19669.0
2017-02-01,19852.0
2017-03-01,19472.0
2017-04-01,19540.0
2017-05-01,19696.0
2017-06-01,19724.0
2017-07-01,19650.0
2017-08-01,19442.0
2017-09-01,19338.0
2017-10-01,19406.0
2017-11-01,19245.0
2017-12-01,19518.0
2018-01-01,19462.0
2018-02-01,19431.0
2018-03-01,19595.0
2018-04-01,19341.0
2018-05-01,19895.0
2018-06-01,19792.0
2018-07-01,19865.0
2018-08-01,20409.0
2018-09-01,20218.0
2018-10-01,20159.0
2018-11-01,20074.0
2018-12-01,20175.0
2019-01-01,20476.0
2019-02-01,20446.0
2019-03-01,20272.0
2019-04-01,20423.0
2019-05-01,20027.0
2019-06-01,19975.0
2019-07-01,20425.0
2019-08-01,20396.0
2019-09-01,20367.0
2019-10-01,20312.0
2019-11-01,20201.0
2019-12-01,20712.0
2020-01-01,20863.0
2020-02-01,20222.0
2020-03-01,22637.0
2020-04-01,20644.0
2020-05-01,20548.0
2020-06-01,21137.0
2020-07-01,20757.0
2020-08-01,20678.0
2020-09-01,20675.0
2020-10-01,20455.0
2020-11-01,21198.0
2020-12-01,21070.0
2021-01-01,21749.0
2021-02-01,21512.0
2021-03-01,21168.0
2021-04-01,20981.0
2021-05-01,20766.0
2021-06-01,20540.0
2021-07-01,20024.0
2021-08-01,20417.0
2021-09-01,20663.0
2021-10-01,20467.0
2021-11-01,20515.0
2021-12-01,20366.0
2022-01-01,20613.0
2022-02-01,20283.0
2022-03-01,20561.0
2022-04-01,19626.0
2022-05-01,19796.0
2022-06-01,19559.0
2022-07-01,19486.0
2022-08-01,19537.0
2022-09-01,19066.0
2022-10-01,19297.0
2022-11-01,18933.0
2022-12-01,18815.0
2023-01-01,18999.0
2023-02-01,19170.0
2023-03-01,19264.0
2023-04-01,19451.0
2023-05-01,19679.0
2023-06-01,19467.0
2023-07-01,19662.0
2023-08-01,19440.0
2023-09-01,19392.0
2023-10-01,19384.0
2023-11-01,19021.0
