Date,"Milk sold off farms, total",Fluid purposes,Industrial purposes
1986-01-01,576001,233273.0,330582.0
1986-02-01,527618,209732.0,306502.0
1986-03-01,606383,226011.0,367014.0
1986-04-01,634262,223070.0,394943.0
1986-05-01,682766,228308.0,435959.0
1986-06-01,679855,210698.0,448787.0
1986-07-01,666721,216161.0,431801.0
1986-08-01,648481,220203.0,409720.0
1986-09-01,599453,222816.0,359171.0
1986-10-01,575174,240308.0,320436.0
1986-11-01,535884,222070.0,302792.0
1986-12-01,572576,227660.0,332897.0
1987-01-01,584348,235632.0,337857.0
1987-02-01,534680,211598.0,312533.0
1987-03-01,616898,231350.0,372369.0
1987-04-01,641950,222894.0,403983.0
1987-05-01,686639,227393.0,442423.0
1987-06-01,678881,221423.0,437341.0
1987-07-01,656506,223724.0,414042.0
1987-08-01,648012,219099.0,411397.0
1987-09-01,597695,227004.0,354735.0
1987-10-01,588717,243461.0,331072.0
1987-11-01,553534,229160.0,312451.0
1987-12-01,590005,233349.0,344330.0
1988-01-01,600578,230272.0,359253.0
1988-02-01,576423,224298.0,340378.0
1988-03-01,638770,245406.0,379052.0
1988-04-01,652655,222985.0,415102.0
1988-05-01,695221,226365.0,451215.0
1988-06-01,695182,219990.0,456539.0
1988-07-01,683011,215639.0,451123.0
1988-08-01,661159,224457.0,419058.0
1988-09-01,621923,233464.0,372873.0
1988-10-01,602706,237332.0,352370.0
1988-11-01,572231,230073.0,330455.0
1988-12-01,607941,235104.0,361938.0
1989-01-01,615969,232062.0,372555.0
1989-02-01,563585,213643.0,339284.0
1989-03-01,641831,242451.0,386367.0
1989-04-01,644553,220203.0,411424.0
1989-05-01,681440,231833.0,433287.0
1989-06-01,655779,222004.0,416771.0
1989-07-01,637173,209775.0,413030.0
1989-08-01,625599,226671.0,384137.0
1989-09-01,587622,232432.0,342902.0
1989-10-01,579238,237189.0,330661.0
1989-11-01,551577,230271.0,311621.0
1989-12-01,582554,226818.0,347036.0
1990-01-01,600012,235884.0,354317.0
1990-02-01,553549,212059.0,332707.0
