Date,Canada News-Based Policy Uncertainty Index
1986-04-01,0.06153846153846154
1986-05-01,0.09846153846153846
1986-06-01,0.04461538461538461
1986-07-01,0.08769230769230771
1986-08-01,0.09692307692307692
1986-09-01,0.14
1986-10-01,0.07384615384615385
1986-11-01,0.05384615384615385
1986-12-01,0.07692307692307693
1987-01-01,0.07076923076923078
1987-02-01,0.06
1987-03-01,0.010769230769230774
1987-04-01,0.06307692307692309
1987-05-01,0.08
1987-06-01,0.06769230769230769
1987-07-01,0.050769230769230775
1987-08-01,0.0
1987-09-01,0.0476923076923077
1987-10-01,0.1476923076923077
1987-11-01,0.1676923076923077
1987-12-01,0.13538461538461538
1988-01-01,0.09076923076923077
1988-02-01,0.06923076923076923
1988-03-01,0.04307692307692308
1988-04-01,0.04923076923076923
1988-05-01,0.029230769230769227
1988-06-01,0.021538461538461548
1988-07-01,0.04307692307692308
1988-08-01,0.08307692307692308
1988-09-01,0.050769230769230775
1988-10-01,0.04923076923076923
1988-11-01,0.14615384615384616
1988-12-01,0.04461538461538461
1989-01-01,0.027692307692307697
1989-02-01,0.01846153846153846
1989-03-01,0.06307692307692309
1989-04-01,0.0476923076923077
1989-05-01,0.09230769230769231
1989-06-01,0.05538461538461539
1989-07-01,0.06307692307692309
1989-08-01,0.04923076923076923
1989-09-01,0.046153846153846156
1989-10-01,0.07384615384615385
1989-11-01,0.07076923076923078
1989-12-01,0.04461538461538461
1990-01-01,0.09384615384615386
1990-02-01,0.07384615384615385
1990-03-01,0.09846153846153846
1990-04-01,0.12307692307692308
1990-05-01,0.15692307692307692
1990-06-01,0.20769230769230768
1990-07-01,0.09076923076923077
1990-08-01,0.13538461538461538
1990-09-01,0.13692307692307693
1990-10-01,0.21076923076923076
1990-11-01,0.18307692307692308
1990-12-01,0.14461538461538462
1991-01-01,0.23538461538461541
1991-02-01,0.1553846153846154
1991-03-01,0.17846153846153848
1991-04-01,0.1523076923076923
1991-05-01,0.09846153846153846
1991-06-01,0.09846153846153846
1991-07-01,0.09384615384615386
