Date,Seed crushed,Oil  produced,Meal produced
1986-01-01,101649,41775,58197
1986-02-01,100538,42026,56395
1986-03-01,124829,51905,71101
1986-04-01,86491,36129,49256
1986-05-01,83939,33969,48452
1986-06-01,90503,37553,50367
1986-07-01,102038,42512,55778
1986-08-01,76299,31164,42952
1986-09-01,120529,49102,72424
1986-10-01,137917,56215,80529
1986-11-01,131872,53802,77576
1986-12-01,147983,60197,87011
1987-01-01,140929,57699,83281
1987-02-01,128008,51907,74643
1987-03-01,144939,59122,85577
1987-04-01,129484,52915,76811
1987-05-01,140238,57228,81511
1987-06-01,140093,57655,81318
1987-07-01,113290,46147,65806
1987-08-01,74383,30153,43583
1987-09-01,129074,52004,77040
1987-10-01,147143,59641,87045
1987-11-01,158728,64219,94289
1987-12-01,153979,61550,92428
1988-01-01,151217,60888,90738
1988-02-01,153421,62191,91903
1988-03-01,147768,59798,89421
1988-04-01,135437,55150,81485
1988-05-01,107210,44382,64290
1988-06-01,137373,57650,81075
1988-07-01,111792,46099,65734
1988-08-01,72721,29618,43427
1988-09-01,130579,51671,77925
1988-10-01,135058,53380,81724
1988-11-01,128254,50950,76984
1988-12-01,112617,44193,69013
1989-01-01,98812,39339,60558
1989-02-01,95011,37859,57922
1989-03-01,104904,41825,63565
1989-04-01,98246,39164,60208
1989-05-01,143282,57546,86558
1989-06-01,126212,50766,75843
1989-07-01,115955,47124,68749
1989-08-01,101871,41319,61394
1989-09-01,105207,41515,64811
1989-10-01,118801,46756,74022
1989-11-01,123223,48214,77082
1989-12-01,120587,46857,75652
1990-01-01,108563,42589,67064
1990-02-01,101351,39819,62845
1990-03-01,110843,43553,68946
1990-04-01,89087,34985,55063
1990-05-01,82759,32578,51112
1990-06-01,85968,33061,53314
1990-07-01,80256,31666,49327
1990-08-01,95534,37622,57979
1990-09-01,127628,49996,78915
1990-10-01,134663,53979,82146
1990-11-01,130916,52036,80614
1990-12-01,115655,48275,67690
1991-01-01,113764,45585,68677
1991-02-01,119227,47283,72183
1991-03-01,123823,49517,75691
1991-04-01,119960,47708,72816
1991-05-01,125317,50139,75853
1991-06-01,125624,50521,76546
1991-07-01,109052,43820,65878
1991-08-01,93524,37589,56613
1991-09-01,141467,53985,80212
1991-10-01,140011,56961,83909
1991-11-01,139026,56805,83528
1991-12-01,146052,59264,87305
1992-01-01,142451,57962,84789
1992-02-01,153998,62775,93177
1992-03-01,144580,60067,86876
1992-04-01,158115,64302,96343
1992-05-01,141449,57522,85680
1992-06-01,152748,62118,92839
1992-07-01,172613,71006,104421
1992-08-01,137162,56868,83370
1992-09-01,148852,61025,90751
1992-10-01,164501,67774,99318
1992-11-01,155399,64289,93199
1992-12-01,178135,74185,107455
1993-01-01,158742,65629,97005
1993-02-01,159795,65786,98662
1993-03-01,175982,72418,107688
1993-04-01,159194,65646,97283
1993-05-01,164666,68477,100767
1993-06-01,148034,62562,91206
1993-07-01,161617,68116,98614
1993-08-01,165176,69186,100319
1993-09-01,175264,72283,107093
1993-10-01,187543,77511,115732
1993-11-01,185802,77634,113243
1993-12-01,197632,81338,121656
1994-01-01,193140,80485,118667
