Month,loan ,cost ,exchange rate ,credit ,jobs ,inflation ,bills ,gdp 
2004-01-01,51,28,72,48,49,18,7,59
2004-02-01,50,29,60,48,49,20,6,50
2004-03-01,53,32,62,46,47,22,7,47
2004-04-01,49,33,63,47,50,20,7,51
2004-05-01,52,32,59,43,51,22,8,40
2004-06-01,63,30,60,54,51,15,7,32
2004-07-01,75,28,63,50,48,14,7,30
2004-08-01,78,27,61,54,50,13,10,22
2004-09-01,65,29,66,51,46,14,11,42
2004-10-01,52,31,72,46,44,19,11,53
2004-11-01,49,34,75,49,39,24,10,51
2004-12-01,44,26,71,43,33,21,10,42
2005-01-01,51,31,60,44,47,19,7,47
2005-02-01,53,31,61,43,47,19,9,52
2005-03-01,52,33,65,47,48,22,7,50
2005-04-01,53,33,63,44,48,23,7,45
2005-05-01,52,30,56,46,48,20,6,47
2005-06-01,63,30,58,46,47,18,7,36
2005-07-01,67,28,62,49,46,13,8,33
2005-08-01,77,26,60,49,47,15,11,21
2005-09-01,55,28,62,48,43,19,11,36
2005-10-01,46,30,52,45,40,20,11,45
2005-11-01,44,31,50,46,38,22,10,52
2005-12-01,42,26,54,45,32,18,9,44
2006-01-01,54,28,53,55,44,20,8,45
2006-02-01,52,29,51,46,44,18,7,44
2006-03-01,50,30,57,52,48,21,7,50
2006-04-01,54,30,53,51,45,21,7,38
2006-05-01,54,29,59,51,48,20,7,41
2006-06-01,61,28,49,49,43,15,7,33
2006-07-01,68,24,51,58,45,12,7,25
2006-08-01,72,26,48,55,44,12,8,22
2006-09-01,58,25,41,52,45,15,10,29
2006-10-01,50,26,40,49,42,18,9,41
2006-11-01,47,27,42,48,38,18,10,41
2006-12-01,44,23,42,49,31,18,10,31
2007-01-01,55,27,49,53,48,17,7,37
2007-02-01,55,27,42,53,43,17,6,43
2007-03-01,52,30,45,55,46,18,7,38
2007-04-01,52,29,51,55,45,18,8,38
2007-05-01,54,30,51,55,47,17,6,37
2007-06-01,60,29,51,56,45,16,7,33
2007-07-01,69,28,50,60,45,15,8,23
2007-08-01,68,26,44,59,42,12,10,17
2007-09-01,62,26,64,56,43,16,15,34
2007-10-01,55,31,62,53,38,18,13,40
2007-11-01,48,33,72,51,39,21,12,46
2007-12-01,42,26,44,51,31,17,10,31
2008-01-01,51,33,44,55,48,22,8,41
2008-02-01,51,33,40,56,44,21,9,43
2008-03-01,51,38,43,57,47,20,8,40
2008-04-01,52,39,42,60,48,25,10,37
2008-05-01,50,33,37,56,48,22,9,35
2008-06-01,58,36,35,59,47,21,9,30
2008-07-01,63,34,31,62,46,21,10,23
2008-08-01,61,32,38,58,44,15,16,19
2008-09-01,58,34,43,61,47,20,17,43
2008-10-01,50,35,81,59,46,22,15,47
2008-11-01,46,37,74,53,44,21,13,45
2008-12-01,43,31,63,54,39,19,14,30
2009-01-01,49,37,60,61,53,21,7,49
2009-02-01,54,39,51,65,53,19,8,45
2009-03-01,50,41,59,68,55,19,10,45
2009-04-01,53,41,60,72,56,20,10,40
2009-05-01,54,41,68,69,58,15,8,32
2009-06-01,64,42,74,69,58,16,8,32
2009-07-01,64,42,70,72,56,14,10,25
2009-08-01,65,42,63,71,54,12,15,22
2009-09-01,57,42,53,70,57,13,19,35
2009-10-01,50,43,64,66,55,17,17,41
2009-11-01,51,49,54,68,57,19,16,40
2009-12-01,46,40,49,68,47,17,13,35
2010-01-01,55,48,50,78,67,19,11,48
2010-02-01,50,48,45,72,63,18,8,50
2010-03-01,54,54,61,76,68,19,9,46
2010-04-01,53,50,63,79,69,18,12,45
2010-05-01,51,50,53,68,68,15,9,44
2010-06-01,57,51,47,75,66,15,9,40
2010-07-01,62,50,44,72,65,13,11,27
2010-08-01,66,50,39,77,68,12,16,25
2010-09-01,56,47,36,75,64,14,15,36
2010-10-01,45,47,40,70,61,18,14,41
2010-11-01,47,50,43,64,57,23,15,46
2010-12-01,43,45,36,68,50,19,11,32
2011-01-01,48,47,42,60,70,21,9,47
2011-02-01,43,49,40,59,68,21,10,47
2011-03-01,43,53,44,64,68,20,7,40
2011-04-01,45,54,45,64,68,21,8,42
2011-05-01,46,50,37,62,75,16,7,33
2011-06-01,51,50,34,66,68,15,10,30
2011-07-01,52,52,43,70,66,15,10,31
2011-08-01,57,49,50,69,72,14,14,34
2011-09-01,53,48,40,65,67,16,19,37
2011-10-01,44,49,47,60,100,19,19,47
2011-11-01,39,51,44,60,63,19,16,50
2011-12-01,37,43,38,60,51,17,13,35
2012-01-01,48,51,36,63,66,19,9,45
2012-02-01,44,50,37,64,71,18,8,48
2012-03-01,45,54,44,68,68,18,9,43
2012-04-01,46,54,39,70,68,18,10,38
2012-05-01,48,55,34,70,71,16,9,36
2012-06-01,51,55,35,68,68,14,8,34
2012-07-01,54,55,33,69,66,12,9,25
2012-08-01,54,60,40,66,68,11,12,23
2012-09-01,52,54,38,63,67,16,16,38
2012-10-01,45,53,29,63,68,17,12,42
2012-11-01,45,57,29,64,62,16,14,45
2012-12-01,39,49,28,60,51,15,15,31
2013-01-01,56,58,32,65,72,18,10,44
2013-02-01,49,58,33,66,74,19,8,47
2013-03-01,48,56,36,69,71,18,9,42
2013-04-01,52,61,39,69,75,20,10,44
