Date,Meat
2005-09-01,108.0
2005-10-01,107.8
2005-11-01,107.8
2005-12-01,107.4
2006-01-01,107.1
2006-02-01,107.5
2006-03-01,107.6
2006-04-01,106.5
2006-05-01,106.8
2006-06-01,107.5
2006-07-01,107.1
2006-08-01,108.2
2006-09-01,109.4
2006-10-01,108.8
2006-11-01,109.6
2006-12-01,109.1
2007-01-01,109.4
2007-02-01,110.6
2007-03-01,110.9
2007-04-01,111.2
2007-05-01,111.7
2007-06-01,112.4
2007-07-01,112.3
2007-08-01,112.0
2007-09-01,111.8
2007-10-01,110.6
2007-11-01,110.8
2007-12-01,110.0
2008-01-01,111.1
2008-02-01,111.1
2008-03-01,110.9
2008-04-01,110.8
2008-05-01,111.7
2008-06-01,112.8
2008-07-01,113.3
2008-08-01,115.0
2008-09-01,115.6
2008-10-01,114.6
2008-11-01,117.4
2008-12-01,116.1
2009-01-01,117.1
2009-02-01,117.9
2009-03-01,119.3
2009-04-01,118.6
2009-05-01,119.0
2009-06-01,119.9
2009-07-01,119.7
2009-08-01,119.1
2009-09-01,118.6
2009-10-01,117.0
2009-11-01,118.1
2009-12-01,116.9
2010-01-01,116.8
2010-02-01,117.7
2010-03-01,117.4
2010-04-01,117.7
2010-05-01,118.7
2010-06-01,119.0
2010-07-01,120.0
2010-08-01,119.8
2010-09-01,120.5
2010-10-01,120.0
2010-11-01,120.2
2010-12-01,121.4
2011-01-01,121.5
2011-02-01,121.7
2011-03-01,123.3
2011-04-01,124.2
2011-05-01,125.1
2011-06-01,126.0
2011-07-01,126.6
2011-08-01,126.6
2011-09-01,127.8
2011-10-01,126.2
2011-11-01,127.7
2011-12-01,127.8
2012-01-01,129.4
2012-02-01,130.4
2012-03-01,130.4
2012-04-01,130.3
2012-05-01,132.7
2012-06-01,131.8
2012-07-01,133.3
2012-08-01,133.8
2012-09-01,132.6
2012-10-01,132.6
2012-11-01,133.2
2012-12-01,133.4
2013-01-01,133.2
2013-02-01,134.5
2013-03-01,134.2
2013-04-01,134.5
2013-05-01,134.5
2013-06-01,134.7
2013-07-01,135.2
2013-08-01,135.9
2013-09-01,135.2
2013-10-01,134.8
2013-11-01,135.7
2013-12-01,135.0
2014-01-01,135.1
2014-02-01,137.3
2014-03-01,138.7
2014-04-01,140.5
2014-05-01,145.2
2014-06-01,147.4
2014-07-01,147.7
2014-08-01,148.5
2014-09-01,150.7
2014-10-01,151.5
2014-11-01,152.2
2014-12-01,152.7
2015-01-01,153.8
2015-02-01,154.3
2015-03-01,155.1
2015-04-01,156.3
2015-05-01,156.7
2015-06-01,157.2
2015-07-01,156.7
2015-08-01,157.8
2015-09-01,157.3
2015-10-01,159.0
2015-11-01,158.1
2015-12-01,156.4
2016-01-01,156.9
2016-02-01,156.8
2016-03-01,160.0
2016-04-01,158.7
2016-05-01,159.1
2016-06-01,156.7
2016-07-01,158.4
2016-08-01,157.5
2016-09-01,156.7
2016-10-01,156.3
2016-11-01,155.0
2016-12-01,154.8
2017-01-01,154.3
2017-02-01,154.2
2017-03-01,155.2
2017-04-01,155.4
2017-05-01,155.9
2017-06-01,156.5
2017-07-01,158.4
2017-08-01,159.3
2017-09-01,158.5
2017-10-01,156.5
2017-11-01,158.0
2017-12-01,157.3
2018-01-01,156.2
2018-02-01,156.7
2018-03-01,156.0
2018-04-01,158.2
2018-05-01,156.3
2018-06-01,157.6
2018-07-01,158.7
2018-08-01,159.7
2018-09-01,159.4
2018-10-01,157.6
2018-11-01,158.8
2018-12-01,158.3
2019-01-01,159.8
2019-02-01,159.4
2019-03-01,158.9
2019-04-01,159.3
2019-05-01,160.9
2019-06-01,163.8
2019-07-01,167.4
2019-08-01,167.3
2019-09-01,168.2
2019-10-01,167.3
2019-11-01,167.1
2019-12-01,165.9
2020-01-01,169.9
2020-02-01,168.3
2020-03-01,170.4
2020-04-01,170.0
2020-05-01,173.5
2020-06-01,177.0
2020-07-01,175.5
2020-08-01,170.4
2020-09-01,168.8
2020-10-01,170.2
2020-11-01,170.9
2020-12-01,170.0
2021-01-01,171.9
2021-02-01,169.5
2021-03-01,170.2
2021-04-01,173.5
2021-05-01,175.4
2021-06-01,176.7
2021-07-01,180.9
2021-08-01,182.1
2021-09-01,184.8
2021-10-01,187.1
2021-11-01,186.3
2021-12-01,185.3
2022-01-01,189.3
2022-02-01,189.3
2022-03-01,188.0
2022-04-01,191.1
