Date,Meat
1986-04-01,63.6
1986-05-01,64.0
1986-06-01,64.9
1986-07-01,66.5
1986-08-01,67.8
1986-09-01,71.3
1986-10-01,71.5
1986-11-01,72.1
1986-12-01,72.9
1987-01-01,72.8
1987-02-01,71.0
1987-03-01,70.5
1987-04-01,71.2
1987-05-01,72.0
1987-06-01,73.0
1987-07-01,73.4
1987-08-01,74.6
1987-09-01,73.8
1987-10-01,74.3
1987-11-01,73.8
1987-12-01,72.3
1988-01-01,72.9
1988-02-01,72.0
1988-03-01,72.3
1988-04-01,72.2
1988-05-01,72.0
1988-06-01,72.9
1988-07-01,73.6
1988-08-01,73.8
1988-09-01,73.8
1988-10-01,73.6
1988-11-01,72.9
1988-12-01,72.9
1989-01-01,73.5
1989-02-01,73.6
1989-03-01,74.0
1989-04-01,74.4
1989-05-01,73.8
1989-06-01,74.5
1989-07-01,75.7
1989-08-01,75.6
1989-09-01,76.5
1989-10-01,76.8
1989-11-01,75.9
1989-12-01,76.6
1990-01-01,77.8
1990-02-01,76.4
1990-03-01,77.1
1990-04-01,77.9
1990-05-01,78.4
1990-06-01,80.8
1990-07-01,81.1
1990-08-01,80.4
1990-09-01,81.5
1990-10-01,81.9
1990-11-01,81.3
1990-12-01,81.9
1991-01-01,82.1
1991-02-01,81.4
1991-03-01,80.9
1991-04-01,80.0
1991-05-01,79.4
1991-06-01,80.5
1991-07-01,80.5
1991-08-01,80.3
1991-09-01,79.9
1991-10-01,79.0
1991-11-01,79.3
1991-12-01,78.6
1992-01-01,78.6
1992-02-01,78.2
1992-03-01,77.9
1992-04-01,78.1
1992-05-01,78.5
1992-06-01,79.1
1992-07-01,78.2
1992-08-01,78.6
1992-09-01,78.8
1992-10-01,79.0
1992-11-01,79.6
1992-12-01,80.1
1993-01-01,80.8
1993-02-01,81.6
1993-03-01,80.6
1993-04-01,80.5
1993-05-01,81.5
1993-06-01,81.9
1993-07-01,82.6
1993-08-01,82.0
1993-09-01,82.2
1993-10-01,81.8
1993-11-01,82.0
1993-12-01,83.1
1994-01-01,82.5
1994-02-01,82.9
1994-03-01,82.3
1994-04-01,81.8
1994-05-01,82.1
1994-06-01,82.2
1994-07-01,81.9
1994-08-01,81.9
1994-09-01,82.2
1994-10-01,82.2
1994-11-01,80.8
1994-12-01,80.5
1995-01-01,80.9
1995-02-01,81.8
1995-03-01,82.2
1995-04-01,82.6
1995-05-01,81.6
1995-06-01,81.8
1995-07-01,82.7
1995-08-01,83.1
1995-09-01,83.4
1995-10-01,83.3
1995-11-01,82.7
1995-12-01,82.5
1996-01-01,82.7
1996-02-01,83.3
1996-03-01,83.3
1996-04-01,83.8
1996-05-01,83.8
1996-06-01,85.0
1996-07-01,84.7
1996-08-01,85.5
1996-09-01,86.9
1996-10-01,86.8
1996-11-01,86.9
1996-12-01,86.4
1997-01-01,86.8
1997-02-01,86.8
1997-03-01,86.4
1997-04-01,86.4
1997-05-01,87.1
1997-06-01,88.2
1997-07-01,88.3
1997-08-01,88.7
1997-09-01,88.4
1997-10-01,87.7
1997-11-01,87.8
1997-12-01,87.6
1998-01-01,87.0
1998-02-01,86.4
1998-03-01,85.8
1998-04-01,84.7
1998-05-01,84.5
1998-06-01,86.0
1998-07-01,86.6
1998-08-01,87.4
1998-09-01,86.9
1998-10-01,85.5
1998-11-01,87.0
1998-12-01,85.9
1999-01-01,85.6
1999-02-01,85.7
1999-03-01,85.9
1999-04-01,85.1
1999-05-01,86.3
1999-06-01,86.5
1999-07-01,87.4
1999-08-01,87.4
1999-09-01,87.7
1999-10-01,86.8
1999-11-01,87.8
1999-12-01,88.1
2000-01-01,87.7
2000-02-01,87.9
2000-03-01,88.9
2000-04-01,89.5
2000-05-01,90.2
2000-06-01,90.9
2000-07-01,92.3
2000-08-01,92.6
2000-09-01,92.4
2000-10-01,91.9
2000-11-01,92.3
2000-12-01,92.6
2001-01-01,94.3
2001-02-01,95.4
2001-03-01,97.3
2001-04-01,98.1
2001-05-01,99.5
2001-06-01,99.9
2001-07-01,100.0
2001-08-01,99.8
2001-09-01,100.3
2001-10-01,99.4
2001-11-01,99.4
2001-12-01,99.3
2002-01-01,99.7
2002-02-01,100.3
2002-03-01,99.6
2002-04-01,100.6
2002-05-01,100.6
2002-06-01,100.5
2002-07-01,100.1
2002-08-01,100.4
2002-09-01,100.0
2002-10-01,99.1
2002-11-01,99.6
2002-12-01,99.4
2003-01-01,101.1
2003-02-01,102.6
2003-03-01,103.2
2003-04-01,103.3
2003-05-01,103.3
2003-06-01,103.1
2003-07-01,102.1
2003-08-01,99.5
2003-09-01,98.7
2003-10-01,99.9
2003-11-01,102.6
2003-12-01,101.9
2004-01-01,101.5
2004-02-01,102.5
2004-03-01,103.2
2004-04-01,102.6
2004-05-01,104.3
2004-06-01,108.5
2004-07-01,109.1
2004-08-01,109.9
2004-09-01,109.3
2004-10-01,108.2
2004-11-01,107.5
2004-12-01,107.6
2005-01-01,108.2
2005-02-01,108.6
2005-03-01,109.2
2005-04-01,108.6
2005-05-01,108.1
2005-06-01,108.9
2005-07-01,108.0
2005-08-01,108.3
