Date,Truck transportation  
January 1997,9797
February 1997,9917
March 1997,9992
April 1997,10267
May 1997,10367
June 1997,10442
July 1997,10595
August 1997,10634
September 1997,10668
October 1997,10655
November 1997,10718
December 1997,10915
January 1998,10942
February 1998,11082
March 1998,11068
April 1998,11019
May 1998,10886
June 1998,10685
July 1998,10481
August 1998,10768
September 1998,10853
October 1998,11127
November 1998,11273
December 1998,11683
January 1999,11604
February 1999,11468
March 1999,11362
April 1999,11463
May 1999,11457
June 1999,11581
July 1999,11740
August 1999,11893
September 1999,12158
October 1999,12177
November 1999,12315
December 1999,12129
January 2000,12245
February 2000,12124
March 2000,12531
April 2000,12389
May 2000,12540
June 2000,12634
July 2000,12717
August 2000,12849
September 2000,12865
October 2000,12990
November 2000,13069
December 2000,13231
January 2001,13360
February 2001,13349
March 2001,13487
April 2001,13557
May 2001,13652
June 2001,13519
July 2001,13532
August 2001,13554
September 2001,13425
October 2001,13336
November 2001,13364
December 2001,13326
January 2002,13335
February 2002,13467
March 2002,13464
April 2002,13780
May 2002,13807
June 2002,13843
July 2002,13698
August 2002,13867
September 2002,13858
October 2002,13852
November 2002,13835
December 2002,13846
January 2003,13795
February 2003,13772
March 2003,13702
April 2003,13584
May 2003,13579
June 2003,13442
July 2003,13578
August 2003,13205
September 2003,13338
October 2003,13316
November 2003,13494
December 2003,13700
January 2004,13596
February 2004,13497
March 2004,13838
April 2004,13887
May 2004,13921
June 2004,14178
July 2004,14078
August 2004,14291
September 2004,14356
October 2004,14560
November 2004,14678
December 2004,14657
January 2005,14828
February 2005,14853
March 2005,14846
April 2005,15087
May 2005,15369
June 2005,15244
July 2005,15561
August 2005,15669
September 2005,15708
October 2005,15707
November 2005,15657
December 2005,15684
January 2006,15750
February 2006,15786
March 2006,15883
April 2006,15775
May 2006,15723
June 2006,15705
July 2006,15677
August 2006,15639
September 2006,15600
October 2006,15410
November 2006,15601
December 2006,15898
January 2007,15808
February 2007,15946
March 2007,15984
April 2007,16127
May 2007,16205
June 2007,16253
July 2007,16249
August 2007,16268
September 2007,16240
October 2007,16172
November 2007,16175
December 2007,15869
January 2008,15686
February 2008,15548
March 2008,15651
April 2008,15769
May 2008,15827
June 2008,15805
July 2008,15930
August 2008,15704
September 2008,15765
October 2008,15821
November 2008,15790
December 2008,15548
January 2009,15151
February 2009,14999
March 2009,14848
April 2009,14996
May 2009,14968
June 2009,15078
July 2009,15540
August 2009,15360
September 2009,15531
October 2009,15552
November 2009,15813
December 2009,16015
January 2010,16016
February 2010,16206
March 2010,16354
April 2010,16383
May 2010,16412
June 2010,16602
July 2010,16554
August 2010,16689
September 2010,16533
October 2010,16711
November 2010,16631
December 2010,16922
January 2011,17282
February 2011,17058
March 2011,17387
April 2011,17163
May 2011,17276
June 2011,17206
July 2011,17449
August 2011,17432
September 2011,17524
October 2011,17724
November 2011,17753
December 2011,17894
January 2012,17796
February 2012,17501
March 2012,17760
April 2012,17826
May 2012,17819
June 2012,17878
July 2012,17915
August 2012,18001
September 2012,18051
October 2012,17937
November 2012,17848
December 2012,17736
January 2013,17932
February 2013,18161
March 2013,18384
April 2013,18560
May 2013,18146
June 2013,17969
July 2013,17941
August 2013,18143
September 2013,18466
October 2013,18786
November 2013,19169
December 2013,18843
January 2014,18982
February 2014,19105
March 2014,19136
April 2014,19207
May 2014,19444
June 2014,19576
July 2014,19803
August 2014,19490
September 2014,19834
October 2014,19745
November 2014,19735
December 2014,19823
January 2015,19491
February 2015,19048
March 2015,19149
April 2015,19114
May 2015,19183
June 2015,19414
July 2015,19567
August 2015,19702
September 2015,19443
October 2015,19529
November 2015,19760
December 2015,19796
January 2016,19882
February 2016,19746
March 2016,19644
April 2016,19889
May 2016,19738
June 2016,19983
July 2016,20245
August 2016,20425
September 2016,20610
October 2016,20568
November 2016,20693
December 2016,20810
January 2017,21302
February 2017,21649
March 2017,21623
April 2017,21768
May 2017,21896
June 2017,21975
July 2017,21815
August 2017,21754
September 2017,21685
October 2017,21329
November 2017,21509
December 2017,21099
January 2018,21412
February 2018,21301
March 2018,20984
April 2018,20659
May 2018,20729
June 2018,20639
July 2018,20465
August 2018,20473
September 2018,20504
October 2018,20544
November 2018,20526
December 2018,20716
January 2019,21038
February 2019,21018
March 2019,21222
April 2019,21432
May 2019,21733
June 2019,21762
July 2019,21836
August 2019,21898
September 2019,21817
October 2019,21745
November 2019,21655
December 2019,21840
January 2020,21384
February 2020,21389
March 2020,19563
April 2020,15949
May 2020,16829
June 2020,18968
July 2020,19541
August 2020,19494
September 2020,20019
October 2020,20390
November 2020,20508
December 2020,20698
January 2021,20643
February 2021,20370
March 2021,20624
April 2021,20297
May 2021,20174
June 2021,19891
July 2021,19987
August 2021,20234
September 2021,20567
October 2021,20614
November 2021,20950
December 2021,20845
January 2022,20645
February 2022,20907
March 2022,21114
April 2022,21087
May 2022,21168
June 2022,21312
July 2022,21178
August 2022,21074
September 2022,21055
October 2022,20985
November 2022,20965
December 2022,20882
January 2023,21200
February 2023,20947
March 2023,21137
April 2023,21247
May 2023,21212
June 2023,21140
July 2023,21286
August 2023,21286
September 2023,21219
October 2023,20866
November 2023,21129
December 2023,21059
