Date,Household income,Disposable income ,Total interest paid 
Q4 1990,638984,412232,51148
Q1 1991,640844,417232,51488
Q2 1991,648248,412040,50612
Q3 1991,652668,420200,50052
Q4 1991,654384,424068,49208
Q1 1992,658604,419928,47964
Q2 1992,664280,428816,47448
Q3 1992,667800,442316,46736
Q4 1992,669188,435524,47076
Q1 1993,676464,439276,44380
Q2 1993,679832,458584,43924
Q3 1993,681600,444704,42952
Q4 1993,682432,442096,42768
Q1 1994,685640,450008,42724
Q2 1994,692764,454520,42708
Q3 1994,701280,454144,44004
Q4 1994,708180,459636,45012
Q1 1995,715664,461916,47220
Q2 1995,722476,465884,48604
Q3 1995,727596,465836,48344
Q4 1995,730372,469072,48208
Q1 1996,733988,472160,47896
Q2 1996,737104,473700,47568
Q3 1996,742812,475332,46788
Q4 1996,750800,480920,45892
Q1 1997,755312,485296,44288
Q2 1997,764380,487336,43944
Q3 1997,776752,501280,43864
Q4 1997,783004,505812,44412
Q1 1998,795624,508368,45588
Q2 1998,804440,510620,45964
Q3 1998,810304,523392,47112
Q4 1998,824148,531968,47972
Q1 1999,828032,534304,47064
Q2 1999,841284,543140,46476
Q3 1999,851248,550512,46276
Q4 1999,862888,557084,46612
Q1 2000,881080,563668,49616
Q2 2000,897340,573208,52336
Q3 2000,911920,586036,53300
Q4 2000,921880,595804,54876
Q1 2001,940528,614560,55320
Q2 2001,943860,602796,54120
Q3 2001,945100,619000,52612
Q4 2001,948636,624784,50736
Q1 2002,953464,634372,48956
Q2 2002,957496,635996,48820
Q3 2002,967944,647156,50036
Q4 2002,982888,652804,51772
Q1 2003,988888,663028,51152
Q2 2003,992224,659340,52100
Q3 2003,1001496,661492,53628
Q4 2003,1013376,669092,53236
Q1 2004,1031976,678048,54360
Q2 2004,1046444,694356,54012
Q3 2004,1059880,702448,54036
Q4 2004,1072216,706096,54456
Q1 2005,1080420,703856,56852
Q2 2005,1101560,719692,57984
Q3 2005,1116248,724884,59112
Q4 2005,1129340,737612,59048
Q1 2006,1165716,759840,63740
Q2 2006,1171792,760588,67196
Q3 2006,1197376,781244,70404
Q4 2006,1217940,795824,72720
Q1 2007,1238828,812260,74536
Q2 2007,1267240,810396,77560
Q3 2007,1278304,814508,79796
Q4 2007,1294092,828116,82652
Q1 2008,1321476,843608,83084
Q2 2008,1321288,858020,82820
Q3 2008,1333848,874716,82676
Q4 2008,1328292,873268,79092
Q1 2009,1322648,869928,75316
Q2 2009,1316688,874224,72208
Q3 2009,1327080,891036,71920
Q4 2009,1336012,903940,71640
Q1 2010,1345604,925300,72184
Q2 2010,1363764,913868,73588
Q3 2010,1376060,928072,73276
Q4 2010,1402528,945124,74460
Q1 2011,1417848,950388,76288
Q2 2011,1431612,953648,74740
Q3 2011,1445464,962860,75100
Q4 2011,1456528,981496,75272
Q1 2012,1479616,989444,74804
Q2 2012,1492748,994088,75632
Q3 2012,1508396,1006960,75752
Q4 2012,1522516,1014516,74904
Q1 2013,1542000,1036240,75880
Q2 2013,1551472,1042016,76156
Q3 2013,1565760,1048424,77104
Q4 2013,1583824,1060496,77100
Q1 2014,1594888,1067684,76988
Q2 2014,1607092,1073324,76972
Q3 2014,1625304,1091132,77516
Q4 2014,1638136,1094480,78252
Q1 2015,1665948,1117748,78208
Q2 2015,1685208,1127520,76780
Q3 2015,1697072,1136328,77248
Q4 2015,1708408,1137924,77076
Q1 2016,1683472,1107644,77260
Q2 2016,1696164,1128120,78916
Q3 2016,1709168,1141024,78228
Q4 2016,1728392,1154244,79048
Q1 2017,1739208,1158008,79960
Q2 2017,1765116,1179116,81108
Q3 2017,1796740,1203920,82732
Q4 2017,1818752,1216424,85600
Q1 2018,1831352,1215708,88508
Q2 2018,1841832,1216444,91416
Q3 2018,1859040,1222984,94464
Q4 2018,1884836,1244536,97676
Q1 2019,1900724,1251160,101012
Q2 2019,1932380,1274800,101892
Q3 2019,1949412,1287348,103980
Q4 2019,1978644,1308140,104000
Q1 2020,1992724,1323752,102960
Q2 2020,2084016,1452184,97284
Q3 2020,2055404,1393800,94476
Q4 2020,2047048,1380908,92916
Q1 2021,2112456,1436296,91872
Q2 2021,2133316,1430476,93104
Q3 2021,2162232,1444072,90680
Q4 2021,2160964,1430636,90888
Q1 2022,2227976,1486416,92532
Q2 2022,2254204,1500296,102040
Q3 2022,2294892,1515400,116860
