Date,Freight Rail Services Price Index  ,Grain and fertilizer
January 2018,95.0,97.1
February 2018,95.7,97.6
March 2018,96.9,99.0
April 2018,96.4,98.6
May 2018,96.9,98.8
June 2018,101.3,100.0
July 2018,102.4,100.7
August 2018,102.0,100.4
September 2018,102.4,101.1
October 2018,102.7,101.3
November 2018,103.9,102.3
December 2018,104.4,103.0
January 2019,104.5,103.4
February 2019,103.4,102.6
March 2019,103.7,103.1
April 2019,104.0,103.3
May 2019,104.5,103.7
June 2019,104.6,104.1
July 2019,104.5,103.8
August 2019,105.1,103.7
September 2019,104.9,104.2
October 2019,105.5,104.8
November 2019,106.0,105.2
December 2019,105.8,105.0
January 2020,105.6,104.7
February 2020,107.0,107.8
March 2020,108.5,109.0
April 2020,109.0,111.0
May 2020,108.0,109.6
June 2020,105.3,106.5
July 2020,105.5,106.6
August 2020,104.6,105.4
September 2020,104.2,105.0
October 2020,105.2,105.7
November 2020,104.6,105.1
December 2020,103.7,103.8
January 2021,104.3,103.9
February 2021,105.2,104.7
March 2021,105.2,104.5
April 2021,106.0,105.5
May 2021,105.3,104.1
June 2021,105.4,103.4
July 2021,107.2,105.7
August 2021,108.0,107.1
September 2021,108.9,108.0
October 2021,109.8,108.6
November 2021,110.9,108.8
December 2021,112.8,110.9
January 2022,113.6,111.2
February 2022,113.9,111.4
March 2022,115.8,112.3
April 2022,116.8,113.2
May 2022,122.7,118.3
June 2022,123.0,119.0
July 2022,126.2,121.4
August 2022,125.9,122.2
September 2022,125.9,122.6
October 2022,127.0,124.2
November 2022,128.1,123.8
December 2022,129.1,125.4
January 2023,129.2,124.4
February 2023,125.7,120.1
March 2023,126.9,121.4
April 2023,124.9,119.2
May 2023,124.0,118.3
June 2023,122.3,116.2
July 2023,120.8,115.0
August 2023,121.5,116.1
September 2023,124.9,123.1
October 2023,130.8,127.1
November 2023,131.7,128.3
December 2023,130.1,126.3
January 2024,127.4,123.4
