Date,All industries,Manufacturing,Wholesale and retail trade ,Transportation ,Entertainment and hospitality 
March 1990,197230,66570,7110,2950,2280
April 1990,300240,76620,7570,4890,2140
May 1990,610790,84890,11080,7240,1450
June 1990,796290,78480,20150,5640,2860
July 1990,290500,97300,16700,6710,2070
August 1990,594270,465870,13870,6640,4720
September 1990,716950,545300,9850,31590,3800
October 1990,685210,530150,19580,6590,5050
November 1990,421700,302360,19170,7050,6720
December 1990,173030,114920,14050,6470,4410
January 1991,273280,62610,16860,4440,3700
February 1991,181240,69460,8660,4340,3260
March 1991,181140,58890,6680,3780,4160
April 1991,135700,62150,5590,2490,3220
May 1991,181910,39930,24890,680,4170
June 1991,111930,45150,13040,6190,1360
July 1991,106070,44990,14810,21780,530
August 1991,215850,45620,17520,117710,5950
September 1991,770010,32000,7060,108020,3520
October 1991,221890,33390,1900,18150,990
November 1991,71190,37500,2700,12930,840
December 1991,65880,42320,2810,12650,770
January 1992,112630,45140,3050,15390,630
February 1992,70510,35900,2730,12740,810
March 1992,148690,49100,3230,14380,1010
April 1992,249030,41060,6390,11780,680
May 1992,171870,53620,5270,9820,2400
June 1992,349690,199110,6860,9830,3750
July 1992,288070,136770,10150,11050,4210
August 1992,171700,33460,12590,10020,1930
September 1992,146900,65130,13110,12010,1810
October 1992,135730,58040,12910,10190,2040
November 1992,130590,38710,11960,11110,8950
December 1992,134770,41510,21730,11260,11810
January 1993,118040,27850,16590,12320,9280
February 1993,103440,26330,15720,8820,11510
March 1993,113740,31720,12480,3210,17920
April 1993,113690,32810,11790,2430,14950
May 1993,182130,49020,10860,2670,15160
June 1993,94660,31030,7560,4080,13640
July 1993,102260,36540,5910,18450,10000
August 1993,99100,35210,5700,27390,4500
September 1993,97480,43290,5520,2480,3410
October 1993,94720,38490,7760,2300,2400
November 1993,151860,42520,40790,230,1320
December 1993,245520,40330,91990,530,850
January 1994,172870,36460,94280,10710,590
February 1994,159190,31810,61740,24890,480
March 1994,89220,33810,4970,8280,880
April 1994,86240,39930,6550,8670,3180
May 1994,182140,45530,4780,10370,5460
June 1994,188390,52150,5150,7080,7920
July 1994,86530,40160,3110,4810,3870
August 1994,146340,39630,4560,37470,3750
September 1994,179490,43900,5880,68900,4990
October 1994,110060,48240,9650,3670,3850
November 1994,114450,74510,9160,6930,1290
December 1994,91660,55780,6500,15460,900
January 1995,134510,95310,4930,13290,180
February 1995,101020,69180,4710,8540,480
March 1995,328340,48150,5210,216640,26750
April 1995,67130,22180,4990,2370,4650
May 1995,63420,38080,4210,3490,720
June 1995,119100,54360,5650,5620,2160
July 1995,199430,33710,8380,5180,27910
August 1995,105270,62050,8480,3100,12640
September 1995,147610,75410,6540,2720,1170
October 1995,147620,88880,6790,3070,880
November 1995,89520,61450,5290,2930,530
December 1995,80100,46140,2430,3210,890
January 1996,68830,49990,2650,8220,1040
February 1996,268160,45520,2030,7930,4060
March 1996,1052550,35560,2620,3870,14700
April 1996,202100,34010,3510,9080,13970
May 1996,143540,42070,11280,9480,14980
June 1996,361040,31620,253490,8320,16920
July 1996,197660,40560,41230,9350,30520
August 1996,141460,42080,6680,8450,34830
September 1996,105750,32920,5770,8530,29140
October 1996,501700,367570,5740,12440,14410
November 1996,93360,25800,6920,23290,7160
December 1996,132910,23630,6750,40310,6120
January 1997,114530,35980,5630,24120,2480
February 1997,94950,46950,3020,20570,870
March 1997,127620,41650,41480,12520,1900
April 1997,265140,34740,190890,5860,2390
May 1997,221170,33710,161750,1770,2950
June 1997,187730,122780,40570,2310,3650
July 1997,138390,95930,530,1850,3080
August 1997,181360,85380,1620,3120,3040
September 1997,127690,81360,2740,7380,5170
October 1997,769440,86090,3100,6240,5720
November 1997,1122500,94840,8880,361580,2470
December 1997,258940,99220,4950,136710,3090
January 1998,112590,83250,3430,2040,2390
February 1998,125530,87010,5200,1570,1840
March 1998,148480,94340,3690,1730,2010
April 1998,83440,52840,4570,760,3230
May 1998,121840,36810,2010,1660,2950
June 1998,277360,41870,1600,8250,26920
July 1998,321320,38680,2240,4490,20270
August 1998,248160,23210,2420,4540,10100
September 1998,401150,20510,4040,22890,8080
October 1998,200400,19260,5770,14830,5670
November 1998,266500,29390,4230,15700,3690
December 1998,133500,67760,6770,13310,11720
January 1999,129660,43750,2960,7110,11180
February 1999,129440,33110,2930,2260,11020
March 1999,346970,24830,3600,6720,8090
April 1999,382740,62190,3110,14760,4520
May 1999,214860,44210,5370,2540,5610
June 1999,193260,36350,8850,2460,5520
July 1999,301250,41310,14640,2570,8240
August 1999,176840,27630,10930,3410,5910
September 1999,169760,67100,8290,3350,9910
October 1999,122330,75270,7800,4200,9030
November 1999,153890,60730,5190,28830,9980
December 1999,113050,48500,5500,11030,5790
January 2000,152780,33910,4020,6780,4210
February 2000,73730,23920,4760,1020,4430
March 2000,156690,28760,5670,980,4560
April 2000,152950,31870,7520,7890,4470
May 2000,114310,40870,9790,8870,6750
June 2000,140900,97430,9800,2480,8540
July 2000,135710,64440,7140,3020,42180
August 2000,106370,27150,8060,6760,13010
September 2000,115440,32330,18840,3760,7190
October 2000,188350,44260,5990,1650,9440
November 2000,190820,40650,3010,2050,11410
December 2000,116050,35330,5240,2820,10930
January 2001,110040,46310,4950,1690,10120
February 2001,116790,49820,8990,18240,6790
March 2001,185630,51820,5290,46970,4890
April 2001,505570,63990,5580,80130,7200
May 2001,270395,64220,5130,62390,7175
June 2001,261160,68400,8450,59730,4920
July 2001,177755,63800,6500,60440,8555
August 2001,208015,43590,4840,1650,12115
September 2001,110150,26910,4140,1410,6030
October 2001,80340,16790,11060,2220,5880
November 2001,74385,19980,11150,1430,3315
December 2001,102510,43940,10960,4240,3340
January 2002,120790,48320,10440,5100,3370
February 2002,255260,21480,8790,4450,590
March 2002,439050,23550,13310,4560,1290
April 2002,776055,132060,18250,3800,2935
May 2002,237325,53850,10210,2100,2955
June 2002,131330,39590,2430,930,4370
July 2002,248940,34410,60,660,6420
August 2002,150718,35150,23770,3450,4278
September 2002,163460,35220,6210,9400,3130
October 2002,193020,42930,8130,14570,2460
November 2002,141352,41550,8340,11400,1432
December 2002,128640,47000,22530,7160,660
January 2003,138670,53040,26200,1970,4000
February 2003,137780,48960,18560,120,770
March 2003,198247,45260,21420,2140,2550
April 2003,168140,36970,26780,2250,2990
May 2003,165555,44250,23040,4350,2180
June 2003,183250,128160,20090,11240,1340
July 2003,169470,128960,21620,9740,1710
August 2003,151530,114300,25790,1420,5670
September 2003,95460,42420,22400,570,8210
October 2003,79050,30430,6710,1580,9090
November 2003,128020,86330,24320,530,5260
December 2003,115320,54780,13390,22890,9240
January 2004,45490,12020,6540,780,13820
February 2004,105070,14770,4660,41090,15360
March 2004,131115,15660,3850,82360,14670
April 2004,673370,24540,4010,6150,79120
May 2004,301890,43430,4920,380,43520
June 2004,203400,67190,1080,1800,10080
July 2004,221580,85080,1820,3810,8720
August 2004,312990,80530,13090,8180,15150
September 2004,405460,63380,16130,6080,9560
October 2004,522230,63000,16250,3830,6350
November 2004,135830,50650,57840,9630,3540
December 2004,126740,17120,92620,7680,4970
January 2005,129000,21770,96870,..,3350
February 2005,82210,24340,38920,..,3390
March 2005,60800,29330,12650,5210,1870
April 2005,267290,34390,10630,5890,1840
May 2005,265840,29080,4780,18250,2500
June 2005,192490,26610,4120,4970,10980
July 2005,211180,27140,4090,3980,9020
August 2005,485310,25820,4010,..,6740
September 2005,572690,32930,5560,470,10680
October 2005,885410,72440,14540,330,17620
November 2005,522420,29990,28490,880,8160
December 2005,472940,20230,9960,200,21040
January 2006,37910,18400,2500,4920,8360
February 2006,44940,21870,2810,5030,4070
March 2006,190627,51927,3540,2000,3710
April 2006,73500,38370,4510,2770,6230
May 2006,103540,30270,5790,11940,9100
June 2006,72050,35310,4510,920,7690
July 2006,51796,20626,4570,560,3890
August 2006,34560,16220,4100,370,2160
September 2006,34830,19010,2260,..,6680
October 2006,50340,28400,2910,5160,8490
November 2006,48610,31140,3040,170,9290
December 2006,50220,29040,2710,80,7820
January 2007,61550,21390,780,10,8320
February 2007,77880,17030,700,30220,7950
March 2007,84140,17700,200,5140,8650
April 2007,59832,11570,..,9620,9190
May 2007,144360,10760,..,47810,13970
June 2007,238190,21680,230,30240,12060
July 2007,166440,71980,..,11720,8290
August 2007,323220,164370,2990,15090,5800
September 2007,291885,156885,2980,4970,7110
October 2007,196550,118360,3440,2030,2290
November 2007,88550,20070,4080,1180,1220
December 2007,38110,20220,4230,350,3530
January 2008,42730,20540,3670,..,1220
February 2008,46940,18580,3060,..,1210
March 2008,48110,17020,3600,..,980
April 2008,51030,20380,3850,13560,1460
May 2008,35400,20620,2970,..,1390
June 2008,67390,27060,5170,20,15610
July 2008,77660,35950,1630,2980,27460
August 2008,62850,40330,240,3140,13820
September 2008,75360,36540,210,3150,21920
October 2008,103150,36910,9340,1910,22670
November 2008,117330,24800,23180,21430,15210
December 2008,147490,16890,20510,68630,10400
January 2009,129040,12340,19100,50830,10270
February 2009,48720,11210,16060,..,9390
March 2009,52570,13930,5610,430,11400
April 2009,94870,33510,900,7880,10710
May 2009,96160,36850,1570,7070,10100
June 2009,261890,50070,1400,6710,8690
July 2009,601160,76890,13210,4260,8940
August 2009,153380,111180,10410,..,8940
September 2009,161520,118370,10790,..,9760
October 2009,198810,136500,2600,2200,17100
November 2009,183980,132360,2060,14960,12770
December 2009,180400,132860,1310,18100,9170
January 2010,125524,108615,1717,..,4040
February 2010,127769,96050,1750,50,6260
March 2010,182160,108650,1460,30,4850
April 2010,143300,99840,9130,7480,2690
May 2010,122100,85370,9850,7100,2010
June 2010,146080,78230,7450,7860,11880
July 2010,80620,41250,6120,11820,12680
August 2010,55170,20750,7560,7670,6050
September 2010,52600,19690,3530,7580,6840
October 2010,56770,23320,4340,7340,7550
November 2010,58700,29190,2850,7230,8310
December 2010,51690,27770,2420,5340,5910
January 2011,51694,25845,2650,4960,7019
February 2011,76825,25370,2550,7570,5100
March 2011,78205,30420,2870,4860,3900
April 2011,59175,32750,3370,3400,6590
May 2011,82940,32210,3040,1210,7810
June 2011,473800,31220,2180,430290,5510
July 2011,49000,37250,2040,3580,1350
August 2011,45940,24320,1980,5610,1220
September 2011,182500,18870,1370,2920,2970
October 2011,98060,13470,4660,5560,2650
November 2011,103167,6120,4150,14300,1830
December 2011,49290,8930,2450,14520,1370
January 2012,50090,29610,3260,13700,1350
February 2012,59655,25430,4280,17435,840
March 2012,181365,21820,4340,9585,870
April 2012,39485,25930,1100,3810,240
May 2012,85380,28560,970,33690,720
June 2012,69929,20810,940,7730,530
July 2012,79520,16060,950,4240,2400
August 2012,76241,6650,870,14530,11200
September 2012,71045,8660,2485,11480,7960
October 2012,42890,10510,3290,3700,8070
November 2012,60140,14560,3250,3380,10760
December 2012,88277,4880,3400,1630,8265
January 2013,32716,4400,3840,2380,9790
February 2013,33521,4010,6295,2200,6660
March 2013,34851,4261,12460,2220,6250
April 2013,35747,7430,11380,2390,6125
May 2013,131470,27400,16770,2420,5080
June 2013,780515,31810,19070,2100,5220
July 2013,97500,44000,21000,2260,6090
August 2013,77230,36580,21000,70,5980
September 2013,67470,27810,19870,120,4690
October 2013,93140,26860,48280,..,5000
November 2013,59590,22280,24300,..,4850
December 2013,55200,15120,21100,..,4660
January 2014,46940,11960,21020,250,220
February 2014,33040,9010,19140,440,120
March 2014,33120,8800,20310,80,..
April 2014,32770,9940,19980,170,..
May 2014,80140,11360,21660,1290,260
June 2014,561230,7490,20780,9860,450
July 2014,66960,18280,22350,12890,1260
August 2014,60990,24690,21940,8550,470
September 2014,654830,13780,20670,4140,450
October 2014,56680,6850,20600,5770,4410
November 2014,39440,7320,13670,1200,840
December 2014,45190,14290,13300,1320,2780
January 2015,30220,6260,13300,4250,320
February 2015,60140,5450,10350,10700,0
March 2015,127500,15390,10870,3070,80
April 2015,58180,9940,9920,2840,410
May 2015,127190,8640,13080,680,550
June 2015,59460,11120,10400,1730,530
July 2015,72498,8726,27110,4200,530
August 2015,33095,4350,10460,6010,510
September 2015,58780,4380,10430,6640,5060
October 2015,294660,4570,10460,8740,7680
November 2015,508950,2360,10090,9890,5010
December 2015,414830,2270,9840,8500,4560
January 2016,59850,2160,7680,960,3300
February 2016,56420,3020,730,..,3130
March 2016,66730,6310,9730,..,3580
April 2016,17710,6450,3890,..,2890
May 2016,155080,3080,1080,2360,2070
June 2016,59810,5030,360,5290,..
July 2016,21910,4550,1040,5510,600
August 2016,15690,3970,1760,5510,260
September 2016,22960,3030,1870,5250,6190
October 2016,39060,1510,1070,4930,5180
November 2016,78680,1540,290,3650,2850
December 2016,37980,1600,290,430,4320
January 2017,37250,5940,260,..,3160
February 2017,69320,12980,440,..,4780
March 2017,56290,11860,300,1810,5510
April 2017,36000,17080,260,..,2730
May 2017,432130,16860,290,..,4770
June 2017,44030,15360,290,..,3060
July 2017,37700,14970,270,2580,3800
August 2017,47200,14980,700,16060,1530
September 2017,56130,35140,360,15330,..
October 2017,207470,35940,510,7660,..
November 2017,172890,11280,1940,..,..
December 2017,4290,2170,1700,..,..
January 2018,20420,17020,1840,760,..
February 2018,27770,22190,2790,1350,..
March 2018,106850,24210,1560,1730,..
April 2018,128870,21320,1500,1150,27770
May 2018,169200,25520,4140,4320,44570
June 2018,98802,23850,1500,1020,17382
July 2018,104143,30070,5320,1090,37818
August 2018,66750,24120,5540,1530,30270
September 2018,68410,22110,11530,1040,28990
October 2018,109134,25970,9910,44240,21834
November 2018,183333,27190,41258,99310,10895
December 2018,50042,26540,21820,810,250
January 2019,49608,23206,24520,532,..
February 2019,50412,22080,21768,390,804
March 2019,54933,21460,24300,440,..
April 2019,45019,20510,15300,1390,770
May 2019,124942,25185,..,440,1610
June 2019,184953,29401,500,430,690
July 2019,102299,21825,560,1245,..
August 2019,81233,7920,396,956,..
September 2019,112359,13941,..,2273,8910
October 2019,184011,9291,..,3789,19630
November 2019,120639,12105,..,24224,2440
December 2019,102530,25950,660,140,..
January 2020,259700,17770,1320,6270,90
February 2020,672230,15340,720,140,..
March 2020,92490,16830,..,..,..
April 2020,23240,16830,..,..,..
May 2020,21630,16070,..,..,..
June 2020,20342,14570,..,..,..
July 2020,26616,13064,..,6840,..
August 2020,55228,14100,12600,22838,..
September 2020,115980,3200,44870,1530,390
October 2020,80340,2930,57700,1980,1210
November 2020,66490,3410,47980,1890,5710
December 2020,17270,1500,..,270,8740
January 2021,11160,1420,150,..,4180
February 2021,10164,3350,180,15,180
March 2021,31440,14264,300,120,455
April 2021,58428,12833,260,5610,1940
May 2021,253899,70172,110,100,37193
June 2021,367461,94577,1880,90,47266
July 2021,134068,92829,..,..,28856
August 2021,104987,62737,240,210,30120
September 2021,73770,34620,1260,610,21320
October 2021,52225,22540,640,..,9570
November 2021,82095,8440,760,1330,8130
December 2021,143940,15970,1050,2040,9310
January 2022,35400,12610,1080,40,9680
February 2022,78990,26970,4040,2580,8680
March 2022,96627,19850,6000,3040,9050
April 2022,127340,27550,8970,2414,4660
May 2022,840655,36200,5510,1716,9040
June 2022,216044,44273,10870,10560,14300
July 2022,96530,24900,8780,3970,16930
August 2022,110790,17420,9550,1720,18790
September 2022,39670,3760,9070,8880,4000
October 2022,39795,790,9330,6070,2460
November 2022,170046,850,9130,10600,2160
December 2022,44375,1280,8400,5350,2580
January 2023,26120,..,7730,2830,4120
February 2023,54507,9407,6570,4740,3940
March 2023,105050,9250,7290,8300,3220
April 2023,1027910,5300,7020,13820,4040
May 2023,341433,20260,9050,27580,17510
June 2023,141920,26000,8630,16640,26800
July 2023,229830,37310,19290,106430,43380
August 2023,196260,23760,91260,5130,46970
September 2023,113260,7380,8020,1910,38000
October 2023,130922,28810,8460,8080,7472
November 2023,1473528,16070,4380,21310,7630
December 2023,2744388,7450,2980,13900,7010
January 2024,51280,7490,3380,13520,6360
February 2024,71010,13430,1700,10220,6060
March 2024,148324,13410,1690,9940,8654
April 2024,174240,27910,11650,7580,24670
