Date,"Milk sold off farms, total",Fluid purposes,Industrial purposes
January 1986,576001,233273,330582
February 1986,527618,209732,306502
March 1986,606383,226011,367014
April 1986,634262,223070,394943
May 1986,682766,228308,435959
June 1986,679855,210698,448787
July 1986,666721,216161,431801
August 1986,648481,220203,409720
September 1986,599453,222816,359171
October 1986,575174,240308,320436
November 1986,535884,222070,302792
December 1986,572576,227660,332897
January 1987,584348,235632,337857
February 1987,534680,211598,312533
March 1987,616898,231350,372369
April 1987,641950,222894,403983
May 1987,686639,227393,442423
June 1987,678881,221423,437341
July 1987,656506,223724,414042
August 1987,648012,219099,411397
September 1987,597695,227004,354735
October 1987,588717,243461,331072
November 1987,553534,229160,312451
December 1987,590005,233349,344330
January 1988,600578,230272,359253
February 1988,576423,224298,340378
March 1988,638770,245406,379052
April 1988,652655,222985,415102
May 1988,695221,226365,451215
June 1988,695182,219990,456539
July 1988,683011,215639,451123
August 1988,661159,224457,419058
September 1988,621923,233464,372873
October 1988,602706,237332,352370
November 1988,572231,230073,330455
December 1988,607941,235104,361938
January 1989,615969,232062,372555
February 1989,563585,213643,339284
March 1989,641831,242451,386367
April 1989,644553,220203,411424
May 1989,681440,231833,433287
June 1989,655779,222004,416771
July 1989,637173,209775,413030
August 1989,625599,226671,384137
September 1989,587622,232432,342902
October 1989,579238,237189,330661
November 1989,551577,230271,311621
December 1989,582554,226818,347036
January 1990,600012,235884,354317
February 1990,553549,212059,332707
March 1990,631051,241611,378990
April 1990,636176,223539,400980
May 1990,675359,232211,429256
June 1990,666856,219535,432732
July 1990,648866,216582,418047
August 1990,632869,229171,390885
September 1990,590780,223905,356138
October 1990,578429,239304,328422
November 1990,551006,235251,306842
December 1990,580590,230434,341708
January 1991,592652,241268,342646
February 1991,544397,211921,324287
March 1991,615361,235093,371094
April 1991,622731,231245,379602
May 1991,657558,231731,412667
June 1991,640686,213318,414482
July 1991,630845,219984,397091
August 1991,624321,231167,381203
September 1991,592585,226910,354823
October 1991,586390,240843,334987
November 1991,564101,232959,322601
December 1991,597115,228207,359781
January 1992,606748,240940,356725
February 1992,565806,223644,333648
March 1992,605643,235499,359885
April 1992,594943,229657,354654
May 1992,608694,226352,371227
June 1992,590155,227232,349915
July 1992,569165,222493,335337
August 1992,578862,220103,346958
September 1992,548760,224324,314129
October 1992,549947,243637,297280
