Month,diet: (Canada),junk food: (Canada),organic food: (Canada),healthy diet: (Canada)
Jan-04,100,1,2,2
Feb-04,70,0,1,1
Mar-04,66,1,2,1
Apr-04,64,1,1,1
May-04,70,1,1,1
Jun-04,59,1,2,1
Jul-04,57,0,2,1
Aug-04,51,0,1,1
Sep-04,52,1,1,1
Oct-04,45,1,1,1
Nov-04,48,2,1,1
Dec-04,37,1,1,1
Jan-05,58,1,2,1
Feb-05,52,1,1,1
Mar-05,50,1,1,1
Apr-05,49,1,1,1
May-05,54,1,1,1
Jun-05,51,0,1,1
Jul-05,49,1,1,1
Aug-05,47,1,1,1
Sep-05,41,1,1,1
Oct-05,42,1,1,1
Nov-05,41,1,2,1
Dec-05,35,1,1,1
Jan-06,53,1,1,1
Feb-06,48,1,1,1
Mar-06,48,1,2,1
Apr-06,49,1,1,1
May-06,46,1,1,1
Jun-06,44,1,1,1
Jul-06,42,1,1,1
Aug-06,39,0.0001,1,1
Sep-06,39,0.0001,1,1
Oct-06,36,1,1,1
Nov-06,36,1,2,1
Dec-06,32,1,1,1
Jan-07,51,1,1,1
Feb-07,38,1,2,1
Mar-07,44,1,2,1
Apr-07,42,1,1,1
May-07,42,1,1,1
Jun-07,43,0.0001,2,1
Jul-07,38,0.0001,1,1
Aug-07,38,0.0001,1,1
Sep-07,35,0.0001,1,1
Oct-07,41,1,2,1
Nov-07,36,1,2,1
Dec-07,29,1,1,1
Jan-08,51,1,2,1
Feb-08,39,1,2,1
Mar-08,42,1,2,1
Apr-08,42,1,2,1
May-08,37,1,2,1
Jun-08,35,0.0001,1,1
Jul-08,37,0.0001,1,1
Aug-08,38,0.0001,1,1
Sep-08,35,1,1,1
Oct-08,40,0.0001,1,1
Nov-08,37,1,1,1
Dec-08,31,0.0001,1,1
Jan-09,51,1,1,1
Feb-09,41,1,1,1
Mar-09,43,1,2,1
Apr-09,46,1,1,1
May-09,45,1,1,1
Jun-09,44,1,1,1
Jul-09,44,0.0001,2,1
Aug-09,44,0.0001,1,1
Sep-09,42,1,1,1
Oct-09,42,1,2,1
Nov-09,43,1,2,1
Dec-09,37,1,1,1
Jan-10,60,1,2,2
Feb-10,51,1,1,1
Mar-10,54,1,2,1
Apr-10,50,1,2,1
May-10,51,0.0001,1,1
Jun-10,46,1,1,1
Jul-10,46,0.0001,1,1
Aug-10,45,0.0001,1,1
Sep-10,44,1,1,1
Oct-10,44,1,1,1
Nov-10,44,1,1,1
Dec-10,40,0.0001,1,1
Jan-11,64,0.0001,1,1
Feb-11,51,1,1,1
Mar-11,52,1,1,1
Apr-11,54,1,1,1
May-11,59,1,1,1
Jun-11,51,0.0001,1,1
Jul-11,51,0.0001,1,1
Aug-11,51,0.0001,1,1
Sep-11,48,1,1,1
Oct-11,48,0.0001,1,1
Nov-11,51,1,1,1
Dec-11,42,1,1,1
Jan-12,66,1,1,1
Feb-12,60,1,1,1
Mar-12,57,1,1,1
Apr-12,54,1,1,1
May-12,57,1,1,1
Jun-12,54,1,1,1
Jul-12,56,0.0001,1,1
Aug-12,50,0.0001,1,1
Sep-12,51,1,1,1
Oct-12,46,1,1,1
Nov-12,47,1,1,1
Dec-12,43,1,1,1
Jan-13,64,1,1,1
Feb-13,62,1,1,1
Mar-13,62,1,1,1
Apr-13,62,1,1,1
May-13,55,1,1,1
Jun-13,54,1,1,1
Jul-13,53,1,1,1
Aug-13,54,0.0001,1,1
Sep-13,53,1,1,1
Oct-13,50,1,1,1
Nov-13,46,1,1,1
Dec-13,40,1,1,1
Jan-14,63,1,2,2
Feb-14,55,1,1,1
Mar-14,57,1,1,1
Apr-14,54,1,1,1
May-14,51,1,1,1
Jun-14,46,1,1,1
Jul-14,44,0.0001,1,1
Aug-14,43,0.0001,1,1
Sep-14,43,1,1,1
Oct-14,42,1,1,1
Nov-14,41,1,1,1
Dec-14,41,1,1,1
Jan-15,55,1,1,1
