index,Freight Rail Services Price Index  ,Grain and fertilizer
2018-01-01,0.0,0.0
2018-02-01,0.019073569482289,0.01602564102564097
2018-03-01,0.05177111716621274,0.060897435897436125
2018-04-01,0.038147138964577554,0.048076923076922906
2018-05-01,0.05177111716621274,0.054487179487179294
2018-06-01,0.17166212534059921,0.09294871794871806
2018-07-01,0.20163487738419628,0.11538461538461542
2018-08-01,0.1907356948228882,0.10576923076923084
2018-09-01,0.20163487738419628,0.1282051282051282
2018-10-01,0.2098092643051772,0.13461538461538458
2018-11-01,0.24250681198910096,0.16666666666666652
2018-12-01,0.2561307901907357,0.18910256410256432
2019-01-01,0.25885558583106283,0.2019230769230771
2019-02-01,0.2288828337874662,0.1762820512820511
2019-03-01,0.23705722070844715,0.19230769230769207
2019-04-01,0.24523160762942764,0.19871794871794846
2019-05-01,0.25885558583106283,0.21153846153846168
2019-06-01,0.2615803814713895,0.224358974358974
2019-07-01,0.25885558583106283,0.21474358974358987
2019-08-01,0.27520435967302426,0.21153846153846168
2019-09-01,0.2697547683923709,0.22756410256410264
2019-10-01,0.2861035422343323,0.2467948717948718
2019-11-01,0.2997275204359675,0.2596153846153846
2019-12-01,0.29427792915531326,0.2532051282051282
2020-01-01,0.28882833787465945,0.2435897435897436
2020-02-01,0.326975476839237,0.3429487179487176
2020-03-01,0.3678474114441417,0.3814102564102564
2020-04-01,0.3814713896457764,0.44551282051282026
2020-05-01,0.35422343324250694,0.40064102564102555
2020-06-01,0.2806539509536785,0.3012820512820511
2020-07-01,0.2861035422343323,0.3044871794871793
2020-08-01,0.2615803814713895,0.26602564102564097
2020-09-01,0.2506811989100819,0.2532051282051282
2020-10-01,0.2779291553133514,0.27564102564102555
2020-11-01,0.2615803814713895,0.2564102564102564
2020-12-01,0.23705722070844715,0.21474358974358987
2021-01-01,0.2534059945504086,0.21794871794871806
2021-02-01,0.2779291553133514,0.2435897435897436
2021-03-01,0.2779291553133514,0.23717948717948723
2021-04-01,0.2997275204359675,0.26923076923076916
2021-05-01,0.2806539509536785,0.224358974358974
2021-06-01,0.28337874659400564,0.2019230769230771
2021-07-01,0.33242506811989125,0.27564102564102555
2021-08-01,0.35422343324250694,0.32051282051282026
2021-09-01,0.37874659400544974,0.34935897435897445
2021-10-01,0.40326975476839255,0.36858974358974317
2021-11-01,0.43324250681198917,0.375
2021-12-01,0.48501362397820147,0.4423076923076925
2022-01-01,0.5068119891008172,0.4519230769230771
2022-02-01,0.5149863760217985,0.4583333333333335
2022-03-01,0.5667574931880108,0.4871794871794868
2022-04-01,0.5940054495912808,0.516025641025641
2022-05-01,0.7547683923705724,0.6794871794871793
2022-06-01,0.7629427792915533,0.7019230769230766
2022-07-01,0.8501362397820165,0.7788461538461537
2022-08-01,0.8419618528610355,0.8044871794871793
2022-09-01,0.8419618528610355,0.8173076923076916
2022-10-01,0.8719346049046321,0.8685897435897432
2022-11-01,0.9019073569482288,0.8557692307692304
2022-12-01,0.9291553133514987,0.9070512820512819
2023-01-01,0.9318801089918254,0.875
2023-02-01,0.8365122615803817,0.7371794871794868
2023-03-01,0.8692098092643055,0.7788461538461537
2023-04-01,0.814713896457766,0.708333333333333
2023-05-01,0.7901907356948232,0.6794871794871793
2023-06-01,0.7438692098092643,0.6121794871794872
2023-07-01,0.7029972752043596,0.5737179487179485
2023-08-01,0.7220708446866486,0.6089743589743586
2023-09-01,0.814713896457766,0.833333333333333
2023-10-01,0.9754768392370576,0.9615384615384608
2023-11-01,1.0,1.0
2023-12-01,0.9564032697547686,0.9358974358974352
2024-01-01,0.8828337874659402,0.8429487179487176
