index,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1991-01-01,0.8262295081967211
1991-02-01,0.8382513661202186
1991-03-01,0.850273224043716
1991-04-01,0.8622950819672129
1991-05-01,0.8743169398907099
1991-06-01,0.8863387978142075
1991-07-01,0.8983606557377047
1991-08-01,0.910382513661202
1991-09-01,0.9224043715846992
1991-10-01,0.9344262295081968
1991-11-01,0.9464480874316936
1991-12-01,0.9584699453551904
1992-01-01,0.9704918032786884
1992-02-01,0.9729508196721308
1992-03-01,0.9754098360655736
1992-04-01,0.977868852459016
1992-05-01,0.9803278688524588
1992-06-01,0.9827868852459016
1992-07-01,0.985245901639344
1992-08-01,0.9877049180327868
1992-09-01,0.9901639344262296
1992-10-01,0.992622950819672
1992-11-01,0.9950819672131144
1992-12-01,0.9975409836065572
1993-01-01,1.0
1993-02-01,0.9866120218579234
1993-03-01,0.9732240437158473
1993-04-01,0.9598360655737708
1993-05-01,0.9464480874316944
1993-06-01,0.9330601092896176
1993-07-01,0.919672131147541
1993-08-01,0.9062841530054644
1993-09-01,0.892896174863388
1993-10-01,0.8795081967213113
1993-11-01,0.866120218579235
1993-12-01,0.8527322404371583
1994-01-01,0.8393442622950819
1994-02-01,0.8269125683060111
1994-03-01,0.8144808743169395
1994-04-01,0.8020491803278685
1994-05-01,0.7896174863387978
1994-06-01,0.7771857923497268
1994-07-01,0.7647540983606557
1994-08-01,0.7523224043715849
1994-09-01,0.7398907103825131
1994-10-01,0.7274590163934423
1994-11-01,0.7150273224043716
1994-12-01,0.7025956284153004
1995-01-01,0.6901639344262295
1995-02-01,0.6919398907103823
1995-03-01,0.6937158469945356
1995-04-01,0.6954918032786886
1995-05-01,0.697267759562841
1995-06-01,0.6990437158469943
1995-07-01,0.7008196721311474
1995-08-01,0.7025956284153004
1995-09-01,0.7043715846994533
1995-10-01,0.7061475409836065
1995-11-01,0.7079234972677594
1995-12-01,0.7096994535519127
1996-01-01,0.7114754098360653
1996-02-01,0.7043715846994533
1996-03-01,0.697267759562841
1996-04-01,0.690163934426229
1996-05-01,0.6830601092896168
1996-06-01,0.6759562841530052
1996-07-01,0.6688524590163932
1996-08-01,0.6617486338797812
1996-09-01,0.654644808743169
1996-10-01,0.6475409836065574
1996-11-01,0.640437158469945
1996-12-01,0.6333333333333332
1997-01-01,0.6262295081967212
1997-02-01,0.6150273224043713
1997-03-01,0.6038251366120216
1997-04-01,0.592622950819672
1997-05-01,0.5814207650273223
1997-06-01,0.5702185792349724
1997-07-01,0.5590163934426228
1997-08-01,0.5478142076502731
1997-09-01,0.5366120218579232
1997-10-01,0.5254098360655736
1997-11-01,0.5142076502732239
1997-12-01,0.503005464480874
1998-01-01,0.4918032786885243
1998-02-01,0.4822404371584697
1998-03-01,0.4726775956284149
1998-04-01,0.4631147540983605
1998-05-01,0.4535519125683059
1998-06-01,0.4439890710382513
1998-07-01,0.4344262295081965
1998-08-01,0.4248633879781419
1998-09-01,0.4153005464480871
1998-10-01,0.4057377049180327
1998-11-01,0.3961748633879779
1998-12-01,0.3866120218579235
1999-01-01,0.3770491803278687
1999-02-01,0.3668032786885246
1999-03-01,0.3565573770491802
1999-04-01,0.3463114754098361
1999-05-01,0.3360655737704917
1999-06-01,0.3258196721311474
1999-07-01,0.3155737704918032
1999-08-01,0.3053278688524589
1999-09-01,0.2950819672131147
1999-10-01,0.2848360655737704
1999-11-01,0.2745901639344262
1999-12-01,0.2643442622950819
2000-01-01,0.2540983606557375
2000-02-01,0.2594262295081965
2000-03-01,0.2647540983606556
2000-04-01,0.2700819672131146
2000-05-01,0.2754098360655735
2000-06-01,0.2807377049180327
2000-07-01,0.2860655737704917
2000-08-01,0.2913934426229506
2000-09-01,0.2967213114754098
2000-10-01,0.3020491803278687
2000-11-01,0.3073770491803277
2000-12-01,0.3127049180327869
2001-01-01,0.3180327868852458
2001-02-01,0.3240437158469945
2001-03-01,0.330054644808743
2001-04-01,0.3360655737704917
2001-05-01,0.3420765027322402
2001-06-01,0.3480874316939889
2001-07-01,0.3540983606557374
2001-08-01,0.3601092896174861
2001-09-01,0.3661202185792348
2001-10-01,0.3721311475409835
2001-11-01,0.3781420765027322
2001-12-01,0.3841530054644807
2002-01-01,0.3901639344262294
2002-02-01,0.3889344262295081
2002-03-01,0.3877049180327866
2002-04-01,0.3864754098360655
2002-05-01,0.3852459016393442
2002-06-01,0.3840163934426227
2002-07-01,0.3827868852459016
2002-08-01,0.3815573770491801
2002-09-01,0.3803278688524588
2002-10-01,0.3790983606557375
2002-11-01,0.3778688524590162
2002-12-01,0.3766393442622952
2003-01-01,0.3754098360655736
2003-02-01,0.3702185792349727
2003-03-01,0.3650273224043715
2003-04-01,0.3598360655737703
2003-05-01,0.3546448087431694
2003-06-01,0.3494535519125682
2003-07-01,0.3442622950819672
2003-08-01,0.3390710382513661
2003-09-01,0.3338797814207651
2003-10-01,0.3286885245901639
2003-11-01,0.3234972677595628
2003-12-01,0.3183060109289616
2004-01-01,0.3131147540983606
2004-02-01,0.3072404371584699
2004-03-01,0.3013661202185792
2004-04-01,0.2954918032786885
2004-05-01,0.2896174863387978
2004-06-01,0.2837431693989071
2004-07-01,0.2778688524590161
2004-08-01,0.2719945355191256
2004-09-01,0.2661202185792349
2004-10-01,0.260245901639344
2004-11-01,0.2543715846994535
2004-12-01,0.2484972677595628
2005-01-01,0.2426229508196721
2005-02-01,0.2387978142076502
2005-03-01,0.2349726775956283
2005-04-01,0.2311475409836064
2005-05-01,0.2273224043715845
2005-06-01,0.2234972677595627
2005-07-01,0.2196721311475408
2005-08-01,0.2158469945355191
2005-09-01,0.2120218579234972
2005-10-01,0.2081967213114753
2005-11-01,0.2043715846994535
2005-12-01,0.2005464480874316
2006-01-01,0.1967213114754097
2006-02-01,0.1923497267759563
2006-03-01,0.1879781420765026
2006-04-01,0.1836065573770492
2006-05-01,0.1792349726775955
2006-06-01,0.1748633879781419
2006-07-01,0.1704918032786885
2006-08-01,0.1661202185792351
2006-09-01,0.1617486338797812
2006-10-01,0.1573770491803278
2006-11-01,0.1530054644808743
2006-12-01,0.1486338797814207
2007-01-01,0.144262295081967
2007-02-01,0.1459016393442621
2007-03-01,0.1475409836065572
2007-04-01,0.1491803278688525
2007-05-01,0.1508196721311475
2007-06-01,0.1524590163934426
2007-07-01,0.1540983606557376
2007-08-01,0.1557377049180327
2007-09-01,0.1573770491803278
2007-10-01,0.1590163934426228
2007-11-01,0.1606557377049179
2007-12-01,0.1622950819672132
2008-01-01,0.163934426229508
2008-02-01,0.1937158469945353
2008-03-01,0.2234972677595627
2008-04-01,0.25327868852459
2008-05-01,0.2830601092896173
2008-06-01,0.3128415300546449
2008-07-01,0.3426229508196722
2008-08-01,0.3724043715846995
2008-09-01,0.4021857923497268
2008-10-01,0.4319672131147541
2008-11-01,0.4617486338797815
2008-12-01,0.4915300546448088
2009-01-01,0.5213114754098361
2009-02-01,0.5174863387978142
2009-03-01,0.5136612021857924
2009-04-01,0.5098360655737705
2009-05-01,0.5060109289617486
2009-06-01,0.5021857923497267
2009-07-01,0.4983606557377048
