index,"Milk sold off farms, total",Fluid purposes,Industrial purposes
1986-01-01,0.1959146728977963,0.4789625538086497,0.11948844375963019
1986-02-01,0.04061896172092161,0.11574838381188979,0.04528197226502306
1986-03-01,0.29343227819254447,0.3669171308225203,0.2317596302003082
1986-04-01,0.3829159632038106,0.3215404317035162,0.3178274268104777
1986-05-01,0.5386000500715769,0.40235755172573384,0.44422496147919865
1986-06-01,0.5292565654750061,0.13065280113557476,0.4837565485362094
1986-07-01,0.4871001495727869,0.21494144693194261,0.4314114021571649
1986-08-01,0.42855492145823826,0.2773054788391218,0.3633651771956856
1986-09-01,0.27118894316876063,0.31762146482958675,0.2075901386748844
1986-10-01,0.19326023739062892,0.5875055930137472,0.0882218798151001
1986-11-01,0.06715047792677997,0.3061114282628483,0.03384899845916789
1986-12-01,0.18492139404405017,0.3923595574961811,0.12662249614791987
1987-01-01,0.2227061761364002,0.5153595729251848,0.14190755007704148
1987-02-01,0.0632859793165872,0.14453890423217564,0.06386748844375967
1987-03-01,0.3271824467026583,0.4492925801922456,0.2482619414483822
1987-04-01,0.4075922632994602,0.3188249270979586,0.3456856702619415
1987-05-01,0.5510312818965573,0.38824001357752325,0.46414483821263475
1987-06-01,0.5261303016491525,0.2961288630367367,0.4484838212634823
1987-07-01,0.45431289599876745,0.3316309999537128,0.37668412942989216
1987-08-01,0.42704956444147735,0.2602718590406248,0.36853312788906
1987-09-01,0.26554626164324646,0.3822381312391032,0.19391987673343603
1987-10-01,0.23672942732239033,0.6361532408621726,0.12099845916795071
1987-11-01,0.12380197333367571,0.4155030626571832,0.06361479198767328
1987-12-01,0.24086354211468963,0.4801351580701403,0.16185516178736514
1988-01-01,0.2747998741791151,0.4326601144832054,0.20784283513097068
1988-02-01,0.19726917324123594,0.34048724792865626,0.14967642526964564
1988-03-01,0.39738536497685795,0.6661626525542714,0.2688567026194144
1988-04-01,0.4419522779357674,0.32022896641105936,0.3799506933744221
1988-05-01,0.5785770685017688,0.3723789980405168,0.4912388289676426
1988-06-01,0.5784518895600765,0.2740191011062594,0.5076456086286594
1988-07-01,0.5393864306027205,0.2068875071359142,0.4909553158705702
1988-08-01,0.46924770665759397,0.3429404594757224,0.3921417565485361
1988-09-01,0.343311271882242,0.481909493465817,0.24981510015408315
1988-10-01,0.281630150792479,0.5415888787743199,0.18663174114021563
1988-11-01,0.18381404186754158,0.4295897427985125,0.11909707241910628
1988-12-01,0.298433016427329,0.507213059108512,0.21611710323574718
1989-01-01,0.32420062011721895,0.4602780306420007,0.24883513097072418
1989-02-01,0.1560628334092966,0.176091216268341,0.14630508474576276
1989-03-01,0.40721030704147587,0.6205699473870983,0.2913990755007705
1989-04-01,0.41594715522830716,0.2773054788391218,0.3686163328197227
1989-05-01,0.5343439660540388,0.45674478885408787,0.43599075500770423
1989-06-01,0.451979432136965,0.3050931140357642,0.3850939907550077
1989-07-01,0.39225944780038136,0.11641183095983809,0.37356548536209555
1989-08-01,0.35511018956585394,0.3771002730933608,0.2845269645608628
1989-09-01,0.23321478780564542,0.46598676191504795,0.1574545454545455
1989-10-01,0.20630452505825647,0.5393825312823046,0.11973189522342054
1989-11-01,0.11752055823388563,0.43264468547976476,0.06105701078582437
1989-12-01,0.21694794481855473,0.37936833659913916,0.1701941448382127
1990-01-01,0.27298317466635,0.5192476817922329,0.19263174114021564
1990-02-01,0.1238501190804806,0.15165167481832365,0.1260369799691834
1990-03-01,0.3726095636711455,0.6076095844969376,0.2686656394453004
1990-04-01,0.3890593604960939,0.3287766343171894,0.33643143297380584
1990-05-01,0.5148256802994022,0.4625769521546603,0.42356856702619416
1990-06-01,0.4875334612940292,0.2669989045407557,0.4342804314329738
1990-07-01,0.4297906622928931,0.22143705738046382,0.3890261941448383
1990-08-01,0.37844482818387837,0.4156727816950303,0.30532203389830515
1990-09-01,0.2433510723662673,0.3344236495764741,0.19824345146379052
1990-10-01,0.20370786444725475,0.5720148735593167,0.11283204930662549
1990-11-01,0.11568781013885232,0.5094811226142903,0.04632973805855156
1990-12-01,0.21064406170358918,0.4351596130405939,0.1537750385208012
1991-01-01,0.24935966156749712,0.6023174363167882,0.15666563944530054
1991-02-01,0.09447479409668946,0.14952247234351113,0.10008936825885972
1991-03-01,0.3222491125134006,0.5070433400706649,0.2443328197226502
1991-04-01,0.34590472277678996,0.44767253483097535,0.2705516178736518
1991-05-01,0.4576895177080056,0.45517103050314,0.37244684129429895
1991-06-01,0.4035351817020487,0.17107679015012422,0.37804006163328197
1991-07-01,0.3719483620816937,0.2739265270856155,0.3244468412942989
1991-08-01,0.3510081719380911,0.44646907256260304,0.27548536209553154
1991-09-01,0.24914461056510273,0.38078780491568054,0.19419106317411394
1991-10-01,0.22926041713475032,0.5957601098545044,0.13306317411402158
1991-11-01,0.15771904709937923,0.47411784672828006,0.09489368258859787
1991-12-01,0.26368462610013044,0.4007992223782266,0.2094699537750384
1992-01-01,0.2946038246981262,0.5972567231882495,0.2000523882896763
1992-02-01,0.16319161365284995,0.33039667967845965,0.12893682588597843
1992-03-01,0.2910570880168446,0.5133075154675759,0.20979044684129433
1992-04-01,0.2567131219628058,0.42317127736719495,0.19367026194144832
1992-05-01,0.3008499329169263,0.3721784209957879,0.24474268104776575
1992-06-01,0.24134499958273703,0.3857559440235754,0.1790662557781202
1992-07-01,0.1739730512206552,0.3126378967182508,0.1341417565485361
1992-08-01,0.20509767167168458,0.2757625784950548,0.16995377503852072
1992-09-01,0.10847878698395785,0.34088840201811355,0.06878582434514635
