index,Food ,Meat,"Fish, seafood and other marine products",Dairy products and eggs,Bakery and cereal products (excluding baby food),"Fruit, fruit preparations and nuts",Vegetables and vegetable preparations,Other food products and non-alcoholic beverages,Food purchased from restaurants 
1986-01-01,0.0033003300330032292,0.010330578512396604,0.0,0.001000000000000112,0.0,0.0,0.07463823305407469,0.0,0.0
1986-02-01,0.0,0.004132231404958664,0.006610009442870601,0.0,0.007692307692307665,0.016597510373443924,0.016755521706016796,0.006054490413723523,0.0
1986-03-01,0.0008250825082507518,0.004132231404958664,0.006610009442870601,0.0030000000000000027,0.009999999999999898,0.03319502074688796,0.0,0.011099899091826404,0.0014925373134327957
1986-04-01,0.0066006600660065695,0.0,0.007554296506137814,0.0020000000000000018,0.01538461538461533,0.06431535269709543,0.03731911652703723,0.020181634712411745,0.004477611940298498
1986-05-01,0.010726072607260662,0.0027548209366390908,0.01227573182247399,0.006000000000000116,0.014615384615384586,0.07780082987551862,0.06930693069306926,0.02320887991927345,0.005970149253731294
1986-06-01,0.012376237623762387,0.008953168044077142,0.013220018885741203,0.0030000000000000027,0.013846153846153841,0.07365145228215764,0.060167555217060076,0.024217961654894093,0.006716417910447747
1986-07-01,0.018976897689768957,0.01997245179063356,0.01510859301227574,0.0050000000000000044,0.01846153846153853,0.09128630705394192,0.07235338918507239,0.0272452068617558,0.011194029850746245
1986-08-01,0.021452145214521323,0.028925619834710703,0.019830028328611915,0.007000000000000006,0.020000000000000018,0.11099585062240669,0.0434120335110435,0.0272452068617558,0.013432835820895495
1986-09-01,0.024752475247524663,0.05303030303030298,0.023607176581680767,0.010000000000000009,0.01846153846153853,0.08091286307053935,0.0030464584920030235,0.03329969727547932,0.013432835820895495
1986-10-01,0.02722772277227714,0.054407713498622556,0.028328611898016942,0.010000000000000009,0.013846153846153841,0.07157676348547726,0.03427265803503432,0.0353178607467205,0.01641791044776114
1986-11-01,0.03052805280528037,0.05853994490358122,0.044381491973559895,0.013000000000000012,0.017692307692307674,0.030082987551867224,0.08987052551408992,0.024217961654894093,0.018656716417910446
1986-12-01,0.02970297029702962,0.06404958677685946,0.050047214353163394,0.017000000000000015,0.02230769230769236,0.0010373443983401343,0.07387661843107396,0.013118062563067578,0.019402985074626844
1987-01-01,0.035478547854785436,0.0633608815426997,0.06137865911237006,0.017000000000000015,0.02538461538461534,0.014522821576763545,0.10205635948210201,0.0353178607467205,0.02238805970149249
1987-02-01,0.035478547854785436,0.05096418732782365,0.06515580736543902,0.020000000000000018,0.023076923076922995,0.03526970954356856,0.1256664127951257,0.03632694248234103,0.02238805970149249
1987-03-01,0.035478547854785436,0.047520661157024746,0.06610009442870624,0.016000000000000125,0.02692307692307694,0.03734439834024894,0.11500380807311494,0.04439959636730584,0.023880597014925287
1987-04-01,0.035478547854785436,0.052341597796143224,0.06610009442870624,0.014000000000000012,0.02538461538461534,0.034232365145228205,0.11195734958111203,0.038345105953582204,0.023880597014925287
1987-05-01,0.04042904290429028,0.05785123966942146,0.06798866855524077,0.016000000000000125,0.030000000000000027,0.06846473029045641,0.1378522467631378,0.02320887991927345,0.026865671641791045
1987-06-01,0.04702970297029685,0.06473829201101922,0.0689329556185081,0.016000000000000125,0.02538461538461534,0.12655601659751037,0.18583396801218577,0.01816347124117057,0.023880597014925287
1987-07-01,0.048679867986798575,0.06749311294765836,0.07365439093484427,0.016000000000000125,0.03384615384615386,0.12240663900414939,0.1698400609291698,0.02320887991927345,0.026865671641791045
1987-08-01,0.04290429042904276,0.07575757575757569,0.07932011331444755,0.02100000000000013,0.033076923076923004,0.10269709543568473,0.04036557501904037,0.02825428859737633,0.02835820895522384
1987-09-01,0.03960396039603953,0.07024793388429751,0.08215297450424919,0.027000000000000024,0.03076923076923077,0.07261410788381739,0.02970297029702962,0.0272452068617558,0.02985074626865669
1987-10-01,0.04042904290429028,0.07369146005509641,0.09159584513692154,0.02300000000000002,0.02923076923076917,0.05809128630705385,0.04417364813404423,0.024217961654894093,0.03208955223880594
1987-11-01,0.04290429042904276,0.07024793388429751,0.09159584513692154,0.02400000000000002,0.033076923076923004,0.05082987551867224,0.09291698400609294,0.02219979818365292,0.03358208955223879
1987-12-01,0.04290429042904276,0.05991735537190079,0.09254013220018886,0.02300000000000002,0.03384615384615386,0.026970954356846377,0.14013709063214008,0.008072653884964698,0.03432835820895519
1988-01-01,0.048679867986798575,0.06404958677685946,0.10198300283286121,0.026000000000000134,0.03923076923076929,0.026970954356846377,0.14927646610814926,0.03632694248234103,0.03731343283582084
1988-02-01,0.04702970297029685,0.05785123966942146,0.1076487252124646,0.030000000000000027,0.038461538461538436,0.05705394190871371,0.11576542269611578,0.03935418768920296,0.03955223880597014
1988-03-01,0.0462046204620461,0.05991735537190079,0.11331444759206788,0.03300000000000003,0.04076923076923067,0.05809128630705385,0.06930693069306926,0.038345105953582204,0.04029850746268654
1988-04-01,0.048679867986798575,0.059228650137741035,0.11614730878186974,0.03600000000000014,0.043076923076923124,0.06846473029045641,0.08606245239908605,0.04036326942482338,0.04253731343283579
1988-05-01,0.05280528052805267,0.05785123966942146,0.12370160528800755,0.04600000000000004,0.043076923076923124,0.0975103734439835,0.10586443259710587,0.030272452068617617,0.04626865671641783
1988-06-01,0.05775577557755773,0.06404958677685946,0.12464589235127477,0.04700000000000004,0.05076923076923079,0.14834024896265552,0.09900990099009899,0.034308779011099966,0.04701492537313434
1988-07-01,0.06353135313531344,0.06887052341597788,0.12936732766761094,0.051000000000000045,0.05076923076923079,0.15560165975103735,0.11424219345011422,0.038345105953582204,0.05074626865671644
1988-08-01,0.06518151815181505,0.07024793388429751,0.13786591123701608,0.05500000000000005,0.053846153846153766,0.1680497925311204,0.09139375476009137,0.04944500504540872,0.052985074626865636
1988-09-01,0.06353135313531344,0.07024793388429751,0.1454202077431539,0.05700000000000005,0.05230769230769228,0.15975103734439844,0.06702208682406707,0.048435923309788076,0.05447761194029849
1988-10-01,0.06353135313531344,0.06887052341597788,0.15580736543909335,0.05600000000000005,0.05769230769230771,0.12551867219917,0.0700685453160701,0.05348133198789107,0.056716417910447736
1988-11-01,0.06105610561056096,0.06404958677685946,0.15675165250236067,0.05500000000000005,0.05769230769230771,0.08921161825726132,0.07692307692307687,0.052472250252270536,0.058955223880596985
1988-12-01,0.05940594059405924,0.06404958677685946,0.15486307837582625,0.05600000000000005,0.056923076923076965,0.04460580912863066,0.09367859862909367,0.0353178607467205,0.06044776119402978
1989-01-01,0.06600660066006592,0.06818181818181812,0.15675165250236067,0.06299999999999994,0.058461538461538454,0.03526970954356856,0.127951256664128,0.05953582240161459,0.06343283582089548
1989-02-01,0.07178217821782162,0.06887052341597788,0.15675165250236067,0.06400000000000006,0.05769230769230771,0.028008298755186734,0.18735719725818734,0.06559031281533811,0.06492537313432828
1989-03-01,0.07178217821782162,0.07162534435261703,0.15486307837582625,0.061000000000000054,0.06153846153846154,0.05082987551867224,0.13709063214013706,0.07568113017154388,0.06716417910447753
1989-04-01,0.07425742574257421,0.07438016528925617,0.16052880075542952,0.062000000000000055,0.06307692307692303,0.06327800829875507,0.1454683929931454,0.070635721493441,0.06865671641791044
1989-05-01,0.0783828382838283,0.07024793388429751,0.16147308781869685,0.06499999999999995,0.0607692307692308,0.07883817427385886,0.19954303122619954,0.06760847628657929,0.07089552238805957
1989-06-01,0.08250825082508251,0.07506887052341593,0.16147308781869685,0.06600000000000006,0.0623076923076924,0.08817427385892118,0.23153084539223145,0.06760847628657929,0.07164179104477614
1989-07-01,0.0882838283828381,0.08333333333333337,0.16336166194523138,0.06700000000000006,0.06769230769230761,0.1068464730290456,0.22467631378522468,0.07669021190716441,0.07761194029850743
1989-08-01,0.08415841584158401,0.0826446280991735,0.16808309726156756,0.06900000000000006,0.0707692307692308,0.12551867219917,0.12642802741812642,0.08072653884964687,0.07835820895522377
1989-09-01,0.08168316831683153,0.08884297520661155,0.16241737488196406,0.07600000000000007,0.06846153846153846,0.09647302904564314,0.06626047220106634,0.08779011099899092,0.08059701492537313
1989-10-01,0.08415841584158401,0.09090909090909083,0.15108593012275728,0.08200000000000007,0.07692307692307687,0.08402489626556009,0.08910891089108919,0.07870837537840569,0.08208955223880593
1989-11-01,0.08333333333333326,0.08471074380165289,0.14825306893295553,0.08400000000000007,0.07538461538461538,0.05497925311203311,0.1233815689261234,0.0736629667003027,0.08432835820895518
1989-12-01,0.08003300330032992,0.08953168044077131,0.14069877242681772,0.08400000000000007,0.0807692307692307,0.051867219917012486,0.06930693069306926,0.061553985872855654,0.08507462686567163
1990-01-01,0.09570957095709565,0.09779614325068864,0.14825306893295553,0.08700000000000008,0.08461538461538454,0.05601659751037347,0.20487433358720486,0.08577194752774975,0.08805970149253733
1990-02-01,0.10148514851485146,0.0881542699724518,0.15108593012275728,0.09199999999999997,0.08615384615384614,0.07883817427385886,0.2757044935262757,0.09485368314833509,0.08880597014925368
1990-03-01,0.10313531353135308,0.09297520661157022,0.1463644948064211,0.08900000000000008,0.08769230769230774,0.11721991701244805,0.2421934501142422,0.09485368314833509,0.09104477611940293
1990-04-01,0.09818481848184812,0.09848484848484851,0.14353163361661936,0.08700000000000008,0.09153846153846157,0.10269709543568473,0.14166031987814165,0.10191725529767903,0.09402985074626863
1990-05-01,0.09983498349834974,0.10192837465564741,0.14730878186968843,0.08200000000000007,0.08692307692307688,0.12551867219917,0.14166031987814165,0.09586276488395562,0.09776119402985067
