index,"Private debt, loans and debt securities (Percent of GDP)"
1954-01-01,0.0
1954-02-01,0.0037755438610435
1954-03-01,0.0075510877220871
1954-04-01,0.0113266315831306
1954-05-01,0.0151021754441741
1954-06-01,0.0188777193052177
1954-07-01,0.0226532631662613
1954-08-01,0.0264288070273048
1954-09-01,0.0302043508883484
1954-10-01,0.033979894749392
1954-11-01,0.0377554386104355
1954-12-01,0.0415309824714791
1955-01-01,0.0453065263325226
1955-02-01,0.0455071062545412
1955-03-01,0.0457076861765599
1955-04-01,0.0459082660985786
1955-05-01,0.0461088460205972
1955-06-01,0.0463094259426159
1955-07-01,0.0465100058646346
1955-08-01,0.0467105857866532
1955-09-01,0.0469111657086718
1955-10-01,0.0471117456306905
1955-11-01,0.0473123255527092
1955-12-01,0.0475129054747278
1956-01-01,0.0477134853967465
1956-02-01,0.0465366549141331
1956-03-01,0.0453598244315196
1956-04-01,0.0441829939489062
1956-05-01,0.0430061634662928
1956-06-01,0.0418293329836794
1956-07-01,0.040652502501066
1956-08-01,0.0394756720184526
1956-09-01,0.0382988415358391
1956-10-01,0.0371220110532258
1956-11-01,0.0359451805706124
1956-12-01,0.0347683500879989
1957-01-01,0.0335915196053855
1957-02-01,0.0332740792027753
1957-03-01,0.032956638800165
1957-04-01,0.0326391983975547
1957-05-01,0.0323217579949445
1957-06-01,0.0320043175923342
1957-07-01,0.031686877189724
1957-08-01,0.0313694367871137
1957-09-01,0.0310519963845035
1957-10-01,0.0307345559818932
1957-11-01,0.030417115579283
1957-12-01,0.0300996751766727
1958-01-01,0.0297822347740624
1958-02-01,0.0329518858494377
1958-03-01,0.036121536924813
1958-04-01,0.0392911880001882
1958-05-01,0.0424608390755635
1958-06-01,0.0456304901509387
1958-07-01,0.0488001412263141
1958-08-01,0.0519697923016892
1958-09-01,0.0551394433770645
1958-10-01,0.0583090944524398
1958-11-01,0.061478745527815
1958-12-01,0.0646483966031903
1959-01-01,0.0678180476785656
1959-02-01,0.0672457839952568
1959-03-01,0.066673520311948
1959-04-01,0.0661012566286392
1959-05-01,0.0655289929453304
1959-06-01,0.0649567292620215
1959-07-01,0.0643844655787128
