index,"Inflation rate, average consumer prices (Annual percent change)"
1980-01-01,0.8130081300813008
1980-02-01,0.828590785907859
1980-03-01,0.8441734417344172
1980-04-01,0.8597560975609756
1980-05-01,0.8753387533875341
1980-06-01,0.890921409214092
1980-07-01,0.9065040650406504
1980-08-01,0.9220867208672088
1980-09-01,0.9376693766937668
1980-10-01,0.9532520325203252
1980-11-01,0.9688346883468836
1980-12-01,0.9844173441734416
1981-01-01,1.0
1981-02-01,0.9884823848238484
1981-03-01,0.9769647696476966
1981-04-01,0.9654471544715446
1981-05-01,0.9539295392953928
1981-06-01,0.9424119241192412
1981-07-01,0.9308943089430894
1981-08-01,0.9193766937669376
1981-09-01,0.907859078590786
1981-10-01,0.8963414634146342
1981-11-01,0.8848238482384825
1981-12-01,0.8733062330623306
1982-01-01,0.8617886178861789
1982-02-01,0.8279132791327916
1982-03-01,0.794037940379404
1982-04-01,0.7601626016260163
1982-05-01,0.7262872628726287
1982-06-01,0.6924119241192412
1982-07-01,0.6585365853658537
1982-08-01,0.6246612466124661
1982-09-01,0.5907859078590786
1982-10-01,0.556910569105691
1982-11-01,0.5230352303523035
1982-12-01,0.489159891598916
1983-01-01,0.4552845528455284
1983-02-01,0.4451219512195122
1983-03-01,0.4349593495934959
1983-04-01,0.4247967479674797
1983-05-01,0.4146341463414634
1983-06-01,0.4044715447154471
1983-07-01,0.3943089430894309
1983-08-01,0.3841463414634146
1983-09-01,0.3739837398373983
1983-10-01,0.3638211382113821
1983-11-01,0.3536585365853658
1983-12-01,0.3434959349593496
1984-01-01,0.3333333333333333
1984-02-01,0.3313008130081301
1984-03-01,0.3292682926829268
1984-04-01,0.3272357723577235
1984-05-01,0.3252032520325204
1984-06-01,0.3231707317073171
1984-07-01,0.3211382113821138
1984-08-01,0.3191056910569105
1984-09-01,0.3170731707317073
1984-10-01,0.3150406504065041
1984-11-01,0.3130081300813008
1984-12-01,0.3109756097560976
1985-01-01,0.3089430894308943
1985-02-01,0.3102981029810298
1985-03-01,0.3116531165311653
1985-04-01,0.3130081300813008
1985-05-01,0.3143631436314363
1985-06-01,0.3157181571815718
1985-07-01,0.3170731707317073
1985-08-01,0.3184281842818429
1985-09-01,0.3197831978319784
1985-10-01,0.3211382113821138
1985-11-01,0.3224932249322493
1985-12-01,0.3238482384823848
1986-01-01,0.3252032520325204
1986-02-01,0.3265582655826558
1986-03-01,0.3279132791327913
1986-04-01,0.3292682926829268
1986-05-01,0.3306233062330623
1986-06-01,0.3319783197831978
1986-07-01,0.3333333333333334
1986-08-01,0.3346883468834689
1986-09-01,0.3360433604336044
1986-10-01,0.3373983739837399
1986-11-01,0.3387533875338754
1986-12-01,0.3401084010840109
