index,Household income,Disposable income ,Total interest paid 
1990-10-01,0.0,0.0001740139211136582,0.11382026108533816
1990-11-01,0.00037441693620660077,0.0016845514307811116,0.11534865321681587
1990-12-01,0.0007488338724132015,0.003195088940448565,0.11687704534829346
1991-01-01,0.0011232508086198023,0.004705626450116018,0.11840543747977128
1991-02-01,0.002613671774035764,0.0031370843000773085,0.11446758010572877
1991-03-01,0.004104092739451726,0.0015685421500386543,0.11052972273168626
1991-04-01,0.005594513704867632,0.0,0.10659186535764376
1991-05-01,0.006484257176928521,0.0024651972157772595,0.10407451361168052
1991-06-01,0.007374000648989354,0.004930394431554519,0.10155716186571706
1991-07-01,0.008263744121050187,0.007395591647331778,0.09903981011975393
1991-08-01,0.008609173939615022,0.008564143464810492,0.09524580141690919
1991-09-01,0.008954603758179802,0.009732695282289261,0.09145179271406478
1991-10-01,0.009300033576744582,0.010901247099767974,0.08765778401122015
1991-11-01,0.01014951716319179,0.00965052204176331,0.08206566691840189
1991-12-01,0.01099900074963911,0.0083997969837587,0.0764735498255833
1992-01-01,0.011848484336086318,0.007149071925754036,0.07088143273276515
1992-02-01,0.012991059889800649,0.00983420340293889,0.06856187290969895
1992-03-01,0.01413363544351498,0.01251933488012369,0.06624231308663286
1992-04-01,0.015276210997229311,0.0152044663573086,0.06392275326356667
1992-05-01,0.015984784984028944,0.019282917633410668,0.060722120329413265
1992-06-01,0.016693358970828465,0.023361368909512736,0.057521487395260196
1992-07-01,0.017401932957628097,0.02743982018561486,0.054320854461106904
1992-08-01,0.01768133656378651,0.025387906032482588,0.05584924659258461
1992-09-01,0.017960740169945033,0.023335991879350315,0.0573776387240621
1992-10-01,0.0182401437761035,0.021284077726218098,0.058906030855539915
1992-11-01,0.019704798414726776,0.02241758507347258,0.046786780307116915
1992-12-01,0.02116945305334994,0.02355109242072695,0.034667529758693694
1993-01-01,0.022634107691973215,0.02468459976798143,0.022548279210270805
1993-02-01,0.02331208416570646,0.03051769141531324,0.02049843564570064
1993-03-01,0.02399006063943976,0.036350783062645,0.018448592081130588
1993-04-01,0.024668037113172947,0.04218387470997681,0.016398748516560535
1993-05-01,0.025023934501997303,0.037990622583139955,0.012029345128924285
1993-06-01,0.025379831890821603,0.033797370456303155,0.007659941741288145
1993-07-01,0.025735729279645958,0.029604118329466356,0.003290538353651895
1993-08-01,0.025903210403798616,0.02881622196442385,0.0024634084942638523
1993-09-01,0.026070691527951217,0.028028325599381232,0.0016362786348761427
1993-10-01,0.026238172652103875,0.027240429234338726,0.0008091487754880999
1993-11-01,0.02688394121734622,0.029630703789636503,0.0006113568525910607
1993-12-01,0.027529709782588563,0.03202097834493428,0.0004135649296937993
1994-01-01,0.028175478347830907,0.034411252900232,0.00021577300679676004
1994-02-01,0.029609535473387794,0.03577436194895589,0.000143848671197766
1994-03-01,0.031043592598944736,0.03713747099767983,7.192433559899403e-05
1994-04-01,0.03247764972450162,0.03850058004640372,0.0
1994-05-01,0.034191915653929206,0.038386987625676716,0.0058258711835148524
1994-06-01,0.0359061815833569,0.03827339520494971,0.011651742367029816
1994-07-01,0.03762044751278454,0.03815980278422271,0.01747761355054478
1994-08-01,0.039009413566454154,0.03981897718484145,0.022008846693278628
1994-09-01,0.040398379620123825,0.04147815158546014,0.026540079836012476
1994-10-01,0.0417873456737935,0.04313732598607889,0.031071312978746324
1994-11-01,0.04329387059345485,0.04382613109048722,0.04099687129140139
1994-12-01,0.044800395513116265,0.044514936194895605,0.05092242960405646
1995-01-01,0.046306920432777676,0.045203741299303934,0.06084798791671153
1995-02-01,0.047678172136777275,0.04640250386697603,0.0670694429460208
1995-03-01,0.049049423840776984,0.04760126643464807,0.07329089797532984
1995-04-01,0.05042067554477664,0.04880002900232017,0.0795123530046391
1995-05-01,0.051451328616485104,0.048785527842227394,0.07834358255115614
1995-06-01,0.052481981688193624,0.048771026682134566,0.07717481209767307
1995-07-01,0.053512634759902145,0.04875652552204174,0.07600604164419023
